strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_GARCH Volatility Position Sizing,BNB_USDT,1043,10397.47,50.0,1.043,0.252,1.003,-8.76,1.34,B_New
A_RSI Mean Reversion,HBAR_USDT,88,1992.32,62.5,1.018,0.096,0.929,-3.01,2.38,A_Original
A_MACD Momentum,SHIB_USDT,2141,4983.92,35.0,0.987,0.657,1.023,-8.29,1.17,A_Original
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2605,3579.92,38.7,0.961,0.413,0.723,-8.78,1.13,A_Original
B_MACD Centerline Cross + Divergence,DOGE_USDT,2730,9583.01,50.6,0.959,0.596,1.095,-9.47,1.25,B_New
B_Base RF Model,SHIB_USDT,835,3808.33,50.7,0.947,0.192,1.057,-6.35,1.23,B_New
MACD_MetaFiltered,SHIB_USDT,28,799.54,64.3,0.882,0.126,1.006,-1.55,3.62,B_New
A_Bollinger Band Reversion,HBAR_USDT,893,3571.12,64.1,0.877,0.124,0.395,-12.02,1.19,A_Original
B_MACD Centerline Cross + Divergence,ICP_USDT,2049,3483.96,52.9,0.871,0.329,0.566,-10.95,1.13,B_New
B_VWAP Reversion,ICP_USDT,2151,3258.31,68.0,0.857,0.163,0.67,-8.72,1.11,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2753,7321.47,52.7,0.851,0.442,1.269,-6.85,1.19,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,682,5321.24,49.4,0.848,0.197,0.55,-14.1,1.21,B_New
B_OFI Momentum,SHIB_USDT,1509,4012.57,41.9,0.84,0.313,0.73,-9.61,1.17,B_New
B_MACD Centerline Cross + Divergence,XRP_USDT,3250,5198.56,51.2,0.834,0.319,0.521,-10.33,1.15,B_New
A_Bollinger Band Reversion,SHIB_USDT,658,2230.41,66.4,0.832,0.103,0.654,-6.32,1.22,A_Original
B_Ichimoku Cloud,AVAX_USDT,1089,5781.46,41.5,0.825,0.301,0.801,-10.59,1.17,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2288,3821.91,51.6,0.818,0.3,0.541,-10.77,1.12,B_New
B_Donchian Breakout,SHIB_USDT,274,3534.85,46.7,0.817,0.193,1.05,-5.98,1.5,B_New
B_MACD Centerline Cross + Divergence,BNB_USDT,3433,4691.51,51.7,0.801,0.274,0.482,-9.65,1.14,B_New
B_MACD Centerline Cross + Divergence,LINK_USDT,2955,5402.39,52.7,0.795,0.291,0.574,-10.65,1.13,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,759,8707.72,45.3,0.78,0.269,0.751,-12.81,1.31,B_New
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4286,4117.98,39.3,0.776,0.336,0.298,-13.97,1.1,A_Original
B_Elliott Wave + Base ML,SHIB_USDT,447,2692.27,46.3,0.768,0.158,0.532,-9.24,1.26,B_New
B_MACD Centerline Cross + Divergence,ADA_USDT,3261,4899.73,52.5,0.763,0.221,0.389,-13.1,1.11,B_New
Ensemble_MetaFiltered,SHIB_USDT,28,677.03,60.7,0.748,0.078,1.12,-1.18,2.78,B_New
A_MACD Momentum,ETH_USDT,3587,4572.47,34.2,0.735,0.379,0.404,-10.95,1.11,A_Original
B_Ichimoku Cloud,DOGE_USDT,1355,7936.99,37.2,0.715,0.354,0.605,-14.78,1.19,B_New
B_Keltner Channel Breakout,BNB_USDT,1081,6641.46,47.3,0.71,0.166,0.592,-10.46,1.22,B_New
B_Ichimoku Cloud,SHIB_USDT,980,3672.44,37.6,0.704,0.288,0.597,-10.87,1.15,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,631,4055.55,48.0,0.703,0.157,0.394,-15.9,1.17,B_New
A_Ensemble A (RSI+MACD+BB),LINK_USDT,3796,3686.1,39.1,0.689,0.298,0.252,-17.46,1.07,A_Original
B_GARCH Volatility Position Sizing,NEAR_USDT,629,4115.68,49.1,0.688,0.148,0.387,-16.57,1.16,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,896,5068.52,44.9,0.672,0.171,0.656,-8.03,1.22,B_New
B_GARCH Volatility Position Sizing,LINK_USDT,871,4777.24,49.7,0.663,0.14,0.435,-12.66,1.15,B_New
B_MACD Centerline Cross + Divergence,BTC_USDT,3447,2679.14,51.8,0.658,0.203,0.186,-14.85,1.1,B_New
B_Keltner Channel Breakout,NEAR_USDT,727,3778.35,45.9,0.657,0.153,0.787,-7.56,1.15,B_New
A_MACD Momentum,XRP_USDT,3434,4623.09,32.6,0.652,0.398,0.375,-13.01,1.11,A_Original
B_MACD Centerline Cross + Divergence,ATOM_USDT,2807,3271.57,52.2,0.638,0.229,0.488,-8.45,1.1,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,528,3056.19,43.2,0.63,0.16,0.69,-7.98,1.2,B_New
B_MACD Centerline Cross + Divergence,NEAR_USDT,2272,3118.71,51.5,0.629,0.222,0.274,-18.31,1.09,B_New
B_VWAP Reversion,HBAR_USDT,2674,3091.61,67.8,0.628,0.118,0.245,-17.03,1.08,B_New
B_MACD Centerline Cross + Divergence,DOT_USDT,2241,2325.95,53.4,0.625,0.199,0.543,-6.89,1.09,B_New
A_MACD Momentum,BNB_USDT,3533,4255.56,35.2,0.621,0.295,0.362,-11.8,1.1,A_Original
A_Ensemble A (RSI+MACD+BB),ADA_USDT,4074,3219.54,39.0,0.619,0.266,0.242,-14.63,1.07,A_Original
B_MACD Centerline Cross + Divergence,SHIB_USDT,2089,2315.55,51.7,0.618,0.189,0.537,-7.97,1.11,B_New
MACD_MetaFiltered,TRX_USDT,32,591.82,50.0,0.617,0.036,0.548,-1.34,2.43,B_New
B_Keltner Channel Breakout,AVAX_USDT,750,3206.93,47.6,0.612,0.136,0.422,-12.07,1.14,B_New
B_Keltner Channel Breakout,SOL_USDT,779,3434.91,46.6,0.611,0.143,0.611,-8.68,1.13,B_New
B_Ichimoku Cloud,ADA_USDT,1601,4868.84,39.3,0.609,0.212,0.354,-14.32,1.11,B_New
MACD_MetaFiltered,DOGE_USDT,7,280.51,71.4,0.603,0.057,1.511,-0.27,7.53,B_New
MACD_MetaFiltered,HBAR_USDT,17,388.28,47.1,0.593,0.051,0.694,-0.84,3.57,B_New
Ensemble_MetaFiltered,ADA_USDT,13,459.32,76.9,0.578,0.019,0.414,-1.35,4.34,B_New
A_RSI Mean Reversion,XRP_USDT,114,990.08,61.4,0.572,0.031,0.397,-3.0,1.56,A_Original
B_Ichimoku Cloud,BNB_USDT,1696,5289.24,39.4,0.571,0.186,0.531,-9.68,1.13,B_New
B_Funding Rate Arb,DOT_USDT,2,92.86,100.0,0.57,0.0,0.0,0.0,inf,B_New
A_MACD Momentum,DOGE_USDT,2938,4797.92,32.4,0.565,0.465,0.407,-14.53,1.12,A_Original
A_Ensemble A (RSI+MACD+BB),ATOM_USDT,3620,2793.06,39.0,0.563,0.27,0.187,-19.19,1.06,A_Original
A_MACD Momentum,ADA_USDT,3340,3572.34,34.2,0.556,0.284,0.424,-9.14,1.08,A_Original
B_Funding Rate Arb,ICP_USDT,8,622.6,50.0,0.556,0.033,0.709,-1.73,3.79,B_New
B_Futures Short RF Model,SOL_USDT,29,1004.88,55.2,0.541,0.048,0.572,-2.95,2.28,B_New
B_Trend RF Model,SHIB_USDT,660,1964.33,52.1,0.54,0.091,0.387,-9.5,1.14,B_New
B_GARCH Volatility Position Sizing,ADA_USDT,906,3552.67,46.7,0.539,0.112,0.221,-17.47,1.13,B_New
A_Bollinger Band Reversion,ICP_USDT,677,1978.25,65.0,0.537,0.059,0.256,-14.42,1.13,A_Original
A_RSI Mean Reversion,SHIB_USDT,72,687.07,56.9,0.528,0.029,0.353,-3.81,1.43,A_Original
B_GARCH Volatility Position Sizing,ETH_USDT,1058,3201.17,50.2,0.526,0.092,0.183,-17.71,1.12,B_New
B_Keltner Channel Breakout,SHIB_USDT,618,2314.55,42.4,0.524,0.151,0.427,-10.01,1.14,B_New
A_Ensemble A (RSI+MACD+BB),SOL_USDT,2838,2179.01,40.7,0.52,0.206,0.287,-12.22,1.06,A_Original
A_MACD Momentum,SOL_USDT,2343,2593.26,37.2,0.52,0.262,0.34,-12.11,1.07,A_Original
A_Bollinger Band Reversion,NEAR_USDT,745,2029.04,65.0,0.517,0.068,0.292,-11.62,1.11,A_Original
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4170,2436.39,37.1,0.512,0.223,0.161,-17.24,1.06,A_Original
B_GARCH Volatility Position Sizing,HBAR_USDT,737,3531.16,44.2,0.512,0.125,0.296,-15.9,1.14,B_New
Ensemble_MetaFiltered,DOGE_USDT,5,223.85,80.0,0.509,0.0,1.209,-0.27,9.32,B_New
A_RSI Mean Reversion,ICP_USDT,68,941.34,58.8,0.504,0.024,0.367,-4.98,1.46,A_Original
B_Keltner Channel Breakout,ADA_USDT,1048,3423.17,45.4,0.502,0.12,0.202,-18.44,1.1,B_New
B_GARCH Volatility Position Sizing,BTC_USDT,1074,2333.79,50.8,0.501,0.092,0.189,-12.94,1.12,B_New
B_MTF SMA-200 Filter,SHIB_USDT,2198,3189.21,23.7,0.497,0.292,0.381,-15.02,1.09,B_New
MACD_MetaFiltered,ADA_USDT,16,521.07,75.0,0.491,0.011,0.367,-1.73,2.75,B_New
B_Keltner Channel Breakout,ETH_USDT,1137,2932.99,46.5,0.474,0.105,0.201,-14.97,1.11,B_New
B_Donchian Breakout,BNB_USDT,719,3153.34,43.7,0.464,0.105,0.165,-19.96,1.16,B_New
A_Ensemble A (RSI+MACD+BB),HBAR_USDT,3507,2162.45,36.6,0.448,0.239,0.341,-8.85,1.05,A_Original
B_Ichimoku Cloud,NEAR_USDT,1102,2703.7,41.3,0.446,0.159,0.334,-13.21,1.07,B_New
Base_ML_MetaFiltered,TRX_USDT,8,255.46,62.5,0.443,0.014,0.648,-0.49,4.74,B_New
B_Ichimoku Cloud,ETH_USDT,1758,3063.79,39.2,0.442,0.147,0.161,-19.38,1.07,B_New
B_GARCH Volatility Position Sizing,TRX_USDT,985,2507.61,49.2,0.441,0.088,0.247,-11.66,1.13,B_New
