strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,ADA_USDT,2248,12113.15,16812.47,4699.32,45.5,1.361,0.39,0.54,-19.21,1.21,B_New
B_Base RF Model,DOGE_USDT,1886,15380.9,19474.65,4093.74,45.6,1.296,0.563,1.503,-9.72,1.33,B_New
B_Base RF Model,APT_USDT,1047,4056.04,7551.78,3495.74,43.1,1.244,0.472,0.756,-13.33,1.2,B_New
B_Base RF Model,HBAR_USDT,1883,8717.28,12200.81,3483.53,47.2,1.238,0.4,0.987,-10.1,1.21,B_New
B_Base RF Model,AVAX_USDT,1758,7083.34,10507.21,3423.87,44.6,1.17,0.413,0.747,-13.39,1.19,B_New
B_Elliott Wave + Base ML,DOGE_USDT,548,11594.94,13372.78,1777.84,48.0,1.156,0.334,1.286,-9.28,1.6,B_New
B_Base RF Model,DOT_USDT,1662,5980.91,9473.85,3492.94,44.8,1.137,0.368,0.66,-12.97,1.19,B_New
B_Base RF Model,ETH_USDT,2618,8871.42,13092.3,4220.88,41.0,1.133,0.421,0.472,-16.02,1.17,B_New
B_Elliott Wave + Base ML,NEAR_USDT,600,6410.81,8116.61,1705.8,46.2,1.115,0.262,1.413,-6.6,1.31,B_New
B_Base RF Model,XRP_USDT,2230,8565.67,12233.45,3667.78,43.8,1.111,0.352,1.107,-7.26,1.2,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1044,10432.23,12704.76,2272.53,49.9,1.04,0.252,1.016,-8.65,1.33,B_New
B_Base RF Model,TRX_USDT,2023,5960.51,10041.34,4080.82,41.8,1.034,0.3,0.517,-11.81,1.19,B_New
B_Base RF Model,BNB_USDT,2455,7391.02,10469.25,3078.23,42.6,1.016,0.302,0.71,-9.49,1.19,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2745,8642.86,12522.35,3879.49,47.2,1.013,0.558,1.035,-9.22,1.22,B_New
B_Trend RF Model,SHIB_USDT,89,1326.5,1380.78,54.27,51.7,0.936,0.146,0.847,-2.99,2.01,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.092,0.511,-5.11,1.99,A_Original
B_Elliott Wave + Base ML,ICP_USDT,569,4253.84,6162.21,1908.38,47.5,0.92,0.185,0.898,-8.21,1.25,B_New
B_Base RF Model,ATOM_USDT,2124,5777.03,9900.52,4123.49,45.6,0.917,0.292,0.555,-12.09,1.15,B_New
B_Elliott Wave + Base ML,DOT_USDT,556,4015.48,5542.19,1526.71,48.0,0.912,0.192,0.565,-10.78,1.28,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3616.67,5219.12,1602.45,65.9,0.907,0.109,0.454,-14.08,1.22,A_Original
B_Keltner Channel Breakout,BNB_USDT,1053,8846.08,10644.62,1798.54,46.8,0.905,0.242,1.015,-7.64,1.29,B_New
A_RSI Mean Reversion,SHIB_USDT,84,1075.27,1123.27,48.0,59.5,0.901,0.061,0.674,-3.07,1.74,A_Original
B_Donchian Breakout,SHIB_USDT,269,3124.59,3305.88,181.3,51.3,0.886,0.165,0.853,-6.57,1.52,B_New
B_Base RF Model,SHIB_USDT,932,4252.95,4938.78,685.82,45.6,0.865,0.228,0.751,-9.8,1.22,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,683,5691.19,7781.01,2089.82,49.0,0.862,0.206,0.61,-13.41,1.21,B_New
B_Base RF Model,NEAR_USDT,1781,4650.28,7434.51,2784.23,45.5,0.833,0.296,0.97,-7.33,1.13,B_New
B_Futures Short RF Model,SOL_USDT,584,4399.12,5905.07,1505.95,51.2,0.824,0.159,0.435,-15.1,1.23,B_New
B_Elliott Wave + Base ML,AVAX_USDT,607,4520.06,6112.2,1592.14,45.6,0.824,0.183,0.596,-11.51,1.24,B_New
B_Base RF Model,SOL_USDT,1849,4386.41,7345.91,2959.49,43.8,0.81,0.277,0.495,-13.24,1.12,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,762,10579.25,13149.66,2570.41,44.2,0.798,0.313,0.807,-13.8,1.34,B_New
B_Base RF Model,BTC_USDT,1287,3690.21,5631.55,1941.33,45.2,0.768,0.18,0.27,-13.63,1.17,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2064,2986.56,5714.4,2727.84,49.2,0.758,0.266,0.604,-8.91,1.12,B_New
B_Elliott Wave + Base ML,HBAR_USDT,645,3777.15,5136.87,1359.71,46.7,0.731,0.164,0.551,-9.03,1.23,B_New
B_Keltner Channel Breakout,NEAR_USDT,709,4209.9,6044.5,1834.6,47.0,0.717,0.168,0.701,-9.32,1.17,B_New
B_Elliott Wave + Base ML,SOL_USDT,667,3265.03,4789.95,1524.93,46.2,0.683,0.139,0.448,-11.28,1.16,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,640,3038.38,4245.2,1206.82,41.7,0.677,0.167,0.395,-11.99,1.18,B_New
A_Bollinger Band Reversion,HBAR_USDT,934,2620.92,4137.32,1516.4,63.7,0.673,0.1,0.258,-13.94,1.15,A_Original
B_Ichimoku Cloud,AVAX_USDT,1090,4357.01,7240.67,2883.66,40.8,0.672,0.228,0.65,-10.23,1.13,B_New
B_Keltner Channel Breakout,SOL_USDT,760,3584.26,5241.35,1657.09,46.4,0.671,0.156,0.617,-8.89,1.15,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,632,3820.26,5781.19,1960.93,47.3,0.669,0.149,0.393,-15.08,1.16,B_New
B_MACD Centerline Cross + Divergence,ATOM_USDT,2813,3617.6,7162.07,3544.47,49.2,0.668,0.233,0.411,-10.96,1.1,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2294,3019.74,5633.83,2614.09,48.7,0.662,0.241,0.349,-13.49,1.1,B_New
B_Ichimoku Cloud,SHIB_USDT,975,3414.7,4149.17,734.47,37.3,0.661,0.254,0.642,-9.45,1.14,B_New
B_Donchian Breakout,BNB_USDT,717,4700.52,5810.19,1109.67,42.8,0.66,0.154,0.273,-17.02,1.24,B_New
B_OFI Momentum,SHIB_USDT,1484,2836.89,3826.22,989.33,43.7,0.66,0.212,0.606,-8.47,1.13,B_New
B_Trend RF Model,ICP_USDT,51,1208.33,1265.27,56.94,60.8,0.658,0.037,0.303,-7.63,1.66,B_New
B_Keltner Channel Breakout,AVAX_USDT,736,3289.29,5201.58,1912.29,47.7,0.648,0.132,0.597,-8.69,1.15,B_New
B_Ichimoku Cloud,ADA_USDT,1593,5243.08,8540.28,3297.2,39.1,0.647,0.219,0.331,-16.25,1.11,B_New
B_Futures Short RF Model,BNB_USDT,955,4527.0,5981.03,1454.03,50.4,0.643,0.126,0.304,-14.81,1.21,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7012.54,9916.22,2903.68,37.4,0.641,0.273,0.54,-14.97,1.17,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2777,5306.68,8636.02,3329.34,48.8,0.629,0.345,0.544,-12.25,1.14,B_New
A_MACD Momentum,DOGE_USDT,2879,5813.77,9571.36,3757.59,37.5,0.627,0.457,0.341,-20.37,1.13,A_Original
