strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,ADA_USDT,468,11205.71,12430.43,1224.72,51.5,1.632,0.304,1.624,-6.03,1.79,B_New
B_Trend RF Model,SHIB_USDT,698,5365.22,5926.47,561.25,49.9,1.214,0.268,1.78,-5.05,1.34,B_New
B_Base RF Model,DOT_USDT,298,4013.61,4861.12,847.51,58.1,1.2,0.158,0.991,-6.14,1.55,B_New
B_Base RF Model,SHIB_USDT,439,6785.08,7168.81,383.73,46.7,1.167,0.346,1.33,-8.23,1.49,B_New
B_Base RF Model,DOGE_USDT,481,11152.76,12622.28,1469.53,50.9,1.139,0.299,1.29,-8.98,1.7,B_New
B_Base RF Model,AVAX_USDT,312,4211.64,5107.22,895.58,54.2,1.096,0.162,0.507,-12.75,1.43,B_New
B_Base RF Model,HBAR_USDT,460,6219.51,7366.47,1146.96,52.2,1.071,0.203,1.117,-6.81,1.49,B_New
B_Base RF Model,TRX_USDT,623,6257.01,7832.49,1575.47,49.8,1.07,0.185,1.047,-6.07,1.49,B_New
B_Elliott Wave + Base ML,DOGE_USDT,187,7979.82,8440.15,460.33,52.9,1.049,0.245,2.245,-3.99,2.42,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1044,10446.99,12708.39,2261.4,50.1,1.041,0.253,1.017,-8.65,1.33,B_New
B_Base RF Model,APT_USDT,159,2140.0,3008.59,868.59,53.5,1.033,0.128,0.545,-10.32,1.52,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2745,8643.52,12522.39,3878.86,47.2,1.013,0.558,1.036,-9.22,1.22,B_New
B_Elliott Wave + Base ML,SHIB_USDT,232,4449.91,4613.35,163.45,45.3,0.947,0.216,1.703,-4.5,1.69,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.092,0.511,-5.11,1.99,A_Original
B_Elliott Wave + Base ML,TRX_USDT,183,2575.29,2750.67,175.38,49.7,0.908,0.098,0.636,-4.63,1.78,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3616.67,5219.12,1602.45,65.9,0.907,0.109,0.454,-14.08,1.22,A_Original
B_Keltner Channel Breakout,BNB_USDT,1053,8862.45,10651.23,1788.78,46.9,0.906,0.242,1.016,-7.64,1.29,B_New
A_RSI Mean Reversion,SHIB_USDT,84,1080.61,1128.61,48.0,60.7,0.905,0.061,0.685,-3.04,1.75,A_Original
B_Donchian Breakout,SHIB_USDT,269,3124.59,3305.88,181.3,51.3,0.886,0.165,0.853,-6.57,1.52,B_New
