strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,SHIB_USDT,1146,9077.53,10049.52,971.99,59.7,1.985,0.406,2.0,-6.94,1.47,B_New
B_Base RF Model,ADA_USDT,1970,16351.76,20808.81,4457.04,54.1,1.604,0.361,1.831,-7.0,1.32,B_New
B_Base RF Model,AVAX_USDT,1400,9841.01,13041.89,3200.89,54.5,1.492,0.37,1.645,-7.91,1.29,B_New
B_Base RF Model,ICP_USDT,1264,7838.67,11244.07,3405.4,52.9,1.376,0.29,1.492,-8.27,1.26,B_New
B_Base RF Model,NEAR_USDT,1548,8738.99,11783.01,3044.02,52.7,1.287,0.347,1.388,-8.64,1.22,B_New
B_Base RF Model,LINK_USDT,1775,9360.43,12535.38,3174.95,53.0,1.15,0.283,0.927,-10.24,1.21,B_New
B_Base RF Model,XRP_USDT,1829,7755.23,10840.27,3085.04,50.0,1.09,0.282,0.587,-12.7,1.2,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1043,10397.47,12612.46,2214.98,50.0,1.043,0.252,1.003,-8.76,1.34,B_New
B_Base RF Model,DOT_USDT,1335,5497.78,8352.96,2855.18,52.9,1.041,0.224,0.686,-11.65,1.23,B_New
A_RSI Mean Reversion,HBAR_USDT,88,1992.32,2189.42,197.1,62.5,1.018,0.096,0.929,-3.01,2.38,A_Original
B_Base RF Model,APT_USDT,838,3064.88,6059.94,2995.06,49.6,1.005,0.276,1.314,-5.99,1.19,B_New
A_MACD Momentum,SHIB_USDT,2141,4979.04,6722.91,1743.87,35.0,0.986,0.656,1.022,-8.29,1.17,A_Original
B_Base RF Model,ETH_USDT,1744,6921.31,9561.55,2640.24,51.4,0.984,0.243,0.591,-10.55,1.18,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2605,3575.5,5485.55,1910.04,38.7,0.96,0.413,0.722,-8.78,1.13,A_Original
B_MACD Centerline Cross + Divergence,DOGE_USDT,2730,9581.61,13483.49,3901.87,50.6,0.959,0.596,1.094,-9.47,1.25,B_New
B_Elliott Wave + Base ML,ICP_USDT,536,4705.87,6808.29,2102.42,49.4,0.932,0.176,0.771,-10.46,1.29,B_New
B_Elliott Wave + Base ML,ADA_USDT,799,6226.64,8046.27,1819.63,48.7,0.926,0.191,0.734,-8.47,1.26,B_New
B_Base RF Model,LTC_USDT,1845,6738.36,9486.98,2748.62,52.2,0.908,0.214,0.775,-8.19,1.17,B_New
A_Bollinger Band Reversion,HBAR_USDT,893,3571.12,5174.75,1603.63,64.1,0.877,0.124,0.395,-12.02,1.19,A_Original
B_Base RF Model,ATOM_USDT,1714,5833.09,9706.3,3873.21,50.5,0.872,0.222,0.705,-9.62,1.17,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2049,3480.5,6319.69,2839.19,52.9,0.87,0.329,0.565,-10.95,1.13,B_New
B_VWAP Reversion,ICP_USDT,2151,3258.31,6200.19,2941.88,68.0,0.857,0.163,0.67,-8.72,1.11,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2753,7318.71,10848.47,3529.76,52.7,0.851,0.442,1.269,-6.85,1.19,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,682,5321.24,7346.35,2025.1,49.4,0.848,0.197,0.55,-14.1,1.21,B_New
B_Base RF Model,HBAR_USDT,1736,5069.01,7686.7,2617.69,53.1,0.844,0.196,0.766,-8.39,1.15,B_New
B_OFI Momentum,SHIB_USDT,1509,4017.12,5115.5,1098.37,41.9,0.84,0.313,0.731,-9.61,1.17,B_New
B_Elliott Wave + Base ML,SHIB_USDT,286,2763.67,2950.54,186.87,46.9,0.833,0.138,0.919,-5.47,1.43,B_New
B_MACD Centerline Cross + Divergence,XRP_USDT,3250,5192.03,8820.49,3628.45,51.2,0.833,0.319,0.521,-10.33,1.15,B_New
A_Bollinger Band Reversion,SHIB_USDT,658,2230.41,2668.67,438.26,66.4,0.832,0.103,0.654,-6.32,1.22,A_Original
B_Ichimoku Cloud,AVAX_USDT,1090,5775.19,8827.32,3052.13,41.5,0.824,0.3,0.801,-10.59,1.17,B_New
B_Donchian Breakout,SHIB_USDT,274,3539.23,3735.31,196.08,46.7,0.818,0.193,1.051,-5.98,1.5,B_New
