strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_MACD Centerline Cross + Divergence,SOL_USDT,2288,3810.46,6439.35,2628.89,51.6,0.816,0.299,0.539,-10.77,1.12,B_New
B_Base RF Model,DOGE_USDT,1543,5507.84,7817.03,2309.19,54.5,0.814,0.132,0.473,-14.07,1.19,B_New
B_MACD Centerline Cross + Divergence,BNB_USDT,3433,4686.69,7877.23,3190.54,51.7,0.801,0.274,0.481,-9.65,1.14,B_New
B_MACD Centerline Cross + Divergence,LINK_USDT,2955,5397.18,8870.11,3472.92,52.7,0.795,0.291,0.573,-10.65,1.13,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,759,8704.9,11028.39,2323.49,45.3,0.78,0.269,0.751,-12.81,1.31,B_New
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4286,4117.98,8034.5,3916.52,39.3,0.776,0.336,0.298,-13.97,1.1,A_Original
B_MACD Centerline Cross + Divergence,ADA_USDT,3261,4886.86,8746.98,3860.12,52.5,0.762,0.22,0.388,-13.1,1.11,B_New
A_MACD Momentum,ETH_USDT,3587,4568.03,8358.45,3790.42,34.2,0.734,0.379,0.404,-10.95,1.11,A_Original
"B_SuperTrend (ATR×3, 10)",ETH_USDT,943,3812.97,5192.73,1379.76,38.5,0.719,0.222,0.256,-14.77,1.19,B_New
B_Ichimoku Cloud,DOGE_USDT,1355,7934.3,10945.13,3010.83,37.2,0.715,0.354,0.605,-14.78,1.19,B_New
B_Keltner Channel Breakout,BNB_USDT,1081,6635.97,8294.85,1658.88,47.3,0.71,0.166,0.592,-10.46,1.22,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,631,4059.96,6049.51,1989.55,48.0,0.704,0.157,0.395,-15.87,1.17,B_New
B_Ichimoku Cloud,SHIB_USDT,981,3662.65,4417.79,755.14,37.5,0.702,0.287,0.596,-10.87,1.15,B_New
"B_SuperTrend (ATR×3, 10)",NEAR_USDT,605,3190.45,4385.61,1195.16,42.3,0.699,0.211,0.528,-9.7,1.18,B_New
B_Base RF Model,BNB_USDT,1689,4616.04,6449.98,1833.94,52.0,0.69,0.14,0.445,-10.3,1.15,B_New
A_Ensemble A (RSI+MACD+BB),LINK_USDT,3796,3681.51,7670.51,3989.0,39.1,0.689,0.298,0.252,-17.46,1.07,A_Original
B_GARCH Volatility Position Sizing,NEAR_USDT,629,4115.68,6060.27,1944.59,49.1,0.688,0.148,0.387,-16.57,1.16,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,896,5068.52,6943.5,1874.98,44.9,0.672,0.171,0.656,-8.03,1.22,B_New
B_GARCH Volatility Position Sizing,LINK_USDT,871,4781.84,7014.61,2232.77,49.7,0.663,0.14,0.436,-12.66,1.15,B_New
B_MACD Centerline Cross + Divergence,BTC_USDT,3447,2673.0,5894.98,3221.98,51.8,0.657,0.203,0.186,-14.85,1.1,B_New
B_Keltner Channel Breakout,NEAR_USDT,727,3774.99,5620.74,1845.75,45.9,0.657,0.153,0.787,-7.56,1.15,B_New
A_MACD Momentum,XRP_USDT,3434,4616.81,8283.01,3666.2,32.6,0.651,0.398,0.374,-13.01,1.11,A_Original
"B_SuperTrend (ATR×3, 10)",BTC_USDT,871,2290.11,3367.46,1077.35,40.2,0.647,0.185,0.254,-9.44,1.18,B_New
B_MACD Centerline Cross + Divergence,ATOM_USDT,2807,3271.57,6720.43,3448.86,52.2,0.638,0.229,0.488,-8.45,1.1,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,528,3060.42,3439.41,378.99,43.2,0.631,0.16,0.691,-7.98,1.2,B_New
B_MACD Centerline Cross + Divergence,NEAR_USDT,2272,3115.55,5880.34,2764.79,51.5,0.629,0.221,0.274,-18.31,1.09,B_New
B_VWAP Reversion,HBAR_USDT,2674,3091.61,6285.35,3193.74,67.8,0.628,0.118,0.245,-17.03,1.08,B_New
B_MACD Centerline Cross + Divergence,DOT_USDT,2241,2318.73,4967.63,2648.91,53.4,0.623,0.199,0.541,-6.89,1.09,B_New
A_MACD Momentum,BNB_USDT,3533,4250.89,7574.01,3323.12,35.2,0.62,0.295,0.362,-11.8,1.1,A_Original
B_Elliott Wave + Base ML,LINK_USDT,747,3851.9,5322.01,1470.11,49.4,0.619,0.117,0.681,-6.71,1.17,B_New
A_Ensemble A (RSI+MACD+BB),ADA_USDT,4074,3213.91,7185.27,3971.36,39.0,0.618,0.266,0.241,-14.63,1.07,A_Original
B_MACD Centerline Cross + Divergence,SHIB_USDT,2089,2311.49,3737.83,1426.33,51.7,0.617,0.189,0.536,-7.97,1.11,B_New
B_Keltner Channel Breakout,AVAX_USDT,750,3211.08,5123.61,1912.53,47.6,0.612,0.136,0.422,-12.07,1.14,B_New
B_Keltner Channel Breakout,SOL_USDT,779,3429.24,5169.15,1739.92,46.6,0.61,0.143,0.61,-8.68,1.13,B_New
B_Ichimoku Cloud,ADA_USDT,1602,4871.05,8042.72,3171.68,39.3,0.609,0.212,0.354,-14.3,1.11,B_New
"B_SuperTrend (ATR×3, 10)",ADA_USDT,864,3091.49,4484.72,1393.22,39.7,0.603,0.185,0.17,-20.02,1.14,B_New
B_Futures Short RF Model,APT_USDT,44,700.03,877.82,177.79,59.1,0.578,0.072,0.409,-4.73,1.65,B_New
A_RSI Mean Reversion,XRP_USDT,114,990.08,1196.92,206.84,61.4,0.572,0.031,0.397,-3.0,1.56,A_Original
B_Ichimoku Cloud,BNB_USDT,1697,5286.66,7613.77,2327.11,39.4,0.571,0.186,0.531,-9.68,1.13,B_New
B_Funding Rate Arb,DOT_USDT,2,92.86,101.71,8.84,100.0,0.57,0.0,0.0,0.0,inf,B_New
A_MACD Momentum,DOGE_USDT,2938,4797.92,8076.52,3278.6,32.4,0.565,0.465,0.407,-14.53,1.12,A_Original
A_Ensemble A (RSI+MACD+BB),ATOM_USDT,3621,2792.03,6709.65,3917.62,39.0,0.563,0.27,0.187,-19.19,1.06,A_Original
B_Funding Rate Arb,ICP_USDT,8,622.6,883.89,261.29,50.0,0.556,0.033,0.709,-1.73,3.79,B_New
A_MACD Momentum,ADA_USDT,3340,3566.55,7072.17,3505.62,34.2,0.555,0.283,0.423,-9.14,1.08,A_Original
"B_SuperTrend (ATR×3, 10)",BNB_USDT,900,3407.31,4475.31,1068.0,40.0,0.543,0.148,0.516,-6.82,1.19,B_New
B_GARCH Volatility Position Sizing,ADA_USDT,906,3563.96,5577.11,2013.16,46.7,0.54,0.112,0.222,-17.47,1.13,B_New
A_Bollinger Band Reversion,ICP_USDT,677,1978.25,3390.69,1412.44,65.0,0.537,0.059,0.256,-14.42,1.13,A_Original
B_Trend RF Model,SHIB_USDT,660,1933.81,2364.72,430.91,52.0,0.529,0.09,0.377,-9.6,1.13,B_New
A_RSI Mean Reversion,SHIB_USDT,72,687.07,730.3,43.23,56.9,0.528,0.029,0.353,-3.81,1.43,A_Original
B_GARCH Volatility Position Sizing,ETH_USDT,1058,3204.92,5050.81,1845.9,50.2,0.527,0.092,0.184,-17.71,1.12,B_New
B_Keltner Channel Breakout,SHIB_USDT,618,2318.52,2733.83,415.31,42.4,0.525,0.151,0.428,-10.01,1.14,B_New
A_Ensemble A (RSI+MACD+BB),SOL_USDT,2839,2178.53,4859.96,2681.44,40.7,0.52,0.206,0.287,-12.22,1.06,A_Original
A_MACD Momentum,SOL_USDT,2343,2582.91,5179.53,2596.61,37.2,0.518,0.261,0.339,-12.11,1.07,A_Original
A_Bollinger Band Reversion,NEAR_USDT,745,2029.04,3370.55,1341.51,65.0,0.517,0.068,0.292,-11.62,1.11,A_Original
B_GARCH Volatility Position Sizing,HBAR_USDT,737,3531.16,5312.88,1781.71,44.2,0.512,0.125,0.296,-15.9,1.14,B_New
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4171,2435.39,6076.74,3641.35,37.1,0.512,0.223,0.161,-17.24,1.06,A_Original
B_Futures Short RF Model,ICP_USDT,66,678.68,879.0,200.32,53.0,0.51,0.051,0.29,-4.58,1.41,B_New
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,701,2560.07,3642.84,1082.77,36.9,0.509,0.182,0.312,-10.9,1.18,B_New
A_RSI Mean Reversion,ICP_USDT,68,941.34,1079.27,137.93,58.8,0.504,0.024,0.367,-4.98,1.46,A_Original
B_GARCH Volatility Position Sizing,BTC_USDT,1074,2339.47,4024.7,1685.22,50.8,0.503,0.092,0.189,-12.94,1.12,B_New
B_Keltner Channel Breakout,ADA_USDT,1048,3411.57,5527.09,2115.52,45.4,0.501,0.12,0.202,-18.44,1.1,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,641,2055.69,3109.9,1054.21,42.0,0.5,0.12,0.315,-10.56,1.13,B_New
B_MTF SMA-200 Filter,SHIB_USDT,2198,3184.87,4864.27,1679.4,23.7,0.496,0.292,0.381,-15.02,1.09,B_New
B_Futures Short RF Model,SOL_USDT,52,999.0,1064.52,65.52,50.0,0.495,0.051,0.449,-3.74,1.68,B_New
"B_SuperTrend (ATR×3, 10)",LTC_USDT,903,2309.75,3564.88,1255.13,40.9,0.476,0.128,0.142,-17.68,1.11,B_New
B_Keltner Channel Breakout,ETH_USDT,1137,2928.99,4507.01,1578.01,46.5,0.474,0.105,0.2,-14.97,1.11,B_New
"B_SuperTrend (ATR×3, 10)",AVAX_USDT,629,1857.01,3062.27,1205.25,39.6,0.465,0.128,0.247,-12.48,1.12,B_New
B_Donchian Breakout,BNB_USDT,719,3153.34,4196.86,1043.51,43.7,0.463,0.105,0.165,-19.96,1.16,B_New
B_Elliott Wave + Base ML,ETH_USDT,705,2390.61,3279.24,888.63,47.8,0.462,0.079,0.266,-9.37,1.14,B_New
B_Base RF Model,SOL_USDT,1443,2064.13,4095.91,2031.78,52.4,0.45,0.104,0.274,-12.17,1.07,B_New
A_Ensemble A (RSI+MACD+BB),HBAR_USDT,3507,2160.53,5276.06,3115.53,36.6,0.447,0.238,0.341,-8.85,1.05,A_Original
B_Ichimoku Cloud,NEAR_USDT,1102,2700.6,5174.96,2474.36,41.3,0.446,0.159,0.334,-13.21,1.07,B_New
B_Ichimoku Cloud,ETH_USDT,1759,3061.55,5666.67,2605.11,39.2,0.442,0.146,0.161,-19.39,1.07,B_New
B_GARCH Volatility Position Sizing,TRX_USDT,985,2507.61,4748.85,2241.24,49.2,0.441,0.088,0.247,-11.66,1.13,B_New
B_MACD Centerline Cross + Divergence,SUI_USDT,1211,920.7,2363.59,1442.89,50.0,0.434,0.167,0.283,-10.56,1.06,B_New
B_Funding Rate Arb,SUI_USDT,2,102.64,131.43,28.79,50.0,0.429,0.0,1.063,-0.32,4.15,B_New
B_Funding Rate Arb,NEAR_USDT,1,86.0,92.56,6.56,100.0,0.425,0.0,0.0,0.0,inf,B_New
B_Ichimoku Cloud,SOL_USDT,1150,2437.18,4751.51,2314.33,40.0,0.419,0.155,0.29,-13.4,1.07,B_New
B_Funding Rate Arb,SOL_USDT,1,59.7,70.53,10.83,100.0,0.418,0.0,0.0,0.0,inf,B_New
B_Keltner Channel Breakout,DOGE_USDT,807,2841.4,4400.74,1559.34,44.1,0.408,0.091,0.25,-14.92,1.11,B_New
A_Ensemble A (RSI+MACD+BB),DOT_USDT,2848,1429.53,4280.92,2851.38,38.6,0.406,0.181,0.232,-10.24,1.05,A_Original
B_MACD Centerline Cross + Divergence,LTC_USDT,3422,2123.97,5604.81,3480.84,50.4,0.405,0.145,0.089,-26.08,1.05,B_New
B_MACD Centerline Cross + Divergence,ETH_USDT,3444,1821.98,4998.54,3176.56,51.6,0.404,0.124,0.079,-24.57,1.06,B_New
A_Ensemble A (RSI+MACD+BB),ETH_USDT,4271,1842.09,5567.17,3725.08,38.1,0.402,0.16,0.103,-19.07,1.05,A_Original
B_Futures Short RF Model,ETH_USDT,8,224.15,237.3,13.15,37.5,0.399,0.014,0.422,-0.61,3.65,B_New
A_Bollinger Band Reversion,AVAX_USDT,755,1348.17,2674.55,1326.38,63.3,0.395,0.055,0.129,-17.76,1.08,A_Original
"B_SuperTrend (ATR×3, 10)",LINK_USDT,808,1694.89,2893.05,1198.16,41.6,0.391,0.109,0.223,-9.76,1.09,B_New
B_Base RF Model,SUI_USDT,766,889.05,2254.45,1365.4,50.5,0.386,0.098,0.257,-11.25,1.06,B_New
B_Elliott Wave + Base ML,XRP_USDT,750,2026.86,3176.08,1149.22,45.6,0.379,0.068,0.155,-15.05,1.11,B_New
B_Base RF Model,TRX_USDT,1456,1697.97,4490.5,2792.53,51.4,0.376,0.075,0.099,-20.36,1.07,B_New
B_Ichimoku Cloud,XRP_USDT,1599,2595.72,5057.23,2461.51,35.6,0.372,0.136,0.151,-19.37,1.07,B_New
A_RSI Mean Reversion,DOGE_USDT,88,468.47,611.62,143.15,52.3,0.371,0.02,0.221,-3.04,1.32,A_Original
B_Donchian Breakout,HBAR_USDT,572,1641.55,2825.01,1183.47,45.5,0.37,0.075,0.14,-16.67,1.11,B_New
B_Funding Rate Arb,TRX_USDT,1,14.06,19.99,5.93,100.0,0.356,0.0,0.0,0.0,inf,B_New
B_Elliott Wave + Base ML,AVAX_USDT,544,1435.02,2639.73,1204.7,51.3,0.348,0.054,0.154,-15.7,1.1,B_New
"B_SuperTrend (ATR×3, 10)",SHIB_USDT,514,1171.17,1492.41,321.24,38.1,0.346,0.104,0.335,-6.72,1.11,B_New
B_VWAP Reversion,DOGE_USDT,2509,1397.86,3825.27,2427.41,67.0,0.331,0.059,0.181,-10.72,1.05,B_New
B_Elliott Wave + Base ML,BNB_USDT,640,1998.8,2723.61,724.81,48.1,0.329,0.057,0.188,-11.59,1.12,B_New
B_Trend RF Model,ICP_USDT,657,1315.43,3295.73,1980.3,52.8,0.328,0.052,0.17,-14.82,1.07,B_New
B_MTF SMA-200 Filter,BNB_USDT,3485,2432.64,5759.81,3327.17,25.7,0.319,0.144,0.181,-14.37,1.05,B_New
A_RSI Mean Reversion,ADA_USDT,122,591.75,793.18,201.44,58.2,0.319,0.017,0.114,-6.28,1.23,A_Original
B_OFI Momentum,SOL_USDT,1801,1438.49,3601.7,2163.21,43.0,0.318,0.107,0.095,-25.11,1.04,B_New
B_Keltner Channel Breakout,ICP_USDT,628,1251.75,3018.82,1767.08,45.4,0.315,0.081,0.155,-15.48,1.07,B_New
A_RSI Mean Reversion,LTC_USDT,135,604.62,772.81,168.19,55.6,0.314,0.018,0.152,-4.63,1.23,A_Original
B_MTF SMA-200 Filter,DOGE_USDT,3100,2374.38,6184.82,3810.44,21.7,0.309,0.185,0.188,-16.9,1.05,B_New
B_Ichimoku Cloud,LINK_USDT,1450,1893.84,4483.51,2589.67,40.3,0.305,0.106,0.12,-20.05,1.04,B_New
B_Elliott Wave + Base ML,NEAR_USDT,622,1260.78,2485.22,1224.44,44.5,0.297,0.06,0.21,-10.31,1.07,B_New
A_MACD Momentum,LINK_USDT,3136,1542.82,4683.81,3140.99,34.5,0.295,0.159,0.111,-17.87,1.03,A_Original
B_Volatility Breakout (TTM Squeeze),HBAR_USDT,381,1718.61,2381.78,663.17,44.6,0.295,0.078,0.225,-10.81,1.18,B_New
B_Elliott Wave + Base ML,SOL_USDT,553,1242.68,2303.46,1060.78,51.4,0.295,0.043,0.129,-16.06,1.08,B_New
B_Volatility Breakout (TTM Squeeze),APT_USDT,213,530.69,1411.31,880.62,42.3,0.291,0.047,0.165,-8.92,1.11,B_New
A_MACD Momentum,DOT_USDT,2361,1101.98,3664.1,2562.12,35.2,0.289,0.163,0.207,-8.96,1.04,A_Original
B_Donchian Breakout,NEAR_USDT,463,1149.35,2172.83,1023.48,47.5,0.289,0.052,0.194,-10.19,1.07,B_New
A_Bollinger Band Reversion,SUI_USDT,399,460.62,1279.07,818.45,66.9,0.288,0.037,0.13,-11.62,1.06,A_Original
B_VWAP Reversion,NEAR_USDT,2500,1110.51,3474.06,2363.55,68.0,0.279,0.054,0.129,-14.92,1.04,B_New
B_MTF SMA-200 Filter,XRP_USDT,3472,1910.61,5972.19,4061.59,23.0,0.277,0.14,0.101,-21.93,1.04,B_New
B_Donchian Breakout,LINK_USDT,578,1163.79,2197.04,1033.25,49.1,0.269,0.045,0.108,-14.11,1.07,B_New
A_RSI Mean Reversion,DOT_USDT,86,334.06,528.05,193.99,59.3,0.267,0.017,0.15,-3.85,1.17,A_Original
"B_SuperTrend (ATR×3, 10)",XRP_USDT,829,1068.88,2152.61,1083.73,40.2,0.265,0.066,0.06,-21.25,1.07,B_New
B_OFI Momentum,AVAX_USDT,1758,1197.02,3394.79,2197.77,43.5,0.264,0.089,0.137,-14.84,1.04,B_New
B_Elliott Wave + Base ML,BTC_USDT,571,896.66,1480.85,584.18,47.5,0.262,0.033,0.191,-5.19,1.09,B_New
A_MACD Momentum,AVAX_USDT,2362,1110.64,3493.85,2383.2,35.3,0.26,0.146,0.154,-12.31,1.04,A_Original
B_Futures Short RF Model,ADA_USDT,4,86.9,89.32,2.42,50.0,0.249,0.005,0.244,-0.44,2.94,B_New
B_Keltner Channel Breakout,LINK_USDT,947,1266.7,2813.18,1546.47,46.8,0.242,0.053,0.158,-10.46,1.05,B_New
A_RSI Mean Reversion,ATOM_USDT,103,383.66,632.97,249.31,52.4,0.236,0.017,0.102,-5.29,1.16,A_Original
A_Bollinger Band Reversion,SOL_USDT,762,729.0,1775.88,1046.89,62.6,0.232,0.031,0.121,-10.2,1.05,A_Original
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3500,963.42,3830.69,2867.27,35.9,0.231,0.112,0.082,-16.54,1.03,A_Original
B_Ichimoku Cloud,BTC_USDT,1776,1044.2,3219.69,2175.49,39.8,0.227,0.068,0.078,-14.81,1.04,B_New
A_Bollinger Band Reversion,LTC_USDT,1130,947.4,2330.02,1382.62,64.3,0.223,0.027,0.068,-16.01,1.05,A_Original
A_Ensemble A (RSI+MACD+BB),AVAX_USDT,2866,779.62,3480.8,2701.18,38.1,0.219,0.099,0.075,-17.93,1.02,A_Original
A_Bollinger Band Reversion,DOT_USDT,816,701.46,2001.84,1300.39,64.5,0.219,0.026,0.112,-10.72,1.05,A_Original
B_Elliott Wave + Base ML,DOGE_USDT,551,1038.26,1911.92,873.66,48.1,0.219,0.024,0.075,-19.35,1.08,B_New
B_Keltner Channel Breakout,DOT_USDT,739,838.5,2549.33,1710.83,46.4,0.217,0.045,0.094,-15.22,1.04,B_New
A_Bollinger Band Reversion,XRP_USDT,1037,784.64,2058.81,1274.18,64.2,0.217,0.025,0.066,-14.37,1.05,A_Original
B_MTF SMA-200 Filter,ETH_USDT,3614,1344.82,5209.81,3864.99,24.3,0.214,0.093,0.068,-21.47,1.03,B_New
B_Base RF Model,BTC_USDT,1359,843.68,2384.31,1540.63,49.4,0.213,0.039,0.068,-13.81,1.04,B_New
B_MTF SMA-200 Filter,SOL_USDT,2409,1032.16,4278.41,3246.25,25.1,0.208,0.094,0.087,-19.85,1.02,B_New
B_GARCH Volatility Position Sizing,ICP_USDT,519,760.66,2373.82,1613.16,43.7,0.207,0.048,0.099,-15.03,1.05,B_New
B_Elliott Wave + Base ML,ATOM_USDT,694,900.65,2574.21,1673.56,47.8,0.206,0.038,0.101,-12.24,1.05,B_New
B_Volatility Breakout (TTM Squeeze),SHIB_USDT,336,437.67,634.47,196.81,42.9,0.202,0.03,0.087,-9.96,1.07,B_New
B_OFI Momentum,BTC_USDT,2555,757.59,3045.47,2287.88,40.0,0.192,0.064,0.044,-19.02,1.03,B_New
B_Elliott Wave + Base ML,APT_USDT,375,412.41,2246.04,1833.62,46.7,0.191,0.035,0.091,-12.66,1.04,B_New
B_Futures Short RF Model,NEAR_USDT,65,264.84,428.06,163.22,50.8,0.186,0.016,0.075,-6.34,1.14,B_New
B_Futures Short RF Model,LTC_USDT,52,252.27,350.7,98.43,48.1,0.185,0.007,0.059,-5.04,1.23,B_New
B_Volatility Breakout (TTM Squeeze),TRX_USDT,340,487.19,1049.92,562.73,41.2,0.182,0.024,0.07,-8.71,1.08,B_New
B_OFI Momentum,ADA_USDT,2427,826.05,3356.01,2529.96,43.4,0.176,0.053,0.056,-17.63,1.02,B_New
B_MTF SMA-200 Filter,ICP_USDT,2143,669.4,4171.19,3501.79,23.7,0.172,0.086,0.053,-24.84,1.02,B_New
B_MTF SMA-200 Filter,ADA_USDT,3429,981.99,4993.1,4011.11,23.4,0.171,0.078,0.072,-16.4,1.02,B_New
A_Bollinger Band Reversion,LINK_USDT,963,630.15,1880.98,1250.83,63.1,0.17,0.021,0.068,-12.47,1.03,A_Original
A_Bollinger Band Reversion,ADA_USDT,1084,622.84,1918.49,1295.65,63.0,0.169,0.021,0.107,-7.05,1.04,A_Original
A_RSI Mean Reversion,UNI_USDT,90,211.81,361.79,149.98,50.0,0.155,0.01,0.073,-5.1,1.11,A_Original
B_Futures Short RF Model,ATOM_USDT,99,340.48,547.0,206.52,52.5,0.154,0.011,0.073,-6.58,1.11,B_New
B_GARCH Volatility Position Sizing,ATOM_USDT,793,651.33,2340.41,1689.08,48.8,0.154,0.029,0.032,-28.62,1.03,B_New
B_MTF SMA-200 Filter,AVAX_USDT,2390,519.66,3938.47,3418.81,23.7,0.136,0.065,0.047,-19.43,1.01,B_New
B_MACD Centerline Cross + Divergence,AVAX_USDT,2265,396.83,2628.02,2231.19,50.5,0.135,0.047,0.053,-13.16,1.01,B_New
A_RSI Mean Reversion,APT_USDT,54,111.15,354.81,243.66,59.3,0.132,0.007,0.037,-8.47,1.07,A_Original
B_OFI Momentum,DOT_USDT,1684,376.03,2486.94,2110.91,43.1,0.125,0.038,0.044,-14.77,1.01,B_New
A_Ensemble A (RSI+MACD+BB),ICP_USDT,2548,314.3,2792.15,2477.84,37.5,0.124,0.059,0.043,-14.65,1.01,A_Original
B_MTF SMA-200 Filter,DOT_USDT,2301,418.97,3940.57,3521.6,26.4,0.123,0.058,0.053,-13.7,1.01,B_New
B_MTF SMA-200 Filter,LINK_USDT,3106,509.19,4228.22,3719.03,24.7,0.117,0.055,0.034,-20.32,1.01,B_New
"B_SuperTrend (ATR×3, 10)",SUI_USDT,374,178.9,975.51,796.61,37.7,0.117,0.037,0.063,-9.43,1.02,B_New
A_Bollinger Band Reversion,DOGE_USDT,896,340.37,1416.97,1076.6,64.2,0.111,0.011,0.039,-12.55,1.02,A_Original
B_GARCH Volatility Position Sizing,DOT_USDT,627,320.82,1834.96,1514.14,48.3,0.108,0.02,0.022,-24.98,1.02,B_New
B_Ichimoku Cloud,TRX_USDT,1578,411.82,3363.38,2951.55,36.8,0.106,0.035,0.023,-22.27,1.01,B_New
B_OFI Momentum,XRP_USDT,2445,384.33,2578.24,2193.92,42.5,0.104,0.032,0.029,-16.08,1.01,B_New
B_Futures Short RF Model,AVAX_USDT,75,133.83,325.23,191.4,46.7,0.094,0.006,0.034,-7.06,1.06,B_New
B_Keltner Channel Breakout,BTC_USDT,1150,293.33,1668.53,1375.2,45.2,0.09,0.018,0.019,-17.09,1.02,B_New
B_Keltner Channel Breakout,TRX_USDT,1105,268.58,2505.01,2236.43,41.8,0.085,0.019,0.024,-13.82,1.01,B_New
B_Donchian Breakout,ETH_USDT,539,256.04,936.9,680.87,46.8,0.081,0.01,0.025,-11.76,1.02,B_New
B_Volatility Breakout (TTM Squeeze),BTC_USDT,546,189.87,832.13,642.26,39.4,0.08,0.011,0.017,-12.59,1.02,B_New
