strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_GARCH Volatility Position Sizing,BNB_USDT,1043,10397.47,50.0,1.043,0.252,1.003,-8.76,1.34,B_New
A_RSI Mean Reversion,HBAR_USDT,88,1992.32,62.5,1.018,0.096,0.929,-3.01,2.38,A_Original
A_MACD Momentum,SHIB_USDT,2141,4969.29,34.9,0.984,0.655,1.02,-8.29,1.17,A_Original
B_MACD Centerline Cross + Divergence,DOGE_USDT,2730,9611.84,50.6,0.961,0.597,1.101,-9.43,1.25,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2605,3566.67,38.7,0.958,0.412,0.721,-8.78,1.13,A_Original
B_Base RF Model,SHIB_USDT,761,3714.31,51.1,0.895,0.16,0.612,-10.72,1.24,B_New
A_Bollinger Band Reversion,HBAR_USDT,893,3562.78,64.1,0.875,0.123,0.394,-12.02,1.19,A_Original
B_MACD Centerline Cross + Divergence,ICP_USDT,2048,3478.91,52.9,0.87,0.329,0.565,-10.95,1.13,B_New
B_VWAP Reversion,ICP_USDT,2151,3258.31,68.0,0.857,0.163,0.67,-8.72,1.11,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2753,7308.66,52.7,0.85,0.442,1.268,-6.85,1.19,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,682,5321.24,49.4,0.849,0.197,0.55,-14.1,1.21,B_New
B_OFI Momentum,SHIB_USDT,1508,4034.17,42.0,0.843,0.314,0.734,-9.61,1.17,B_New
B_MACD Centerline Cross + Divergence,XRP_USDT,3250,5187.55,51.2,0.833,0.319,0.52,-10.33,1.15,B_New
A_Bollinger Band Reversion,SHIB_USDT,658,2230.41,66.4,0.832,0.103,0.654,-6.32,1.22,A_Original
B_Ichimoku Cloud,AVAX_USDT,1089,5798.58,41.5,0.827,0.301,0.803,-10.59,1.17,B_New
B_Donchian Breakout,SHIB_USDT,274,3547.99,46.7,0.82,0.194,1.053,-5.98,1.5,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2287,3799.94,51.6,0.814,0.299,0.538,-10.77,1.12,B_New
B_MACD Centerline Cross + Divergence,BNB_USDT,3433,4675.14,51.7,0.799,0.273,0.48,-9.65,1.14,B_New
B_Futures Short RF Model,SOL_USDT,53,1680.29,64.2,0.793,0.046,0.633,-4.35,2.48,B_New
B_MACD Centerline Cross + Divergence,LINK_USDT,2955,5382.5,52.6,0.793,0.29,0.572,-10.66,1.13,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,759,8766.32,45.3,0.783,0.271,0.755,-12.81,1.31,B_New
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4285,4102.74,39.3,0.774,0.335,0.297,-13.97,1.1,A_Original
Ensemble_MetaFiltered,ADA_USDT,21,741.79,71.4,0.761,0.037,1.058,-0.85,5.66,B_New
B_MACD Centerline Cross + Divergence,ADA_USDT,3260,4883.85,52.5,0.761,0.22,0.388,-13.1,1.11,B_New
A_MACD Momentum,ETH_USDT,3587,4534.1,34.2,0.73,0.377,0.402,-10.95,1.1,A_Original
Base_ML_MetaFiltered,HBAR_USDT,9,134.8,77.8,0.728,0.028,1.777,-0.11,12.17,B_New
B_Ichimoku Cloud,DOGE_USDT,1355,7992.87,37.2,0.719,0.356,0.609,-14.78,1.19,B_New
B_Keltner Channel Breakout,BNB_USDT,1080,6629.65,47.2,0.709,0.166,0.591,-10.46,1.22,B_New
B_Ichimoku Cloud,SHIB_USDT,980,3685.72,37.6,0.706,0.289,0.599,-10.87,1.15,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,631,4070.79,48.0,0.705,0.157,0.398,-15.81,1.17,B_New
B_GARCH Volatility Position Sizing,NEAR_USDT,629,4115.68,49.1,0.688,0.148,0.387,-16.57,1.16,B_New
A_Ensemble A (RSI+MACD+BB),LINK_USDT,3796,3668.58,39.1,0.687,0.297,0.251,-17.46,1.07,A_Original
B_GARCH Volatility Position Sizing,XRP_USDT,896,5068.52,44.9,0.672,0.171,0.656,-8.03,1.22,B_New
B_GARCH Volatility Position Sizing,LINK_USDT,871,4796.52,49.7,0.665,0.14,0.437,-12.66,1.15,B_New
B_Futures Short RF Model,ETH_USDT,6,318.56,100.0,0.662,0.0,0.0,0.0,inf,B_New
B_MACD Centerline Cross + Divergence,BTC_USDT,3446,2669.49,51.8,0.656,0.203,0.186,-14.85,1.1,B_New
B_Keltner Channel Breakout,NEAR_USDT,727,3764.13,45.8,0.655,0.152,0.785,-7.56,1.15,B_New
A_MACD Momentum,XRP_USDT,3434,4612.5,32.6,0.651,0.397,0.374,-13.01,1.11,A_Original
B_MACD Centerline Cross + Divergence,ATOM_USDT,2807,3271.57,52.2,0.638,0.229,0.488,-8.45,1.1,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,528,3068.87,43.2,0.632,0.161,0.693,-7.98,1.2,B_New
B_VWAP Reversion,HBAR_USDT,2674,3091.61,67.8,0.628,0.118,0.245,-17.03,1.08,B_New
B_MACD Centerline Cross + Divergence,NEAR_USDT,2272,3105.36,51.5,0.627,0.221,0.273,-18.31,1.09,B_New
B_MACD Centerline Cross + Divergence,SHIB_USDT,2088,2328.32,51.7,0.621,0.19,0.54,-7.97,1.11,B_New
B_MACD Centerline Cross + Divergence,DOT_USDT,2241,2307.9,53.4,0.621,0.198,0.539,-6.89,1.09,B_New
A_MACD Momentum,BNB_USDT,3533,4239.68,35.2,0.619,0.294,0.361,-11.8,1.1,A_Original
A_Ensemble A (RSI+MACD+BB),ADA_USDT,4074,3204.64,39.0,0.617,0.265,0.241,-14.63,1.07,A_Original
MACD_MetaFiltered,TRX_USDT,31,796.28,58.1,0.617,0.043,0.854,-1.14,2.51,B_New
B_Keltner Channel Breakout,AVAX_USDT,750,3221.26,47.6,0.614,0.137,0.423,-12.07,1.14,B_New
B_Ichimoku Cloud,ADA_USDT,1601,4902.16,39.3,0.612,0.213,0.361,-14.12,1.11,B_New
B_Keltner Channel Breakout,SOL_USDT,778,3435.45,46.7,0.611,0.143,0.611,-8.68,1.13,B_New
A_RSI Mean Reversion,XRP_USDT,114,990.08,61.4,0.572,0.031,0.397,-3.0,1.56,A_Original
B_Ichimoku Cloud,BNB_USDT,1696,5289.24,39.4,0.571,0.186,0.531,-9.68,1.13,B_New
B_Funding Rate Arb,DOT_USDT,2,92.86,100.0,0.57,0.0,0.0,0.0,inf,B_New
A_MACD Momentum,DOGE_USDT,2938,4838.12,32.4,0.569,0.468,0.41,-14.53,1.12,A_Original
A_Ensemble A (RSI+MACD+BB),ATOM_USDT,3619,2787.18,39.0,0.562,0.27,0.186,-19.19,1.06,A_Original
B_Funding Rate Arb,ICP_USDT,8,622.6,50.0,0.556,0.033,0.709,-1.73,3.79,B_New
A_MACD Momentum,ADA_USDT,3340,3557.04,34.2,0.554,0.283,0.422,-9.14,1.08,A_Original
MACD_MetaFiltered,ADA_USDT,24,569.91,54.2,0.545,0.017,0.31,-2.23,2.58,B_New
B_GARCH Volatility Position Sizing,ADA_USDT,906,3583.04,46.7,0.543,0.113,0.223,-17.47,1.13,B_New
A_Bollinger Band Reversion,ICP_USDT,677,1967.81,65.0,0.534,0.058,0.255,-14.42,1.13,A_Original
B_GARCH Volatility Position Sizing,ETH_USDT,1058,3236.05,50.2,0.531,0.092,0.185,-17.71,1.12,B_New
A_RSI Mean Reversion,SHIB_USDT,72,687.07,56.9,0.528,0.029,0.353,-3.81,1.43,A_Original
B_Keltner Channel Breakout,SHIB_USDT,618,2326.46,42.4,0.526,0.151,0.429,-10.01,1.14,B_New
A_Bollinger Band Reversion,NEAR_USDT,745,2029.04,65.0,0.517,0.068,0.292,-11.62,1.11,A_Original
A_MACD Momentum,SOL_USDT,2343,2565.2,37.2,0.515,0.259,0.337,-12.11,1.07,A_Original
A_Ensemble A (RSI+MACD+BB),SOL_USDT,2838,2151.63,40.7,0.514,0.204,0.284,-12.22,1.06,A_Original
B_GARCH Volatility Position Sizing,HBAR_USDT,737,3531.16,44.2,0.512,0.125,0.296,-15.9,1.14,B_New
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4169,2425.79,37.1,0.51,0.222,0.16,-17.24,1.06,A_Original
B_Trend RF Model,SHIB_USDT,660,1852.0,51.8,0.509,0.086,0.356,-9.77,1.13,B_New
B_GARCH Volatility Position Sizing,BTC_USDT,1074,2354.33,50.8,0.505,0.093,0.19,-12.94,1.12,B_New
A_RSI Mean Reversion,ICP_USDT,68,941.34,58.8,0.504,0.024,0.367,-4.98,1.46,A_Original
B_Keltner Channel Breakout,ADA_USDT,1047,3423.65,45.4,0.502,0.12,0.204,-18.35,1.1,B_New
B_MTF SMA-200 Filter,SHIB_USDT,2196,3216.52,23.7,0.5,0.294,0.384,-15.02,1.09,B_New
RSI_MetaFiltered,HBAR_USDT,11,101.62,63.6,0.497,0.011,0.461,-0.33,3.02,B_New
Ensemble_MetaFiltered,DOGE_USDT,2,79.84,100.0,0.494,0.0,0.0,0.0,inf,B_New
Base_ML_MetaFiltered,DOGE_USDT,3,78.01,66.7,0.482,0.0,6.279,-0.02,43.7,B_New
B_Base RF Model,ICP_USDT,746,2178.53,53.6,0.482,0.075,0.33,-12.24,1.1,B_New
B_Keltner Channel Breakout,ETH_USDT,1136,2928.64,46.5,0.474,0.105,0.2,-14.97,1.11,B_New
B_Elliott Wave + Base ML,SHIB_USDT,417,1363.2,45.6,0.474,0.078,0.313,-8.32,1.15,B_New
B_Donchian Breakout,BNB_USDT,719,3153.34,43.7,0.464,0.105,0.165,-19.96,1.16,B_New
B_Futures Short RF Model,DOGE_USDT,18,963.07,38.9,0.458,0.077,0.894,-1.52,3.93,B_New
MACD_MetaFiltered,BTC_USDT,14,133.94,57.1,0.452,0.015,0.416,-0.37,3.7,B_New
A_Ensemble A (RSI+MACD+BB),HBAR_USDT,3507,2153.51,36.6,0.446,0.238,0.34,-8.85,1.05,A_Original
B_Ichimoku Cloud,NEAR_USDT,1102,2690.59,41.2,0.444,0.159,0.333,-13.21,1.07,B_New
