strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Funding_Arb,SUI_USDT,4,287.25,100.0,1.016,0.0,0.0,0.0,inf,B_New
B_Donchian_Breakout,SHIB_USDT,378,3647.76,48.9,0.763,0.154,0.587,-11.0,1.35,B_New
B_Ensemble_MetaFiltered,SUI_USDT,2,108.48,100.0,0.742,0.0,0.0,0.0,inf,B_New
A_MACD_Momentum,SHIB_USDT,3431,3843.66,36.3,0.65,0.385,0.491,-13.78,1.08,A_Original
B_MACD_MetaFiltered,SHIB_USDT,7,373.34,57.1,0.61,0.041,1.556,-0.48,8.17,B_New
B_MACD_MetaFiltered,SUI_USDT,1,78.8,100.0,0.578,0.0,0.0,0.0,inf,B_New
B_Ensemble_MetaFiltered,NEAR_USDT,2,77.17,100.0,0.576,0.0,0.0,0.0,inf,B_New
B_Keltner_Breakout,NEAR_USDT,842,3324.33,46.8,0.537,0.142,0.436,-12.2,1.1,B_New
A_MACD_Momentum,BNB_USDT,5740,4752.53,35.1,0.537,0.309,0.196,-23.96,1.06,A_Original
B_Ensemble_MetaFiltered,APT_USDT,1,126.15,100.0,0.532,0.0,0.0,0.0,inf,B_New
A_Ensemble,LINK_USDT,6890,4571.39,43.0,0.529,0.257,0.147,-36.19,1.04,A_Original
B_MACD_MetaFiltered,ETH_USDT,2,130.62,100.0,0.479,0.0,0.0,0.0,inf,B_New
B_Donchian_Breakout,BNB_USDT,969,3638.86,43.8,0.477,0.122,0.144,-25.84,1.12,B_New
A_MACD_Momentum,ETH_USDT,5774,3761.52,34.7,0.474,0.28,0.243,-15.42,1.05,A_Original
B_Keltner_Breakout,ETH_USDT,1305,3314.3,46.7,0.465,0.106,0.148,-22.65,1.1,B_New
A_Ensemble,BNB_USDT,7870,3912.36,42.1,0.457,0.193,0.123,-32.39,1.04,A_Original
B_Ensemble_MetaFiltered,ICP_USDT,1,216.05,100.0,0.449,0.0,0.0,0.0,inf,B_New
B_Funding_Arb,NEAR_USDT,4,185.67,50.0,0.436,0.055,0.919,-0.36,6.13,B_New
B_MACD_MetaFiltered,NEAR_USDT,1,27.01,100.0,0.425,0.0,0.0,0.0,inf,B_New
B_Ensemble_MetaFiltered,AVAX_USDT,1,79.53,100.0,0.423,0.0,0.0,0.0,inf,B_New
B_MACD_MetaFiltered,DOT_USDT,1,373.63,100.0,0.419,0.0,0.0,0.0,inf,B_New
B_Ensemble_MetaFiltered,SOL_USDT,1,91.73,100.0,0.418,0.0,0.0,0.0,inf,B_New
B_Keltner_Breakout,BNB_USDT,1294,3509.57,45.2,0.41,0.102,0.161,-22.5,1.09,B_New
B_MACD_MetaFiltered,ADA_USDT,5,366.35,60.0,0.407,0.014,0.496,-0.91,3.78,B_New
A_Ensemble,ATOM_USDT,6608,2939.55,42.3,0.405,0.22,0.1,-37.69,1.03,A_Original
B_Funding_Arb,ICP_USDT,16,506.79,43.8,0.402,0.022,0.251,-3.98,1.79,B_New
B_RSI_MetaFiltered,HBAR_USDT,2,113.23,100.0,0.395,0.0,0.0,0.0,inf,B_New
B_Ensemble_MetaFiltered,DOGE_USDT,1,40.19,100.0,0.383,0.0,0.0,0.0,inf,B_New
B_Keltner_Breakout,AVAX_USDT,881,2005.05,47.2,0.381,0.094,0.284,-11.69,1.07,B_New
B_Ensemble_MetaFiltered,HBAR_USDT,2,99.18,50.0,0.379,0.0,5.512,-0.03,37.05,B_New
B_RSI_MetaFiltered,LINK_USDT,1,75.93,100.0,0.371,0.0,0.0,0.0,inf,B_New
A_MACD_Momentum,DOGE_USDT,4701,4415.51,33.4,0.361,0.388,0.226,-24.39,1.06,A_Original
B_RSI_MetaFiltered,TRX_USDT,1,3.3,100.0,0.356,0.0,0.0,0.0,inf,B_New
B_MACD_MetaFiltered,HBAR_USDT,2,27.96,50.0,0.354,0.0,1.558,-0.03,11.24,B_New
B_RSI_MetaFiltered,LTC_USDT,1,138.73,100.0,0.346,0.0,0.0,0.0,inf,B_New
B_Ensemble_MetaFiltered,LTC_USDT,1,138.73,100.0,0.346,0.0,0.0,0.0,inf,B_New
B_MACD_MetaFiltered,BNB_USDT,1,25.51,100.0,0.344,0.0,0.0,0.0,inf,B_New
A_Ensemble,SHIB_USDT,4730,1713.44,43.6,0.339,0.138,0.177,-18.25,1.03,A_Original
A_MACD_Momentum,ADA_USDT,5377,2258.76,34.6,0.309,0.188,0.104,-24.63,1.03,A_Original
B_MACD_MetaFiltered,TRX_USDT,3,33.2,33.3,0.305,0.017,0.936,-0.04,7.21,B_New
B_Keltner_Breakout,ADA_USDT,1238,1951.27,44.9,0.287,0.075,0.109,-20.55,1.05,B_New
B_OFI_Momentum,SHIB_USDT,2584,1339.19,43.0,0.277,0.102,0.131,-19.54,1.03,B_New
A_Ensemble,ADA_USDT,7390,1888.09,42.5,0.269,0.126,0.058,-37.58,1.02,A_Original
B_Keltner_Breakout,SHIB_USDT,702,1014.05,42.3,0.24,0.077,0.099,-19.79,1.05,B_New
B_Funding_Arb,DOT_USDT,13,151.62,61.5,0.224,0.01,0.18,-1.47,1.52,B_New
B_Keltner_Breakout,SOL_USDT,925,961.51,45.0,0.207,0.056,0.094,-17.28,1.03,B_New
B_Keltner_Breakout,DOGE_USDT,957,1329.73,43.2,0.199,0.055,0.072,-25.81,1.04,B_New
A_Ensemble,HBAR_USDT,6376,1169.56,40.5,0.196,0.087,0.066,-25.86,1.01,A_Original
B_Ensemble_MetaFiltered,BTC_USDT,10,28.79,30.0,0.19,0.006,0.106,-0.31,1.58,B_New
