strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Base RF Model,BNB_USDT,2240,15000.35,18733.34,3732.99,43.5,1.599,0.548,1.571,-7.9,1.32,B_New,1h
B_Base RF Model,NEAR_USDT,1478,9941.27,12731.52,2790.25,47.8,1.561,0.551,1.366,-11.07,1.26,B_New,1h
B_Base RF Model,AVAX_USDT,1595,9521.12,12356.1,2834.97,45.6,1.501,0.558,1.169,-12.34,1.26,B_New,1h
B_Base RF Model,LINK_USDT,1877,11863.58,15304.63,3441.06,45.7,1.408,0.451,0.8,-15.63,1.24,B_New,1h
B_Base RF Model,ADA_USDT,1928,10839.39,14293.64,3454.25,45.9,1.317,0.422,1.083,-9.2,1.26,B_New,1h
B_Base RF Model,ETH_USDT,2370,9603.66,12938.08,3334.42,42.3,1.301,0.45,0.697,-12.71,1.23,B_New,1h
B_Base RF Model,SOL_USDT,1578,7461.78,9766.94,2305.15,45.0,1.291,0.498,1.095,-11.13,1.2,B_New,1h
B_Trend RF Model,SHIB_USDT,1112,8834.67,9863.86,1029.19,47.1,1.283,0.593,2.26,-7.16,1.33,B_New,1h
B_Base RF Model,TRX_USDT,1563,8364.22,11159.01,2794.79,47.0,1.238,0.349,1.142,-7.93,1.32,B_New,1h
B_Elliott Wave + Base ML,AVAX_USDT,641,6787.34,8373.31,1585.98,45.4,1.219,0.372,1.164,-9.46,1.31,B_New,1h
B_MACD Centerline Cross + Divergence,DOGE_USDT,2492,10042.75,13329.86,3287.1,47.6,1.198,0.682,1.501,-7.93,1.29,B_New,1h
A_RSI Mean Reversion,SHIB_USDT,71,1268.52,1307.52,39.0,64.8,1.196,0.075,0.946,-3.04,2.17,A_Original,1h
B_Base RF Model,XRP_USDT,1756,8872.82,11381.13,2508.32,45.0,1.182,0.382,1.17,-7.98,1.28,B_New,1h
B_Elliott Wave + Base ML,NEAR_USDT,628,7038.21,8636.57,1598.36,45.5,1.177,0.299,1.053,-10.9,1.31,B_New,1h
