strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,ADA_USDT,2248,12111.33,16810.68,4699.35,45.5,1.36,0.39,0.54,-19.21,1.21,B_New
B_Base RF Model,DOGE_USDT,1886,15380.9,19474.65,4093.74,45.6,1.296,0.563,1.503,-9.72,1.33,B_New
B_Base RF Model,APT_USDT,1047,4048.62,7544.48,3495.85,43.1,1.242,0.471,0.752,-13.38,1.2,B_New
B_Base RF Model,HBAR_USDT,1883,8714.59,12198.25,3483.66,47.2,1.238,0.4,0.985,-10.11,1.21,B_New
B_Base RF Model,AVAX_USDT,1758,7077.69,10501.6,3423.91,44.6,1.169,0.412,0.745,-13.42,1.19,B_New
B_Elliott Wave + Base ML,DOGE_USDT,548,11594.94,13372.78,1777.84,48.0,1.156,0.334,1.286,-9.28,1.6,B_New
B_Base RF Model,DOT_USDT,1662,5976.92,9469.91,3493.0,44.8,1.137,0.368,0.658,-12.99,1.19,B_New
B_Base RF Model,ETH_USDT,2618,8871.42,13092.3,4220.88,41.0,1.133,0.421,0.472,-16.02,1.17,B_New
B_Elliott Wave + Base ML,NEAR_USDT,600,6403.96,8110.05,1706.09,46.2,1.114,0.262,1.412,-6.6,1.31,B_New
B_Base RF Model,XRP_USDT,2230,8570.16,12238.0,3667.84,43.8,1.112,0.352,1.108,-7.26,1.2,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1044,10432.81,12705.36,2272.56,50.0,1.04,0.252,1.016,-8.65,1.33,B_New
B_Base RF Model,TRX_USDT,2023,5965.08,10046.02,4080.93,41.9,1.034,0.3,0.517,-11.81,1.19,B_New
B_Base RF Model,BNB_USDT,2455,7390.47,10468.73,3078.25,42.6,1.016,0.302,0.71,-9.49,1.19,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2745,8642.86,12522.35,3879.49,47.2,1.013,0.558,1.035,-9.22,1.22,B_New
B_Trend RF Model,SHIB_USDT,89,1331.93,1386.2,54.27,51.7,0.94,0.146,0.85,-2.99,2.02,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.092,0.511,-5.11,1.99,A_Original
B_Elliott Wave + Base ML,ICP_USDT,569,4251.01,6159.49,1908.48,47.5,0.92,0.185,0.895,-8.22,1.25,B_New
B_Base RF Model,ATOM_USDT,2124,5766.09,9889.68,4123.59,45.6,0.915,0.292,0.554,-12.09,1.15,B_New
B_Elliott Wave + Base ML,DOT_USDT,556,4011.98,5538.74,1526.76,48.0,0.911,0.192,0.563,-10.8,1.28,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3616.67,5219.12,1602.45,65.9,0.907,0.109,0.454,-14.08,1.22,A_Original
B_Keltner Channel Breakout,BNB_USDT,1053,8847.13,10645.72,1798.59,46.8,0.905,0.242,1.015,-7.64,1.29,B_New
A_RSI Mean Reversion,SHIB_USDT,84,1080.61,1128.61,48.0,60.7,0.905,0.061,0.685,-3.04,1.75,A_Original
B_Donchian Breakout,SHIB_USDT,269,3124.59,3305.88,181.3,51.3,0.886,0.165,0.853,-6.57,1.52,B_New
B_Base RF Model,SHIB_USDT,932,4256.34,4942.16,685.82,45.6,0.865,0.228,0.753,-9.78,1.22,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,683,5691.89,7781.75,2089.86,49.0,0.862,0.206,0.61,-13.41,1.21,B_New
B_Base RF Model,NEAR_USDT,1781,4644.27,7428.75,2784.48,45.4,0.832,0.296,0.969,-7.33,1.13,B_New
B_Elliott Wave + Base ML,AVAX_USDT,607,4515.26,6107.43,1592.17,45.6,0.823,0.182,0.596,-11.51,1.24,B_New
B_Base RF Model,SOL_USDT,1849,4386.05,7345.56,2959.51,43.8,0.81,0.277,0.495,-13.24,1.12,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,762,10585.53,13155.99,2570.46,44.2,0.798,0.313,0.808,-13.8,1.34,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2064,2986.56,5714.4,2727.84,49.2,0.758,0.266,0.604,-8.91,1.12,B_New
B_Elliott Wave + Base ML,HBAR_USDT,645,3777.15,5136.87,1359.71,46.7,0.731,0.164,0.551,-9.03,1.23,B_New
B_Keltner Channel Breakout,NEAR_USDT,709,4209.9,6044.5,1834.6,47.0,0.717,0.168,0.701,-9.32,1.17,B_New
B_Elliott Wave + Base ML,SOL_USDT,667,3264.69,4789.64,1524.94,46.2,0.683,0.139,0.448,-11.28,1.16,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,640,3038.05,4244.89,1206.84,41.7,0.677,0.167,0.395,-11.99,1.18,B_New
A_Bollinger Band Reversion,HBAR_USDT,934,2619.14,4135.62,1516.48,63.7,0.672,0.1,0.257,-13.94,1.15,A_Original
B_Ichimoku Cloud,AVAX_USDT,1090,4361.61,7245.31,2883.7,40.8,0.672,0.228,0.651,-10.23,1.13,B_New
B_Keltner Channel Breakout,SOL_USDT,760,3584.26,5241.35,1657.09,46.4,0.671,0.156,0.617,-8.89,1.15,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,632,3824.69,5785.65,1960.96,47.3,0.67,0.149,0.394,-15.05,1.16,B_New
B_MACD Centerline Cross + Divergence,ATOM_USDT,2813,3617.6,7162.07,3544.47,49.2,0.668,0.233,0.411,-10.96,1.1,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2295,3019.12,5634.03,2614.91,48.7,0.662,0.241,0.349,-13.5,1.1,B_New
B_Donchian Breakout,BNB_USDT,717,4701.34,5811.05,1109.71,42.8,0.66,0.154,0.273,-17.02,1.24,B_New
B_Ichimoku Cloud,SHIB_USDT,975,3408.22,4142.69,734.47,37.2,0.66,0.254,0.641,-9.45,1.14,B_New
B_OFI Momentum,SHIB_USDT,1484,2833.78,3823.11,989.33,43.7,0.659,0.212,0.605,-8.47,1.13,B_New
B_Trend RF Model,ICP_USDT,51,1208.33,1265.27,56.94,60.8,0.658,0.037,0.303,-7.63,1.66,B_New
B_Ichimoku Cloud,ADA_USDT,1593,5245.48,8542.73,3297.24,39.2,0.648,0.219,0.331,-16.24,1.11,B_New
B_Keltner Channel Breakout,AVAX_USDT,736,3289.29,5201.58,1912.29,47.7,0.648,0.132,0.597,-8.69,1.15,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7022.92,9926.67,2903.75,37.4,0.642,0.273,0.541,-14.97,1.17,B_New
B_Futures Short RF Model,AVAX_USDT,533,2657.16,3925.91,1268.75,51.8,0.63,0.117,0.278,-15.43,1.16,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2777,5302.29,8631.85,3329.55,48.8,0.628,0.345,0.544,-12.25,1.14,B_New
A_MACD Momentum,DOGE_USDT,2879,5813.77,9571.36,3757.59,37.5,0.627,0.457,0.341,-20.37,1.13,A_Original
B_Base RF Model,LINK_USDT,2277,3875.52,7001.14,3125.63,43.1,0.62,0.213,0.3,-15.32,1.09,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2667,2265.4,4220.58,1955.18,41.7,0.618,0.251,0.291,-14.35,1.08,A_Original
B_Ichimoku Cloud,NEAR_USDT,1091,4072.4,6805.58,2733.17,42.1,0.611,0.21,0.405,-15.68,1.11,B_New
B_Futures Short RF Model,HBAR_USDT,662,3219.05,4524.21,1305.15,48.5,0.605,0.129,0.328,-13.15,1.16,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,531,3154.74,3546.16,391.42,43.1,0.604,0.162,0.641,-8.82,1.2,B_New
B_GARCH Volatility Position Sizing,NEAR_USDT,629,3471.47,5344.96,1873.49,48.8,0.603,0.128,0.32,-17.21,1.14,B_New
B_Base RF Model,LTC_USDT,2513,3797.14,7211.28,3414.14,41.4,0.599,0.206,0.169,-23.22,1.08,B_New
B_Elliott Wave + Base ML,BNB_USDT,689,4923.79,5836.01,912.22,46.7,0.595,0.133,0.524,-9.21,1.24,B_New
"B_SuperTrend (ATR×3, 10)",BNB_USDT,902,3891.07,5003.39,1112.32,41.1,0.588,0.146,0.563,-7.01,1.22,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,897,4301.05,6116.68,1815.63,44.3,0.586,0.145,0.456,-10.03,1.19,B_New
B_Elliott Wave + Base ML,TRX_USDT,505,2485.25,3269.56,784.31,42.6,0.582,0.106,0.226,-12.6,1.22,B_New
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4253,2913.06,6818.1,3905.05,41.1,0.582,0.259,0.173,-18.8,1.07,A_Original
