strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,ETH_USDT,1444,12500.83,15847.69,3346.86,45.8,1.426,0.394,1.18,-8.27,1.31,B_New
B_Base RF Model,ADA_USDT,1007,10964.01,13527.94,2563.93,49.1,1.377,0.317,0.705,-13.66,1.36,B_New
B_Base RF Model,BNB_USDT,1231,12402.34,14822.86,2420.52,48.6,1.301,0.362,1.533,-6.5,1.41,B_New
B_Base RF Model,TRX_USDT,1086,7933.21,10916.14,2982.94,47.8,1.286,0.285,0.802,-9.57,1.39,B_New
B_Elliott Wave + Base ML,TRX_USDT,312,5056.54,5591.48,534.94,50.0,1.199,0.19,1.347,-3.95,1.85,B_New
B_Base RF Model,LINK_USDT,988,7499.49,9755.29,2255.81,48.6,1.145,0.24,0.717,-11.11,1.27,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1045,10522.92,12771.02,2248.1,50.1,1.046,0.254,1.022,-8.65,1.33,B_New
B_Elliott Wave + Base ML,DOGE_USDT,328,8385.6,9306.92,921.32,50.3,1.031,0.262,1.716,-5.43,1.79,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8652.57,12532.21,3879.64,47.3,1.014,0.558,1.036,-9.21,1.22,B_New
B_Base RF Model,BTC_USDT,1519,5485.72,7948.85,2463.13,44.7,0.994,0.279,0.525,-9.81,1.2,B_New
B_Base RF Model,HBAR_USDT,866,7327.92,9441.43,2113.51,46.9,0.988,0.244,0.609,-14.26,1.26,B_New
B_Trend RF Model,SHIB_USDT,610,4139.41,4604.46,465.05,50.3,0.955,0.196,1.289,-5.58,1.3,B_New
B_Futures Short RF Model,LINK_USDT,411,3593.49,4433.09,839.6,54.7,0.951,0.124,0.915,-4.69,1.36,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.091,0.511,-5.11,1.99,A_Original
A_RSI Mean Reversion,SHIB_USDT,84,1102.2,1149.98,47.78,60.7,0.921,0.062,0.697,-3.04,1.76,A_Original
B_Keltner Channel Breakout,BNB_USDT,1054,8913.51,10694.11,1780.59,47.0,0.91,0.242,1.02,-7.64,1.29,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3619.42,5219.14,1599.72,65.9,0.907,0.109,0.453,-14.08,1.22,A_Original
B_Donchian Breakout,SHIB_USDT,270,3121.06,3303.41,182.35,51.1,0.884,0.165,0.851,-6.57,1.52,B_New
B_Base RF Model,DOGE_USDT,850,9896.77,12180.37,2283.6,47.2,0.88,0.305,0.699,-15.15,1.36,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,684,5779.01,7870.27,2091.26,49.3,0.872,0.209,0.621,-13.33,1.22,B_New
B_Elliott Wave + Base ML,ETH_USDT,734,4503.01,5663.42,1160.41,48.2,0.858,0.161,0.592,-7.36,1.28,B_New
B_Futures Short RF Model,SOL_USDT,293,3090.98,3742.52,651.54,56.7,0.839,0.115,0.515,-9.33,1.38,B_New
B_Base RF Model,SHIB_USDT,569,5616.96,6103.04,486.08,46.2,0.83,0.284,0.811,-11.52,1.32,B_New
B_Elliott Wave + Base ML,AVAX_USDT,362,3644.92,4563.63,918.7,46.1,0.821,0.139,0.687,-8.27,1.29,B_New
B_Elliott Wave + Base ML,ADA_USDT,410,4053.19,4902.22,849.03,49.5,0.818,0.126,0.412,-10.48,1.35,B_New
B_Futures Short RF Model,NEAR_USDT,304,2929.11,3734.94,805.83,52.3,0.806,0.116,0.659,-7.17,1.32,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,763,10583.07,13151.87,2568.8,44.3,0.798,0.313,0.807,-13.8,1.34,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2067,3049.73,5779.86,2730.13,49.3,0.77,0.27,0.576,-9.51,1.12,B_New
B_Base RF Model,AVAX_USDT,793,4136.57,6019.31,1882.73,46.9,0.765,0.163,0.38,-16.73,1.18,B_New
B_Keltner Channel Breakout,NEAR_USDT,710,4440.59,6272.85,1832.26,47.2,0.745,0.175,0.733,-9.32,1.18,B_New
B_Base RF Model,SOL_USDT,870,3762.82,5618.24,1855.42,46.7,0.733,0.168,0.385,-14.88,1.16,B_New
B_Elliott Wave + Base ML,SOL_USDT,447,2960.0,4033.71,1073.71,49.4,0.729,0.134,0.527,-8.78,1.23,B_New
B_Elliott Wave + Base ML,SHIB_USDT,286,3581.52,3781.89,200.37,44.4,0.687,0.18,0.917,-6.9,1.44,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,641,3083.15,4294.56,1211.41,41.8,0.685,0.169,0.4,-11.99,1.19,B_New
B_Keltner Channel Breakout,SOL_USDT,761,3643.56,5301.87,1658.31,46.5,0.68,0.158,0.626,-8.89,1.15,B_New
B_Ichimoku Cloud,AVAX_USDT,1091,4401.22,7285.15,2883.93,41.0,0.677,0.229,0.655,-10.23,1.13,B_New
B_Base RF Model,ATOM_USDT,929,3551.94,5667.1,2115.16,49.9,0.677,0.13,0.465,-9.51,1.16,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,633,3862.84,5823.38,1960.54,47.6,0.675,0.15,0.398,-15.02,1.17,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2297,3071.32,5690.55,2619.23,48.8,0.671,0.245,0.353,-13.55,1.1,B_New
A_Bollinger Band Reversion,HBAR_USDT,934,2599.69,4116.76,1517.07,63.6,0.668,0.099,0.256,-13.94,1.14,A_Original
B_MACD Centerline Cross + Divergence,ATOM_USDT,2815,3581.9,7128.33,3546.43,49.2,0.663,0.231,0.407,-10.96,1.1,B_New
B_Base RF Model,NEAR_USDT,728,3219.78,4865.08,1645.3,48.2,0.662,0.126,0.232,-22.19,1.14,B_New
B_Ichimoku Cloud,SHIB_USDT,977,3420.61,4156.68,736.07,37.3,0.661,0.254,0.643,-9.45,1.14,B_New
B_Donchian Breakout,BNB_USDT,718,4712.68,5822.35,1109.67,42.8,0.661,0.154,0.274,-16.95,1.24,B_New
B_Ichimoku Cloud,ADA_USDT,1594,5341.57,8641.66,3300.09,39.2,0.656,0.222,0.336,-16.24,1.11,B_New
B_OFI Momentum,SHIB_USDT,1486,2808.59,3799.59,991.0,43.7,0.654,0.21,0.6,-8.47,1.13,B_New
B_Keltner Channel Breakout,AVAX_USDT,737,3326.78,5241.45,1914.67,47.8,0.653,0.133,0.603,-8.69,1.16,B_New
B_Elliott Wave + Base ML,BTC_USDT,603,2628.35,3279.78,651.43,49.9,0.652,0.108,0.248,-10.94,1.22,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7063.26,9966.0,2902.73,37.5,0.644,0.274,0.544,-14.95,1.17,B_New
