strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_GARCH Volatility Position Sizing,BNB_USDT,1043,10386.76,50.0,1.043,0.252,1.002,-8.76,1.34,B_New
A_MACD Momentum,SHIB_USDT,2141,4969.29,34.9,0.984,0.655,1.02,-8.29,1.17,A_Original
B_MACD Centerline Cross + Divergence,DOGE_USDT,2730,9611.31,50.6,0.961,0.597,1.101,-9.43,1.25,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2605,3566.67,38.7,0.958,0.412,0.721,-8.78,1.13,A_Original
B_Base RF Model,SHIB_USDT,761,3714.31,51.1,0.895,0.16,0.612,-10.72,1.24,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,682,5321.24,49.4,0.849,0.197,0.55,-14.1,1.21,B_New
B_OFI Momentum,SHIB_USDT,1508,4034.17,42.0,0.843,0.314,0.734,-9.61,1.17,B_New
B_MACD Centerline Cross + Divergence,XRP_USDT,3250,5186.79,51.2,0.833,0.318,0.52,-10.33,1.15,B_New
A_Bollinger Band Reversion,SHIB_USDT,658,2230.41,66.4,0.832,0.103,0.654,-6.32,1.22,A_Original
B_Ichimoku Cloud,AVAX_USDT,1089,5798.34,41.5,0.827,0.301,0.803,-10.59,1.17,B_New
B_Donchian Breakout,SHIB_USDT,274,3547.99,46.7,0.82,0.194,1.053,-5.98,1.5,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2287,3799.8,51.6,0.814,0.299,0.538,-10.77,1.12,B_New
B_MACD Centerline Cross + Divergence,BNB_USDT,3433,4669.36,51.7,0.798,0.273,0.48,-9.65,1.14,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,759,8766.32,45.3,0.783,0.271,0.755,-12.81,1.31,B_New
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4285,4101.82,39.3,0.774,0.335,0.296,-13.97,1.1,A_Original
B_MACD Centerline Cross + Divergence,ADA_USDT,3260,4882.95,52.5,0.761,0.22,0.388,-13.1,1.11,B_New
A_MACD Momentum,ETH_USDT,3587,4533.76,34.2,0.73,0.377,0.401,-10.95,1.1,A_Original
B_Ichimoku Cloud,DOGE_USDT,1355,7991.58,37.2,0.718,0.356,0.609,-14.78,1.19,B_New
B_Keltner Channel Breakout,BNB_USDT,1080,6620.9,47.2,0.708,0.166,0.588,-10.51,1.22,B_New
B_Ichimoku Cloud,SHIB_USDT,980,3685.72,37.6,0.706,0.289,0.599,-10.87,1.15,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,631,4070.79,48.0,0.705,0.157,0.398,-15.81,1.17,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,896,5068.52,44.9,0.672,0.171,0.656,-8.03,1.22,B_New
B_MACD Centerline Cross + Divergence,BTC_USDT,3446,2669.19,51.8,0.656,0.203,0.186,-14.85,1.1,B_New
A_MACD Momentum,XRP_USDT,3434,4612.5,32.6,0.651,0.397,0.374,-13.01,1.11,A_Original
B_GARCH Volatility Position Sizing,SHIB_USDT,528,3068.87,43.2,0.632,0.161,0.693,-7.98,1.2,B_New
B_Futures Short RF Model,SOL_USDT,238,1793.31,55.9,0.628,0.057,0.279,-10.51,1.29,B_New
B_MACD Centerline Cross + Divergence,SHIB_USDT,2088,2328.32,51.7,0.621,0.19,0.54,-7.97,1.11,B_New
B_MACD Centerline Cross + Divergence,DOT_USDT,2241,2307.77,53.4,0.621,0.198,0.539,-6.89,1.09,B_New
A_MACD Momentum,BNB_USDT,3533,4238.74,35.2,0.619,0.294,0.361,-11.81,1.1,A_Original
A_Ensemble A (RSI+MACD+BB),ADA_USDT,4074,3204.64,39.0,0.617,0.265,0.241,-14.63,1.07,A_Original
B_Keltner Channel Breakout,AVAX_USDT,750,3221.04,47.6,0.614,0.137,0.423,-12.07,1.14,B_New
B_Ichimoku Cloud,ADA_USDT,1601,4900.98,39.3,0.612,0.213,0.361,-14.12,1.11,B_New
B_Keltner Channel Breakout,SOL_USDT,778,3434.38,46.7,0.611,0.143,0.611,-8.68,1.13,B_New
A_RSI Mean Reversion,XRP_USDT,114,990.08,61.4,0.572,0.031,0.397,-3.0,1.56,A_Original
B_Ichimoku Cloud,BNB_USDT,1696,5281.19,39.4,0.57,0.186,0.528,-9.73,1.13,B_New
B_Funding Rate Arb,DOT_USDT,2,92.86,100.0,0.57,0.0,0.0,0.0,inf,B_New
