strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_GARCH Volatility Position Sizing,ETH_USDT,1058,3236.27,50.2,0.531,0.092,0.185,-17.71,1.12,B_New
B_Keltner Channel Breakout,SHIB_USDT,618,2344.32,42.6,0.529,0.152,0.432,-10.01,1.14,B_New
A_RSI Mean Reversion,SHIB_USDT,72,687.07,56.9,0.528,0.029,0.353,-3.81,1.43,A_Original
A_Bollinger Band Reversion,ICP_USDT,677,1940.52,64.8,0.528,0.058,0.252,-14.42,1.13,A_Original
B_Trend RF Model,SHIB_USDT,659,1898.81,51.9,0.521,0.088,0.371,-9.6,1.13,B_New
A_MACD Momentum,SOL_USDT,2343,2562.0,37.2,0.514,0.259,0.336,-12.11,1.07,A_Original
A_Bollinger Band Reversion,NEAR_USDT,745,2012.8,65.0,0.514,0.067,0.29,-11.62,1.11,A_Original
A_Ensemble A (RSI+MACD+BB),SOL_USDT,2838,2148.55,40.7,0.514,0.203,0.283,-12.22,1.06,A_Original
B_GARCH Volatility Position Sizing,HBAR_USDT,737,3531.11,44.2,0.512,0.125,0.296,-15.9,1.14,B_New
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4169,2425.79,37.1,0.51,0.222,0.16,-17.24,1.06,A_Original
B_GARCH Volatility Position Sizing,BTC_USDT,1074,2361.46,50.8,0.507,0.093,0.191,-12.94,1.12,B_New
A_RSI Mean Reversion,ICP_USDT,68,940.47,58.8,0.504,0.024,0.367,-4.98,1.46,A_Original
B_Keltner Channel Breakout,ADA_USDT,1047,3429.77,45.4,0.503,0.12,0.204,-18.32,1.1,B_New
B_MTF SMA-200 Filter,SHIB_USDT,2195,3236.66,23.7,0.503,0.295,0.386,-15.02,1.09,B_New
B_Keltner Channel Breakout,ETH_USDT,1136,2928.87,46.5,0.474,0.105,0.2,-14.97,1.11,B_New
B_Donchian Breakout,BNB_USDT,719,3146.45,43.7,0.463,0.105,0.164,-20.01,1.16,B_New
B_Futures Short RF Model,NEAR_USDT,61,711.47,57.4,0.454,0.033,0.205,-6.08,1.46,B_New
A_Ensemble A (RSI+MACD+BB),HBAR_USDT,3506,2147.91,36.5,0.445,0.237,0.339,-8.85,1.05,A_Original
B_Ichimoku Cloud,NEAR_USDT,1101,2692.89,41.2,0.445,0.159,0.333,-13.21,1.07,B_New
B_Ichimoku Cloud,ETH_USDT,1758,3063.17,39.2,0.442,0.147,0.161,-19.38,1.07,B_New
B_GARCH Volatility Position Sizing,TRX_USDT,985,2507.46,49.2,0.441,0.088,0.247,-11.66,1.13,B_New
B_Futures Short RF Model,SOL_USDT,74,889.89,55.4,0.437,0.032,0.336,-4.47,1.51,B_New
