strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Base RF Model,AVAX_USDT,514,2726.43,3515.63,789.2,49.8,1.681,0.516,1.955,-6.18,1.39,B_New,1h
B_MACD Centerline Cross + Divergence,HBAR_USDT,894,2432.65,3319.81,887.16,50.7,1.677,0.63,3.329,-3.21,1.33,B_New,1h
B_Base RF Model,BNB_USDT,2228,14422.11,18201.35,3779.25,49.2,1.544,0.471,1.851,-6.15,1.33,B_New,1h
B_MACD Centerline Cross + Divergence,ICP_USDT,884,3076.96,3984.16,907.2,50.8,1.544,0.75,2.678,-4.98,1.37,B_New,1h
B_Base RF Model,NEAR_USDT,518,2647.01,3491.01,844.0,52.7,1.5,0.364,1.994,-5.79,1.32,B_New,1h
B_Base RF Model,ETH_USDT,2370,12633.93,16964.73,4330.8,48.9,1.498,0.422,0.912,-11.05,1.25,B_New,1h
B_Keltner Channel Breakout,AVAX_USDT,260,2906.51,3514.52,608.01,52.3,1.475,0.38,3.608,-3.56,1.54,B_New,1h
A_RSI Mean Reversion,SHIB_USDT,34,483.28,502.53,19.25,58.8,1.46,0.175,2.416,-0.92,2.66,A_Original,1h
B_Donchian Breakout,SHIB_USDT,107,2171.57,2235.4,63.83,50.5,1.431,0.407,3.995,-2.39,2.2,B_New,1h
B_Keltner Channel Breakout,ICP_USDT,260,3169.36,3782.24,612.88,46.5,1.404,0.475,2.743,-5.0,1.54,B_New,1h
B_Elliott Wave + Base ML,ETH_USDT,818,8758.58,10327.59,1569.0,49.8,1.343,0.279,1.343,-5.72,1.41,B_New,1h
B_MACD Centerline Cross + Divergence,ATOM_USDT,845,1960.4,2802.38,841.98,48.3,1.318,0.611,2.983,-2.92,1.3,B_New,1h
B_GARCH Volatility Position Sizing,HBAR_USDT,245,2782.62,3457.98,675.36,46.9,1.218,0.359,1.448,-8.38,1.44,B_New,1h
B_Trend RF Model,NEAR_USDT,437,2230.68,3028.69,798.01,43.2,1.206,0.431,1.858,-5.29,1.26,B_New,1h
B_GARCH Volatility Position Sizing,AVAX_USDT,239,1881.33,2536.7,655.37,49.4,1.148,0.287,1.486,-5.72,1.31,B_New,1h
B_Donchian Breakout,HBAR_USDT,184,1938.74,2369.29,430.55,46.7,1.122,0.353,1.483,-5.81,1.54,B_New,1h
B_Base RF Model,SOL_USDT,1709,6555.98,9641.44,3085.46,48.5,1.109,0.317,0.481,-19.09,1.17,B_New,1h
B_Trend RF Model,APT_USDT,469,2457.58,3431.75,974.16,43.9,1.109,0.49,1.067,-10.1,1.26,B_New,1h
B_Base RF Model,SUI_USDT,478,1780.29,2543.02,762.73,49.4,1.103,0.327,1.168,-8.13,1.24,B_New,1h
B_Elliott Wave + Base ML,ICP_USDT,154,1933.13,2370.51,437.38,51.3,1.101,0.256,2.249,-3.82,1.49,B_New,1h
B_Elliott Wave + Base ML,ADA_USDT,651,7591.06,9129.79,1538.74,48.7,1.088,0.214,0.729,-9.97,1.38,B_New,1h
B_Base RF Model,BTC_USDT,2758,6274.04,9968.34,3694.31,43.3,1.08,0.371,0.419,-13.72,1.19,B_New,1h
