strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Elliott Wave + Base ML,HBAR_USDT,181,2344.16,2794.08,449.92,48.6,1.074,0.139,1.178,-8.77,1.5,B_New,1h
B_Base RF Model,ADA_USDT,1858,7982.01,11226.27,3244.26,50.5,1.069,0.265,0.572,-13.22,1.2,B_New,1h
B_Volatility Breakout (TTM Squeeze),APT_USDT,138,1565.0,1864.82,299.82,43.5,1.066,0.238,1.024,-6.85,1.56,B_New,1h
B_GARCH Volatility Position Sizing,BNB_USDT,1021,10588.84,12780.79,2191.95,49.9,1.064,0.259,1.074,-8.48,1.34,B_New,1h
"B_SuperTrend (ATR×3, 10)",SHIB_USDT,224,1690.53,1818.59,128.06,43.8,1.051,0.402,1.803,-4.17,1.48,B_New,1h
B_Keltner Channel Breakout,HBAR_USDT,257,2014.44,2562.02,547.58,47.1,1.035,0.378,1.404,-6.36,1.39,B_New,1h
"B_SuperTrend (ATR×3, 10)",AVAX_USDT,228,1542.82,1971.86,429.04,43.0,1.034,0.331,1.741,-4.04,1.35,B_New,1h
B_Elliott Wave + Base ML,BNB_USDT,655,10845.06,12182.6,1337.54,47.5,1.03,0.322,1.502,-6.17,1.51,B_New,1h
B_MACD Centerline Cross + Divergence,DOGE_USDT,2745,8708.81,12592.24,3883.44,47.2,1.018,0.561,1.046,-9.17,1.22,B_New,1h
B_Elliott Wave + Base ML,LINK_USDT,589,6075.54,7497.28,1421.75,51.6,0.99,0.19,0.739,-9.52,1.31,B_New,1h
B_Elliott Wave + Base ML,APT_USDT,164,1990.16,2493.29,503.14,47.6,0.986,0.27,1.215,-7.26,1.49,B_New,1h
B_Trend RF Model,HBAR_USDT,496,2477.01,3303.46,826.45,41.7,0.975,0.541,1.524,-7.14,1.3,B_New,1h
B_Elliott Wave + Base ML,NEAR_USDT,178,1363.77,1855.46,491.7,50.6,0.968,0.176,1.099,-5.58,1.31,B_New,1h
B_Base RF Model,APT_USDT,502,1736.18,2648.35,912.17,50.0,0.951,0.254,0.765,-10.13,1.2,B_New,1h
B_Base RF Model,DOT_USDT,441,1166.25,1950.38,784.13,51.9,0.943,0.22,0.745,-7.06,1.21,B_New,1h
A_RSI Mean Reversion,NEAR_USDT,37,434.86,512.15,77.29,56.8,0.94,0.079,1.08,-1.85,1.77,A_Original,1h
B_GARCH Volatility Position Sizing,NEAR_USDT,244,1610.82,2267.04,656.23,50.4,0.939,0.198,1.238,-5.81,1.24,B_New,1h
B_Keltner Channel Breakout,BNB_USDT,1026,8807.37,10532.27,1724.9,46.9,0.914,0.245,1.037,-7.64,1.29,B_New,1h
B_Ichimoku Cloud,AVAX_USDT,400,1933.42,2787.94,854.53,42.0,0.906,0.334,1.425,-6.12,1.23,B_New,1h
B_Elliott Wave + Base ML,AVAX_USDT,166,1417.35,1851.33,433.99,50.6,0.892,0.119,1.087,-5.96,1.32,B_New,1h
B_MACD Centerline Cross + Divergence,SUI_USDT,747,1644.46,2471.07,826.61,45.4,0.888,0.466,0.829,-10.6,1.17,B_New,1h
B_Elliott Wave + Base ML,DOGE_USDT,529,6755.69,8172.08,1416.4,42.3,0.883,0.227,1.104,-7.1,1.39,B_New,1h
B_GARCH Volatility Position Sizing,SOL_USDT,685,5836.03,7931.3,2095.26,49.3,0.878,0.21,0.626,-13.33,1.22,B_New,1h
B_Trend RF Model,TRX_USDT,1552,5661.95,8698.6,3036.65,43.6,0.871,0.298,0.799,-7.63,1.2,B_New,1h
B_Trend RF Model,XRP_USDT,1600,6765.34,9227.21,2461.87,39.4,0.861,0.342,0.563,-12.55,1.2,B_New,1h
B_Trend RF Model,DOGE_USDT,1602,8968.01,12285.92,3317.91,39.0,0.845,0.424,0.747,-13.12,1.21,B_New,1h
B_Base RF Model,TRX_USDT,1775,4914.79,7958.81,3044.02,46.6,0.837,0.207,0.46,-11.77,1.19,B_New,1h
B_Elliott Wave + Base ML,SOL_USDT,545,3993.65,5335.32,1341.67,46.2,0.835,0.177,0.381,-15.81,1.23,B_New,1h
B_Base RF Model,SHIB_USDT,276,1431.94,1603.23,171.29,46.4,0.818,0.228,0.937,-6.84,1.26,B_New,1h
B_MTF SMA-200 Filter,AVAX_USDT,836,1749.27,3042.35,1293.08,39.4,0.818,0.372,0.977,-8.11,1.15,B_New,1h
B_Trend RF Model,BNB_USDT,1636,7851.38,10172.65,2321.27,42.5,0.813,0.243,0.724,-10.0,1.21,B_New,1h
B_Trend RF Model,ATOM_USDT,447,1208.05,1852.27,644.23,45.2,0.807,0.282,0.973,-5.61,1.2,B_New,1h
B_Ichimoku Cloud,ICP_USDT,427,1712.35,2557.14,844.79,40.0,0.805,0.27,1.076,-7.11,1.18,B_New,1h
B_Base RF Model,DOGE_USDT,1552,9833.77,13159.79,3326.02,43.7,0.799,0.355,0.89,-11.83,1.24,B_New,1h
B_GARCH Volatility Position Sizing,DOGE_USDT,763,10519.14,13084.65,2565.52,44.3,0.794,0.311,0.803,-13.8,1.34,B_New,1h
B_Base RF Model,LINK_USDT,1782,5206.16,8020.04,2813.88,51.6,0.781,0.186,0.418,-14.79,1.13,B_New,1h
B_GARCH Volatility Position Sizing,SHIB_USDT,253,1335.33,1491.54,156.21,45.1,0.777,0.207,1.014,-5.9,1.25,B_New,1h
B_GARCH Volatility Position Sizing,APT_USDT,242,1307.21,2098.72,791.51,49.6,0.769,0.183,0.764,-7.72,1.2,B_New,1h
B_Trend RF Model,SHIB_USDT,569,1457.79,1791.5,333.71,39.2,0.767,0.316,1.023,-6.37,1.2,B_New,1h
B_Elliott Wave + Base ML,XRP_USDT,523,4159.59,5024.19,864.59,44.7,0.754,0.145,0.536,-8.76,1.35,B_New,1h
B_Base RF Model,XRP_USDT,1623,4913.94,7030.48,2116.54,47.7,0.748,0.188,0.621,-8.73,1.18,B_New,1h
B_Trend RF Model,BTC_USDT,2037,3989.69,6623.59,2633.9,48.2,0.726,0.197,0.286,-13.75,1.14,B_New,1h
B_Trend RF Model,ADA_USDT,1829,5615.58,8794.42,3178.84,41.0,0.72,0.255,0.338,-16.84,1.13,B_New,1h
B_Trend RF Model,AVAX_USDT,467,1167.53,1898.18,730.65,44.1,0.72,0.255,0.714,-7.51,1.14,B_New,1h
B_Futures Short RF Model,DOGE_USDT,1366,4665.07,6687.99,2022.92,51.8,0.71,0.202,0.451,-12.77,1.2,B_New,1h
B_Keltner Channel Breakout,NEAR_USDT,272,1323.7,1896.75,573.05,48.5,0.706,0.166,0.808,-7.37,1.2,B_New,1h
B_Donchian Breakout,BNB_USDT,702,5014.86,6097.47,1082.61,43.0,0.703,0.165,0.301,-16.72,1.26,B_New,1h
B_Ichimoku Cloud,ATOM_USDT,406,1238.78,1953.65,714.87,41.4,0.701,0.303,0.842,-6.64,1.19,B_New,1h
B_MACD Centerline Cross + Divergence,NEAR_USDT,883,1211.19,2051.4,840.21,46.8,0.695,0.33,0.882,-6.19,1.13,B_New,1h
B_Funding Rate Arb,APT_USDT,1,34.24,39.85,5.6,100.0,0.683,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,UNI_USDT,1,11.74,12.04,0.3,100.0,0.683,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,DOT_USDT,1,59.28,64.45,5.17,100.0,0.682,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,NEAR_USDT,1,5.77,6.07,0.3,100.0,0.682,0.0,0.0,0.0,inf,B_New,1h
B_Keltner Channel Breakout,SHIB_USDT,256,1103.74,1242.49,138.75,45.7,0.68,0.173,0.791,-6.29,1.23,B_New,1h
B_MACD Centerline Cross + Divergence,SOL_USDT,2296,3115.36,5734.54,2619.18,48.7,0.678,0.247,0.358,-13.52,1.1,B_New,1h
B_Donchian Breakout,ATOM_USDT,179,995.21,1383.4,388.18,42.5,0.678,0.207,0.988,-4.58,1.34,B_New,1h
B_Donchian Breakout,APT_USDT,127,1105.92,1473.63,367.71,48.8,0.676,0.151,0.841,-5.96,1.38,B_New,1h
B_Keltner Channel Breakout,SOL_USDT,761,3621.13,5283.61,1662.48,46.4,0.676,0.157,0.631,-8.77,1.15,B_New,1h
B_Ichimoku Cloud,SHIB_USDT,431,1432.47,1677.59,245.12,36.2,0.673,0.284,1.0,-6.41,1.19,B_New,1h
"B_SuperTrend (ATR×3, 10)",SOL_USDT,639,3010.95,4216.95,1206.01,41.8,0.671,0.166,0.391,-11.99,1.18,B_New,1h
B_Donchian Breakout,AVAX_USDT,165,1036.84,1450.21,413.37,51.5,0.666,0.136,0.772,-6.19,1.26,B_New,1h
A_Bollinger Band Reversion,SHIB_USDT,305,623.64,808.16,184.52,64.9,0.666,0.09,0.734,-3.88,1.16,A_Original,1h
B_Ichimoku Cloud,ADA_USDT,1595,5321.75,8621.52,3299.77,39.2,0.654,0.222,0.334,-16.31,1.11,B_New,1h
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4038,3201.82,6807.84,3606.02,41.2,0.653,0.291,0.199,-18.77,1.08,A_Original,1h
B_GARCH Volatility Position Sizing,XRP_USDT,856,4705.92,6320.72,1614.81,45.0,0.65,0.16,0.521,-10.03,1.22,B_New,1h
B_Ichimoku Cloud,DOGE_USDT,1348,7074.99,9979.55,2904.56,37.5,0.645,0.274,0.544,-14.94,1.17,B_New,1h
B_MTF SMA-200 Filter,HBAR_USDT,925,1548.41,2781.34,1232.93,34.9,0.644,0.403,0.467,-14.88,1.14,B_New,1h
B_OFI Momentum,AVAX_USDT,657,819.68,1595.1,775.42,45.7,0.643,0.228,0.582,-6.53,1.11,B_New,1h
B_GARCH Volatility Position Sizing,ICP_USDT,248,1190.69,1840.97,650.28,46.0,0.642,0.162,0.728,-7.4,1.18,B_New,1h
B_GARCH Volatility Position Sizing,LINK_USDT,837,4330.72,6332.76,2002.04,49.9,0.628,0.133,0.399,-13.25,1.14,B_New,1h
B_OFI Momentum,SHIB_USDT,647,920.63,1288.42,367.78,43.0,0.628,0.244,0.571,-7.31,1.13,B_New,1h
B_Trend RF Model,ETH_USDT,1650,4447.29,6994.8,2547.51,41.9,0.626,0.202,0.226,-19.59,1.11,B_New,1h
A_MACD Momentum,DOGE_USDT,2884,5792.38,9554.82,3762.44,37.5,0.625,0.455,0.339,-20.38,1.12,A_Original,1h
A_MACD Momentum,XRP_USDT,3190,4096.64,7410.16,3313.52,37.7,0.616,0.315,0.325,-14.28,1.1,A_Original,1h
A_Bollinger Band Reversion,SUI_USDT,257,784.99,1219.83,434.84,66.9,0.616,0.093,0.635,-6.73,1.16,A_Original,1h
B_Keltner Channel Breakout,ATOM_USDT,263,982.4,1483.61,501.21,49.0,0.613,0.168,0.598,-7.47,1.22,B_New,1h
B_Keltner Channel Breakout,ETH_USDT,1084,3761.81,5307.74,1545.93,45.5,0.611,0.153,0.486,-7.87,1.15,B_New,1h
B_Elliott Wave + Base ML,SHIB_USDT,155,860.58,947.25,86.67,44.5,0.61,0.128,0.691,-5.65,1.26,B_New,1h
B_Keltner Channel Breakout,APT_USDT,248,1242.54,1909.1,666.56,40.7,0.599,0.185,0.59,-9.51,1.21,B_New,1h
B_Base RF Model,ATOM_USDT,452,665.22,1277.21,611.99,48.0,0.596,0.156,0.52,-5.87,1.13,B_New,1h
B_Trend RF Model,SUI_USDT,469,994.37,1829.28,834.91,39.0,0.596,0.215,0.656,-8.21,1.11,B_New,1h
B_MACD Centerline Cross + Divergence,XRP_USDT,3105,3272.29,6304.27,3031.99,46.7,0.591,0.228,0.253,-15.05,1.1,B_New,1h
B_Donchian Breakout,LTC_USDT,131,474.71,800.36,325.66,43.5,0.587,0.107,0.591,-3.7,1.25,B_New,1h
B_Elliott Wave + Base ML,DOT_USDT,146,653.57,989.08,335.51,52.1,0.585,0.1,0.59,-5.06,1.22,B_New,1h
"B_SuperTrend (ATR×3, 10)",APT_USDT,216,1063.86,1522.82,458.96,37.5,0.573,0.224,0.4,-12.07,1.24,B_New,1h
"B_SuperTrend (ATR×3, 10)",BNB_USDT,879,3709.23,4763.01,1053.77,41.5,0.57,0.137,0.555,-7.0,1.21,B_New,1h
"B_SuperTrend (ATR×3, 10)",ADA_USDT,870,2974.95,4373.87,1398.92,38.6,0.57,0.16,0.163,-20.15,1.14,B_New,1h
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,687,2835.04,3913.29,1078.24,37.7,0.566,0.166,0.327,-11.36,1.19,B_New,1h
B_Base RF Model,ICP_USDT,493,849.71,1598.96,749.26,45.2,0.563,0.141,0.637,-6.08,1.11,B_New,1h
B_Ichimoku Cloud,ETH_USDT,1705,4076.29,6545.81,2469.52,40.0,0.563,0.18,0.294,-13.97,1.1,B_New,1h
B_Ichimoku Cloud,BNB_USDT,1638,4852.1,6961.25,2109.16,41.0,0.563,0.164,0.401,-12.19,1.13,B_New,1h
B_Base RF Model,HBAR_USDT,521,1026.21,1779.88,753.67,46.8,0.559,0.106,0.502,-9.29,1.13,B_New,1h
A_RSI Mean Reversion,APT_USDT,36,310.71,390.94,80.23,66.7,0.551,0.032,0.278,-5.17,1.4,A_Original,1h
B_Keltner Channel Breakout,DOT_USDT,278,784.15,1412.49,628.34,45.3,0.544,0.142,0.491,-7.27,1.16,B_New,1h
B_OFI Momentum,APT_USDT,676,1179.57,2097.47,917.9,40.5,0.54,0.273,0.387,-13.8,1.11,B_New,1h
"B_SuperTrend (ATR×3, 10)",BTC_USDT,872,1832.02,2880.48,1048.46,40.8,0.533,0.127,0.187,-10.42,1.15,B_New,1h
B_GARCH Volatility Position Sizing,ETH_USDT,1031,3232.38,5023.19,1790.81,49.6,0.533,0.093,0.204,-16.38,1.12,B_New,1h
B_Ichimoku Cloud,HBAR_USDT,427,1103.87,1857.77,753.9,39.1,0.517,0.23,0.368,-13.61,1.13,B_New,1h
B_Trend RF Model,SOL_USDT,1325,3012.2,5244.84,2232.63,40.9,0.514,0.191,0.34,-13.78,1.09,B_New,1h
B_GARCH Volatility Position Sizing,ADA_USDT,910,3288.07,5267.75,1979.68,46.6,0.504,0.103,0.199,-18.07,1.12,B_New,1h
A_Bollinger Band Reversion,DOT_USDT,314,551.68,1040.45,488.77,64.6,0.499,0.074,0.445,-5.67,1.14,A_Original,1h
B_MACD Centerline Cross + Divergence,AVAX_USDT,843,627.67,1426.57,798.9,49.1,0.497,0.175,0.273,-10.7,1.08,B_New,1h
B_GARCH Volatility Position Sizing,BTC_USDT,1078,2323.64,4027.55,1703.91,50.6,0.493,0.091,0.181,-13.4,1.12,B_New,1h
B_Ichimoku Cloud,XRP_USDT,1501,3530.6,5747.87,2217.27,36.3,0.492,0.182,0.205,-19.87,1.1,B_New,1h
B_Funding Rate Arb,SUI_USDT,2,71.44,100.13,28.68,50.0,0.489,0.0,1.217,-0.32,3.18,B_New,1h
B_Keltner Channel Breakout,ADA_USDT,1034,3126.02,5173.73,2047.71,45.6,0.486,0.12,0.191,-17.95,1.1,B_New,1h
"B_SuperTrend (ATR×3, 10)",DOT_USDT,240,720.87,1213.04,492.16,39.6,0.477,0.193,0.658,-5.0,1.19,B_New,1h
A_MACD Momentum,BNB_USDT,3410,3078.38,6114.88,3036.5,38.2,0.471,0.213,0.267,-12.32,1.08,A_Original,1h
A_MACD Momentum,APT_USDT,893,891.11,1928.68,1037.57,38.1,0.47,0.298,0.307,-13.24,1.08,A_Original,1h
"B_SuperTrend (ATR×3, 10)",ICP_USDT,247,754.31,1155.01,400.7,36.4,0.465,0.172,0.427,-8.08,1.15,B_New,1h
B_Donchian Breakout,ETH_USDT,528,2149.07,2911.45,762.38,47.5,0.463,0.066,0.293,-7.9,1.16,B_New,1h
B_OU Mean-Reversion Entry,BTC_USDT,3,11.89,12.79,0.9,66.7,0.461,0.0,3.111,-0.0,28.11,B_New,1h
B_MACD Centerline Cross + Divergence,BNB_USDT,3411,2392.69,5277.53,2884.84,47.6,0.457,0.16,0.169,-15.56,1.07,B_New,1h
B_Elliott Wave + Base ML,TRX_USDT,477,1879.38,2536.28,656.91,45.9,0.455,0.064,0.196,-11.7,1.17,B_New,1h
B_Donchian Breakout,NEAR_USDT,167,733.37,1131.17,397.8,41.3,0.451,0.096,0.365,-9.17,1.16,B_New,1h
B_Keltner Channel Breakout,DOGE_USDT,791,3021.22,4606.95,1585.73,43.4,0.441,0.095,0.377,-10.43,1.13,B_New,1h
B_Volatility Breakout (TTM Squeeze),SHIB_USDT,147,433.43,511.51,78.08,40.1,0.426,0.101,0.307,-6.47,1.21,B_New,1h
B_GARCH Volatility Position Sizing,TRX_USDT,946,2334.51,4317.22,1982.71,48.3,0.421,0.085,0.246,-11.39,1.12,B_New,1h
B_MTF SMA-200 Filter,SHIB_USDT,1072,863.44,1490.71,627.27,35.2,0.417,0.255,0.348,-11.25,1.08,B_New,1h
B_Funding Rate Arb,SOL_USDT,1,31.52,41.74,10.22,100.0,0.417,0.0,0.0,0.0,inf,B_New,1h
B_Trend RF Model,ICP_USDT,489,745.77,1485.72,739.95,43.1,0.416,0.157,0.422,-8.08,1.09,B_New,1h
B_Ornstein-Uhlenbeck Filter,ATOM_USDT,980,420.31,1322.43,902.13,53.5,0.413,0.127,0.357,-5.43,1.06,B_New,1h
A_MACD Momentum,ETH_USDT,3453,2268.42,5618.73,3350.31,36.8,0.41,0.17,0.123,-19.78,1.06,A_Original,1h
B_MTF SMA-200 Filter,XRP_USDT,3288,2987.16,6846.94,3859.79,34.5,0.403,0.178,0.154,-22.83,1.06,B_New,1h
A_Bollinger Band Reversion,SOL_USDT,805,1414.2,2564.48,1150.28,61.6,0.399,0.055,0.268,-8.69,1.09,A_Original,1h
B_MACD Centerline Cross + Divergence,LINK_USDT,2847,2213.23,5030.84,2817.61,48.4,0.397,0.146,0.177,-16.43,1.06,B_New,1h
A_RSI Mean Reversion,ATOM_USDT,40,150.01,248.91,98.9,47.5,0.397,0.032,0.27,-2.58,1.25,A_Original,1h
"B_SuperTrend (ATR×3, 10)",ETH_USDT,916,1863.06,3034.12,1171.06,37.1,0.396,0.108,0.108,-18.71,1.1,B_New,1h
B_Keltner Channel Breakout,LINK_USDT,884,2185.92,3674.33,1488.41,48.6,0.392,0.083,0.282,-10.2,1.08,B_New,1h
A_RSI Mean Reversion,HBAR_USDT,33,155.69,234.26,78.57,63.6,0.391,0.024,0.389,-1.86,1.28,A_Original,1h
B_MTF SMA-200 Filter,NEAR_USDT,937,766.82,2011.58,1244.76,36.7,0.373,0.173,0.332,-10.52,1.06,B_New,1h
B_MTF SMA-200 Filter,ATOM_USDT,815,621.18,1712.11,1090.93,37.1,0.373,0.173,0.444,-6.42,1.07,B_New,1h
B_OFI Momentum,HBAR_USDT,671,631.41,1351.75,720.34,45.3,0.359,0.149,0.233,-12.42,1.08,B_New,1h
B_Donchian Breakout,ICP_USDT,179,586.59,997.16,410.56,43.0,0.355,0.078,0.202,-13.34,1.12,B_New,1h
B_Base RF Model,UNI_USDT,490,413.99,1113.47,699.49,51.4,0.35,0.074,0.355,-5.38,1.07,B_New,1h
B_Ichimoku Cloud,APT_USDT,423,716.53,1682.07,965.54,40.7,0.349,0.147,0.255,-12.87,1.07,B_New,1h
B_OU Mean-Reversion Entry,BNB_USDT,1,6.91,7.21,0.3,100.0,0.347,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,ETH_USDT,1,24.42,24.72,0.3,100.0,0.343,0.0,0.0,0.0,inf,B_New,1h
B_MACD Centerline Cross + Divergence,ADA_USDT,3261,1866.92,5294.94,3428.02,47.8,0.34,0.099,0.1,-21.55,1.04,B_New,1h
B_Ichimoku Cloud,NEAR_USDT,420,644.1,1431.77,787.67,42.1,0.338,0.12,0.386,-7.63,1.06,B_New,1h
B_Ornstein-Uhlenbeck Filter,APT_USDT,1052,527.78,1626.11,1098.33,53.1,0.336,0.124,0.203,-11.94,1.05,B_New,1h
B_Trend RF Model,UNI_USDT,453,479.73,1203.15,723.42,44.4,0.329,0.124,0.241,-9.16,1.07,B_New,1h
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3568,1471.11,4678.13,3207.02,40.8,0.327,0.144,0.095,-21.33,1.04,A_Original,1h
B_MTF SMA-200 Filter,LINK_USDT,2960,2158.23,5979.82,3821.6,36.8,0.322,0.14,0.136,-20.86,1.04,B_New,1h
B_GARCH Volatility Position Sizing,DOT_USDT,241,423.16,1032.86,609.71,50.2,0.316,0.063,0.207,-9.39,1.08,B_New,1h
B_GARCH Volatility Position Sizing,SUI_USDT,209,504.31,1184.63,680.32,45.5,0.308,0.044,0.255,-10.85,1.07,B_New,1h
B_Trend RF Model,LINK_USDT,1582,1805.18,4106.14,2300.96,42.5,0.307,0.104,0.105,-22.92,1.05,B_New,1h
A_MACD Momentum,AVAX_USDT,849,379.99,1260.41,880.42,39.8,0.306,0.141,0.159,-11.21,1.04,A_Original,1h
A_Bollinger Band Reversion,XRP_USDT,1031,1024.69,2226.56,1201.87,64.4,0.297,0.036,0.106,-12.23,1.07,A_Original,1h
B_Ichimoku Cloud,DOT_USDT,425,485.29,1342.63,857.34,38.8,0.291,0.124,0.226,-9.83,1.07,B_New,1h
A_MACD Momentum,HBAR_USDT,925,472.74,1334.35,861.61,38.9,0.291,0.177,0.189,-11.53,1.05,A_Original,1h
B_Ichimoku Cloud,TRX_USDT,1498,1523.18,4300.88,2777.69,38.4,0.288,0.094,0.1,-18.87,1.05,B_New,1h
"B_SuperTrend (ATR×3, 10)",ATOM_USDT,247,382.24,738.81,356.56,33.6,0.286,0.116,0.199,-8.85,1.1,B_New,1h
B_VWAP Reversion,NEAR_USDT,924,346.92,1270.43,923.5,62.1,0.285,0.065,0.149,-10.73,1.04,B_New,1h
B_Elliott Wave + Base ML,LTC_USDT,146,222.06,508.59,286.53,44.5,0.279,0.052,0.223,-4.62,1.1,B_New,1h
A_RSI Mean Reversion,DOGE_USDT,107,345.34,495.43,150.09,57.0,0.274,0.015,0.181,-2.76,1.2,A_Original,1h
B_MACD Centerline Cross + Divergence,BTC_USDT,3462,1011.63,4033.56,3021.92,47.0,0.27,0.085,0.051,-21.69,1.04,B_New,1h
A_RSI Mean Reversion,DOT_USDT,36,129.47,224.54,95.07,58.3,0.27,0.021,0.172,-3.49,1.16,A_Original,1h
B_Trend RF Model,DOT_USDT,417,345.82,1060.28,714.46,43.6,0.269,0.081,0.22,-7.25,1.05,B_New,1h
B_MTF SMA-200 Filter,APT_USDT,847,507.24,1887.43,1380.19,34.8,0.261,0.124,0.133,-17.58,1.04,B_New,1h
"B_SuperTrend (ATR×3, 10)",TRX_USDT,887,902.25,2324.93,1422.68,37.4,0.258,0.064,0.067,-17.06,1.07,B_New,1h
A_Bollinger Band Reversion,ICP_USDT,301,269.26,734.5,465.24,61.5,0.253,0.034,0.234,-5.34,1.05,A_Original,1h
B_Volatility Breakout (TTM Squeeze),UNI_USDT,133,304.44,533.26,228.82,46.6,0.252,0.03,0.189,-7.45,1.11,B_New,1h
B_Donchian Breakout,XRP_USDT,408,951.53,1587.54,636.01,42.6,0.251,0.048,0.129,-9.39,1.11,B_New,1h
"B_SuperTrend (ATR×3, 10)",LINK_USDT,777,949.62,2038.68,1089.06,42.9,0.245,0.063,0.093,-14.03,1.05,B_New,1h
B_VWAP Reversion,SOL_USDT,2513,927.41,3429.37,2501.96,61.1,0.245,0.055,0.086,-18.16,1.03,B_New,1h
B_Ichimoku Cloud,LINK_USDT,1381,1355.01,3578.02,2223.02,41.1,0.241,0.078,0.087,-21.04,1.03,B_New,1h
B_MTF SMA-200 Filter,SUI_USDT,760,389.86,1522.24,1132.38,35.3,0.236,0.126,0.164,-13.05,1.03,B_New,1h
B_Elliott Wave + Base ML,BTC_USDT,825,794.9,1692.07,897.17,45.6,0.23,0.046,0.055,-16.11,1.06,B_New,1h
B_Donchian Breakout,LINK_USDT,554,905.97,1828.23,922.26,48.0,0.229,0.038,0.086,-14.51,1.06,B_New,1h
B_MTF SMA-200 Filter,DOGE_USDT,3104,1541.79,5358.59,3816.8,34.0,0.227,0.114,0.078,-27.22,1.03,B_New,1h
B_MTF SMA-200 Filter,DOT_USDT,839,350.24,1618.05,1267.8,37.8,0.218,0.103,0.152,-10.6,1.04,B_New,1h
B_OFI Momentum,ADA_USDT,2399,1099.26,3789.06,2689.8,43.7,0.216,0.06,0.053,-24.58,1.03,B_New,1h
A_Ensemble A (RSI+MACD+BB),NEAR_USDT,1120,278.79,1187.43,908.64,41.2,0.207,0.101,0.126,-10.24,1.03,A_Original,1h
