strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Elliott Wave + Base ML,AVAX_USDT,309,6933.86,7530.52,596.66,52.4,1.535,0.331,2.52,-5.2,1.7,B_New,1h
B_Base RF Model,ETH_USDT,1700,11202.78,14634.37,3431.59,44.6,1.407,0.402,0.905,-9.96,1.27,B_New,1h
B_Base RF Model,ADA_USDT,245,,,164.89,61.2,1.386,0.135,,-2.21,1.91,B_New,1h
B_Elliott Wave + Base ML,LINK_USDT,488,8134.51,9515.81,1381.3,54.5,1.373,0.228,1.201,-7.07,1.52,B_New,1h
B_Base RF Model,BNB_USDT,1371,8519.16,10660.77,2141.61,50.4,1.181,0.228,1.014,-7.43,1.31,B_New,1h
B_Trend RF Model,SHIB_USDT,720,8421.33,9075.87,654.53,52.4,1.177,0.325,1.841,-7.07,1.43,B_New,1h
B_Trend RF Model,ICP_USDT,544,5886.83,7795.89,1909.06,50.7,1.151,0.205,1.72,-5.65,1.34,B_New,1h
B_Base RF Model,APT_USDT,364,2404.63,3414.19,1009.56,49.2,1.094,0.282,0.923,-9.56,1.28,B_New,1h
B_GARCH Volatility Position Sizing,AVAX_USDT,488,5640.04,6621.09,981.05,48.4,1.092,0.259,1.065,-10.34,1.31,B_New,1h
B_Base RF Model,LINK_USDT,1114,8512.58,11308.89,2796.31,53.2,1.088,0.233,0.718,-12.26,1.23,B_New,1h
B_GARCH Volatility Position Sizing,BNB_USDT,1045,10528.73,12777.41,2248.68,50.1,1.046,0.254,1.023,-8.65,1.33,B_New,1h
B_Ichimoku Cloud,AVAX_USDT,809,6188.93,7609.0,1420.07,42.4,1.042,0.356,1.396,-8.53,1.24,B_New,1h
B_Base RF Model,DOGE_USDT,898,9924.4,12274.68,2350.28,46.3,1.041,0.303,1.613,-6.58,1.36,B_New,1h
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8652.57,12532.21,3879.64,47.3,1.014,0.558,1.036,-9.21,1.22,B_New,1h
B_Trend RF Model,ATOM_USDT,179,,,111.66,52.5,1.004,0.121,,-5.24,1.73,B_New,1h
B_Base RF Model,NEAR_USDT,850,5697.17,7862.85,2165.68,51.8,0.981,0.209,0.527,-16.01,1.21,B_New,1h
B_Elliott Wave + Base ML,BNB_USDT,563,8959.06,9987.18,1028.12,50.6,0.971,0.266,0.855,-9.16,1.55,B_New,1h
B_Elliott Wave + Base ML,ICP_USDT,276,4154.83,5404.07,1249.24,50.0,0.964,0.181,0.918,-7.85,1.48,B_New,1h
B_Elliott Wave + Base ML,NEAR_USDT,370,4871.12,5931.85,1060.72,48.1,0.946,0.167,1.077,-6.87,1.36,B_New,1h
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.091,0.511,-5.11,1.99,A_Original,1h
B_MACD Centerline Cross + Divergence,ATOM_USDT,236,,,147.52,55.5,0.921,0.105,,-2.49,1.53,B_New,1h
A_RSI Mean Reversion,SHIB_USDT,84,1102.2,1149.98,47.78,60.7,0.921,0.062,0.697,-3.04,1.76,A_Original,1h
B_Keltner Channel Breakout,BNB_USDT,1054,8918.79,10699.91,1781.13,47.0,0.91,0.243,1.021,-7.64,1.29,B_New,1h
B_OFI Momentum,ADA_USDT,477,,,310.9,49.9,0.907,0.149,,-3.75,1.38,B_New,1h
A_Bollinger Band Reversion,ICP_USDT,715,3619.42,5219.14,1599.72,65.9,0.907,0.109,0.453,-14.08,1.22,A_Original,1h
B_Trend RF Model,DOGE_USDT,847,7338.24,9487.72,2149.48,49.9,0.894,0.213,0.869,-9.65,1.28,B_New,1h
B_Donchian Breakout,SHIB_USDT,270,3127.22,3309.57,182.35,51.5,0.886,0.165,0.853,-6.57,1.52,B_New,1h
"B_SuperTrend (ATR×3, 10)",AVAX_USDT,459,3025.8,3627.21,601.41,43.1,0.88,0.222,0.598,-10.66,1.27,B_New,1h
B_GARCH Volatility Position Sizing,SOL_USDT,684,5786.17,7877.9,2091.73,49.3,0.872,0.209,0.622,-13.33,1.22,B_New,1h
B_Elliott Wave + Base ML,DOGE_USDT,382,5031.9,5975.91,944.01,44.5,0.862,0.158,0.685,-8.97,1.45,B_New,1h
B_Elliott Wave + Base ML,SOL_USDT,349,3309.55,4203.58,894.03,49.6,0.855,0.138,0.89,-5.74,1.38,B_New,1h
A_RSI Mean Reversion,APT_USDT,45,574.17,659.41,85.23,66.7,0.855,0.05,0.415,-5.34,1.67,A_Original,1h
B_Base RF Model,XRP_USDT,1076,5641.69,7634.24,1992.55,47.0,0.852,0.189,0.683,-8.42,1.23,B_New,1h
B_Keltner Channel Breakout,AVAX_USDT,547,3535.53,4361.09,825.56,50.5,0.84,0.164,0.815,-8.99,1.22,B_New,1h
B_Base RF Model,BTC_USDT,1768,4317.37,6800.65,2483.28,42.7,0.827,0.242,0.339,-12.42,1.16,B_New,1h
B_Base RF Model,TRX_USDT,1073,5061.51,7644.74,2583.23,50.1,0.822,0.174,0.409,-13.02,1.24,B_New,1h
"B_SuperTrend (ATR×3, 10)",ADA_USDT,744,3879.53,4838.82,959.29,40.5,0.799,0.22,0.343,-13.86,1.21,B_New,1h
B_GARCH Volatility Position Sizing,ATOM_USDT,227,,,139.94,53.7,0.798,0.102,,-4.9,1.45,B_New,1h
B_GARCH Volatility Position Sizing,DOGE_USDT,763,10577.56,13146.91,2569.35,44.3,0.797,0.313,0.807,-13.8,1.34,B_New,1h
A_Bollinger Band Reversion,AVAX_USDT,584,2197.32,2861.93,664.61,63.0,0.774,0.109,0.523,-9.08,1.19,A_Original,1h
B_MACD Centerline Cross + Divergence,ICP_USDT,2067,3049.73,5779.86,2730.13,49.3,0.77,0.27,0.576,-9.51,1.12,B_New,1h
B_Keltner Channel Breakout,NEAR_USDT,710,4443.42,6276.11,1832.69,47.2,0.746,0.175,0.733,-9.32,1.18,B_New,1h
B_Base RF Model,LTC_USDT,1373,4869.3,7193.24,2323.94,48.2,0.736,0.157,0.347,-13.97,1.15,B_New,1h
B_Trend RF Model,APT_USDT,268,1431.35,2035.08,603.73,45.9,0.708,0.165,0.517,-10.43,1.21,B_New,1h
B_Base RF Model,AVAX_USDT,116,,,68.4,53.4,0.704,0.055,,-8.25,1.54,B_New,1h
"B_SuperTrend (ATR×3, 10)",SOL_USDT,641,3089.18,4300.98,1211.8,41.8,0.686,0.169,0.401,-11.99,1.19,B_New,1h
B_Keltner Channel Breakout,SOL_USDT,761,3649.85,5308.56,1658.72,46.5,0.68,0.158,0.627,-8.89,1.15,B_New,1h
B_Futures Short RF Model,AVAX_USDT,110,,,68.42,52.7,0.679,0.068,,-7.17,1.51,B_New,1h
B_MACD Centerline Cross + Divergence,SOL_USDT,2297,3077.36,5696.98,2619.62,48.8,0.672,0.245,0.353,-13.55,1.1,B_New,1h
A_Bollinger Band Reversion,HBAR_USDT,934,2599.69,4116.76,1517.07,63.6,0.668,0.099,0.255,-13.94,1.14,A_Original,1h
B_Donchian Breakout,BNB_USDT,718,4716.72,5826.8,1110.08,42.8,0.662,0.154,0.275,-16.93,1.24,B_New,1h
B_Ichimoku Cloud,SHIB_USDT,977,3427.02,4163.1,736.07,37.3,0.662,0.255,0.644,-9.45,1.14,B_New,1h
B_OFI Momentum,SHIB_USDT,1486,2814.51,3805.51,991.0,43.7,0.655,0.211,0.601,-8.47,1.13,B_New,1h
B_Futures Short RF Model,NEAR_USDT,555,2770.76,3946.29,1175.53,53.3,0.654,0.105,0.397,-11.32,1.18,B_New,1h
B_MACD Centerline Cross + Divergence,ADA_USDT,79,,,47.49,62.0,0.646,0.036,,-1.41,1.71,B_New,1h
B_Ichimoku Cloud,DOGE_USDT,1347,7058.51,9961.69,2903.19,37.5,0.644,0.274,0.544,-14.95,1.17,B_New,1h
B_Ichimoku Cloud,NEAR_USDT,1092,4289.75,7021.9,2732.16,42.1,0.634,0.219,0.424,-15.64,1.11,B_New,1h
B_GARCH Volatility Position Sizing,NEAR_USDT,630,3692.87,5563.44,1870.57,48.9,0.631,0.135,0.338,-17.21,1.15,B_New,1h
B_Elliott Wave + Base ML,APT_USDT,149,1014.62,1513.44,498.81,46.3,0.63,0.104,0.589,-6.57,1.25,B_New,1h
B_MACD Centerline Cross + Divergence,HBAR_USDT,2778,5325.44,8655.77,3330.34,48.8,0.63,0.346,0.545,-12.25,1.14,B_New,1h
B_Donchian Breakout,APT_USDT,150,834.9,1272.45,437.55,49.3,0.629,0.101,0.536,-5.96,1.24,B_New,1h
A_MACD Momentum,DOGE_USDT,2880,5834.86,9595.73,3760.87,37.5,0.628,0.458,0.341,-20.36,1.13,A_Original,1h
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2671,2292.61,4250.49,1957.88,41.7,0.624,0.254,0.294,-14.35,1.08,A_Original,1h
A_MACD Momentum,ATOM_USDT,332,,,207.61,42.2,0.622,0.127,,-3.72,1.28,A_Original,1h
B_Trend RF Model,ADA_USDT,49,,,30.37,55.1,0.616,0.038,,-1.97,1.88,B_New,1h
B_Elliott Wave + Base ML,XRP_USDT,454,3311.41,4096.46,785.04,44.7,0.613,0.106,0.525,-6.94,1.29,B_New,1h
B_GARCH Volatility Position Sizing,SHIB_USDT,532,3172.28,3564.62,392.34,43.2,0.606,0.162,0.644,-8.82,1.2,B_New,1h
B_Volatility Breakout (TTM Squeeze),APT_USDT,169,802.81,1190.25,387.44,44.4,0.594,0.102,0.404,-7.62,1.23,B_New,1h
"B_SuperTrend (ATR×3, 10)",NEAR_USDT,612,2642.18,3830.77,1188.59,42.0,0.591,0.163,0.268,-16.05,1.14,B_New,1h
B_GARCH Volatility Position Sizing,XRP_USDT,898,4339.3,6154.58,1815.28,44.5,0.59,0.145,0.459,-10.03,1.19,B_New,1h
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4255,2948.17,6855.34,3907.18,41.1,0.588,0.261,0.175,-18.78,1.07,A_Original,1h
"B_SuperTrend (ATR×3, 10)",BNB_USDT,902,3891.07,5003.39,1112.32,41.1,0.588,0.146,0.563,-7.01,1.22,B_New,1h
B_GARCH Volatility Position Sizing,LINK_USDT,873,4107.34,6301.8,2194.47,49.7,0.587,0.124,0.338,-14.27,1.13,B_New,1h
B_Elliott Wave + Base ML,HBAR_USDT,422,2903.23,3864.36,961.13,45.0,0.585,0.112,0.341,-11.55,1.22,B_New,1h
A_MACD Momentum,XRP_USDT,3356,3998.72,7633.48,3634.75,37.8,0.583,0.298,0.3,-14.3,1.1,A_Original,1h
B_Elliott Wave + Base ML,TRX_USDT,384,2351.7,2922.88,571.18,48.4,0.582,0.071,0.231,-11.71,1.27,B_New,1h
B_Keltner Channel Breakout,SHIB_USDT,604,2644.06,3041.56,397.5,44.9,0.579,0.155,0.485,-9.92,1.17,B_New,1h
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,688,2877.2,3959.52,1082.31,37.9,0.573,0.168,0.332,-11.36,1.2,B_New,1h
B_Base RF Model,ICP_USDT,704,2258.1,4087.9,1829.8,49.1,0.572,0.12,0.234,-17.8,1.12,B_New,1h
B_Base RF Model,DOT_USDT,817,2618.02,4484.65,1866.63,50.8,0.57,0.109,0.205,-20.29,1.11,B_New,1h
B_Funding Rate Arb,DOT_USDT,2,92.45,101.3,8.84,100.0,0.569,0.0,0.0,0.0,inf,B_New,1h
B_MTF SMA-200 Filter,SHIB_USDT,2216,3820.79,5594.24,1773.45,34.4,0.568,0.32,0.52,-12.88,1.1,B_New,1h
B_Donchian Breakout,ATOM_USDT,3,,,1.81,66.7,0.567,0.0,0.0,0.0,inf,B_New,1h
B_Keltner Channel Breakout,ETH_USDT,1114,3454.66,5089.16,1634.49,45.2,0.563,0.141,0.439,-7.89,1.13,B_New,1h
A_Ensemble A (RSI+MACD+BB),ATOM_USDT,440,,,268.86,46.6,0.563,0.11,,-2.53,1.2,A_Original,1h
"B_SuperTrend (ATR×3, 10)",BTC_USDT,872,1930.99,2983.8,1052.8,41.2,0.559,0.133,0.196,-10.43,1.16,B_New,1h
B_Trend RF Model,LINK_USDT,858,3339.42,5158.7,1819.27,49.7,0.551,0.107,0.203,-19.83,1.12,B_New,1h
B_Donchian Breakout,AVAX_USDT,342,1907.87,2452.59,544.72,48.8,0.549,0.098,0.308,-13.52,1.16,B_New,1h
B_OU Mean-Reversion Entry,LTC_USDT,3,28.25,30.41,2.16,100.0,0.548,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,ICP_USDT,8,587.22,843.78,256.56,50.0,0.548,0.03,0.65,-1.77,3.52,B_New,1h
