strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_MACD Centerline Cross + Divergence,APT_USDT,182,,,106.23,50.0,0.536,0.097,,-5.32,1.28,B_New,1h
B_GARCH Volatility Position Sizing,ETH_USDT,1061,3317.26,5214.36,1897.1,49.6,0.533,0.093,0.204,-16.39,1.12,B_New,1h
B_Ichimoku Cloud,BNB_USDT,1679,4591.26,6750.93,2159.67,41.0,0.533,0.155,0.374,-12.18,1.12,B_New,1h
B_Base RF Model,SHIB_USDT,618,2507.58,2949.94,442.36,46.4,0.524,0.131,0.359,-12.76,1.15,B_New,1h
B_MACD Centerline Cross + Divergence,XRP_USDT,3266,2932.96,6256.72,3323.76,46.7,0.523,0.2,0.217,-15.05,1.09,B_New,1h
B_Futures Short RF Model,LINK_USDT,690,2620.49,3783.3,1162.81,54.2,0.519,0.078,0.348,-9.3,1.15,B_New,1h
B_Donchian Breakout,NEAR_USDT,454,2360.33,3458.38,1098.05,47.4,0.516,0.093,0.272,-14.3,1.16,B_New,1h
"B_SuperTrend (ATR×3, 10)",SHIB_USDT,519,1902.75,2236.96,334.21,41.0,0.516,0.149,0.408,-8.7,1.18,B_New,1h
B_Ichimoku Cloud,ADA_USDT,37,,,21.86,54.1,0.507,0.024,,-2.02,1.8,B_New,1h
B_MACD Centerline Cross + Divergence,NEAR_USDT,2294,2397.51,5154.62,2757.11,47.8,0.502,0.174,0.194,-20.32,1.07,B_New,1h
B_GARCH Volatility Position Sizing,BTC_USDT,1077,2347.65,4052.11,1704.46,50.6,0.498,0.092,0.183,-13.4,1.12,B_New,1h
B_Keltner Channel Breakout,ADA_USDT,159,,,88.96,50.3,0.486,0.049,,-4.18,1.31,B_New,1h
B_Futures Short RF Model,ICP_USDT,433,1439.82,2550.74,1110.92,51.3,0.485,0.077,0.367,-7.44,1.14,B_New,1h
B_GARCH Volatility Position Sizing,HBAR_USDT,739,3146.98,4912.1,1765.12,44.2,0.48,0.114,0.261,-16.19,1.13,B_New,1h
B_Elliott Wave + Base ML,ADA_USDT,44,,,24.34,54.5,0.473,0.022,,-1.66,1.68,B_New,1h
B_MACD Centerline Cross + Divergence,BNB_USDT,3489,2532.95,5514.56,2981.6,47.6,0.473,0.165,0.173,-15.6,1.08,B_New,1h
B_Elliott Wave + Base ML,SHIB_USDT,325,1733.9,1937.49,203.59,41.2,0.465,0.102,0.357,-9.13,1.19,B_New,1h
A_MACD Momentum,SHIB_USDT,2116,2009.38,3439.87,1430.49,37.6,0.464,0.191,0.281,-13.28,1.08,A_Original,1h
A_RSI Mean Reversion,AVAX_USDT,75,693.58,785.54,91.97,58.7,0.461,0.034,0.579,-2.73,1.36,A_Original,1h
B_Ichimoku Cloud,ETH_USDT,1748,3228.37,5803.27,2574.9,39.8,0.461,0.147,0.19,-17.14,1.08,B_New,1h
A_MACD Momentum,BNB_USDT,3491,3034.52,6153.33,3118.8,38.3,0.46,0.207,0.257,-12.32,1.08,A_Original,1h
B_GARCH Volatility Position Sizing,APT_USDT,278,903.79,1781.14,877.36,49.3,0.454,0.102,0.372,-9.3,1.11,B_New,1h
B_Trend RF Model,AVAX_USDT,30,,,17.15,46.7,0.452,0.022,,-5.18,1.67,B_New,1h
A_RSI Mean Reversion,ICP_USDT,83,849.37,1011.27,161.9,56.6,0.445,0.029,0.31,-5.32,1.37,A_Original,1h
B_Elliott Wave + Base ML,LTC_USDT,596,2082.98,3026.98,944.01,47.5,0.445,0.072,0.205,-11.12,1.14,B_New,1h
B_Keltner Channel Breakout,DOGE_USDT,790,3021.79,4608.34,1586.55,43.4,0.441,0.095,0.377,-10.45,1.13,B_New,1h
B_Base RF Model,SOL_USDT,1162,1896.1,3776.98,1880.89,50.2,0.429,0.091,0.263,-11.7,1.07,B_New,1h
B_Funding Rate Arb,NEAR_USDT,1,181.72,194.12,12.39,100.0,0.424,0.0,0.0,0.0,inf,B_New,1h
B_Ichimoku Cloud,XRP_USDT,1588,3054.11,5582.9,2528.79,36.1,0.423,0.156,0.17,-19.88,1.08,B_New,1h
B_Elliott Wave + Base ML,BTC_USDT,731,1654.41,2471.11,816.7,47.6,0.421,0.077,0.136,-13.04,1.12,B_New,1h
B_Trend RF Model,HBAR_USDT,730,2287.8,3844.83,1557.04,48.8,0.419,0.09,0.321,-9.87,1.12,B_New,1h
B_Funding Rate Arb,SOL_USDT,1,31.52,41.74,10.22,100.0,0.418,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,SOL_USDT,1,12.33,13.63,1.3,100.0,0.418,0.0,0.0,0.0,inf,B_New,1h
B_GARCH Volatility Position Sizing,TRX_USDT,989,2334.18,4549.69,2215.51,48.7,0.413,0.083,0.22,-12.22,1.12,B_New,1h
B_MTF SMA-200 Filter,ADA_USDT,84,,,49.06,40.5,0.413,0.033,,-2.73,1.46,B_New,1h
B_VWAP Reversion,ICP_USDT,2262,1370.32,4001.65,2631.33,60.2,0.403,0.09,0.189,-13.78,1.05,B_New,1h
A_Bollinger Band Reversion,SOL_USDT,804,1398.9,2550.89,1151.99,61.7,0.396,0.054,0.266,-8.69,1.09,A_Original,1h
B_Donchian Breakout,ETH_USDT,540,1787.57,2589.56,801.99,47.0,0.389,0.055,0.199,-9.57,1.13,B_New,1h
B_Ichimoku Cloud,ATOM_USDT,7,,,4.27,42.9,0.386,0.01,,-0.74,3.33,B_New,1h
B_Scalping RF Model (1m),ADA_USDT,193,,,113.89,55.4,0.383,0.03,,-2.79,1.23,B_New,1h
A_MACD Momentum,ETH_USDT,3536,2119.25,5577.63,3458.38,36.8,0.381,0.158,0.113,-19.79,1.05,A_Original,1h
B_Funding Rate Arb,SUI_USDT,2,71.44,100.13,28.68,50.0,0.379,0.0,0.73,-0.32,3.18,B_New,1h
B_MTF SMA-200 Filter,ATOM_USDT,11,,,6.66,45.5,0.378,0.011,,-1.06,2.56,B_New,1h
"B_SuperTrend (ATR×3, 10)",ETH_USDT,946,1756.66,3000.52,1243.86,36.9,0.37,0.101,0.093,-20.26,1.09,B_New,1h
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3564,1533.37,4740.59,3207.22,40.8,0.339,0.149,0.099,-21.25,1.04,A_Original,1h
B_Futures Short RF Model,APT_USDT,244,567.78,1082.91,515.13,48.4,0.338,0.063,0.251,-8.73,1.1,B_New,1h
B_Keltner Channel Breakout,ICP_USDT,617,1283.26,2968.58,1685.32,44.9,0.334,0.074,0.157,-15.63,1.08,B_New,1h
B_Keltner Channel Breakout,LINK_USDT,925,1822.13,3462.41,1640.28,48.4,0.329,0.07,0.218,-10.63,1.07,B_New,1h
A_Bollinger Band Reversion,SHIB_USDT,693,776.66,1198.23,421.57,64.6,0.323,0.041,0.165,-9.17,1.08,A_Original,1h
B_Base RF Model,HBAR_USDT,884,1646.1,3223.75,1577.65,47.9,0.319,0.076,0.162,-14.4,1.07,B_New,1h
B_OU Mean-Reversion Entry,BTC_USDT,2,5.43,6.03,0.6,50.0,0.313,0.0,1.421,-0.0,13.37,B_New,1h
B_MTF SMA-200 Filter,XRP_USDT,3482,2244.97,6548.13,4303.16,34.2,0.312,0.138,0.104,-24.61,1.04,B_New,1h
B_MTF SMA-200 Filter,DOT_USDT,2308,1494.64,5465.44,3970.8,38.4,0.31,0.132,0.142,-17.34,1.04,B_New,1h
B_OFI Momentum,AVAX_USDT,166,,,97.91,43.4,0.304,0.044,,-11.19,1.2,B_New,1h
A_RSI Mean Reversion,ATOM_USDT,97,381.61,516.05,134.44,50.5,0.295,0.024,0.179,-3.56,1.19,A_Original,1h
"B_SuperTrend (ATR×3, 10)",LTC_USDT,899,1242.06,2423.98,1181.92,39.8,0.288,0.075,0.06,-23.38,1.07,B_New,1h
B_Elliott Wave + Base ML,UNI_USDT,350,900.05,1569.42,669.37,45.4,0.286,0.043,0.243,-6.33,1.09,B_New,1h
A_RSI Mean Reversion,DOGE_USDT,106,360.03,510.33,150.29,56.6,0.285,0.015,0.188,-2.76,1.21,A_Original,1h
B_Keltner Channel Breakout,DOT_USDT,720,1142.04,2873.55,1731.51,47.6,0.285,0.056,0.173,-11.06,1.06,B_New,1h
A_Bollinger Band Reversion,ADA_USDT,450,,,252.87,64.9,0.277,0.024,,-6.18,1.1,A_Original,1h
B_MACD Centerline Cross + Divergence,LINK_USDT,2980,1465.02,4468.92,3003.9,48.0,0.277,0.101,0.087,-21.65,1.04,B_New,1h
B_Keltner Channel Breakout,APT_USDT,297,486.61,1246.86,760.25,42.8,0.274,0.069,0.195,-9.65,1.06,B_New,1h
B_Elliott Wave + Base ML,ATOM_USDT,372,866.47,1315.98,449.51,45.7,0.259,0.037,0.119,-11.89,1.08,B_New,1h
B_MACD Centerline Cross + Divergence,BTC_USDT,3463,927.82,3928.81,3000.99,47.0,0.252,0.079,0.047,-21.77,1.04,B_New,1h
A_Bollinger Band Reversion,NEAR_USDT,782,869.86,2161.68,1291.83,62.5,0.243,0.032,0.117,-12.93,1.05,A_Original,1h
B_Trend RF Model,DOT_USDT,545,847.74,2048.23,1200.49,47.3,0.239,0.04,0.111,-12.89,1.06,B_New,1h
B_VWAP Reversion,SOL_USDT,2512,894.42,3396.94,2502.52,61.0,0.238,0.054,0.083,-18.19,1.03,B_New,1h
B_MACD Centerline Cross + Divergence,SHIB_USDT,2120,738.49,2127.92,1389.42,47.5,0.238,0.081,0.142,-10.13,1.03,B_New,1h
A_Bollinger Band Reversion,XRP_USDT,1084,817.13,2145.73,1328.6,64.4,0.234,0.028,0.071,-13.82,1.05,A_Original,1h
B_MTF SMA-200 Filter,AVAX_USDT,447,,,259.49,35.8,0.234,0.052,,-17.3,1.07,B_New,1h
B_Futures Short RF Model,SHIB_USDT,919,778.01,1323.5,545.49,51.8,0.234,0.047,0.116,-13.04,1.05,B_New,1h
B_Donchian Breakout,XRP_USDT,442,908.1,1655.71,747.61,42.5,0.232,0.045,0.116,-9.4,1.1,B_New,1h
B_Trend RF Model,XRP_USDT,770,1158.3,2440.23,1281.93,46.0,0.231,0.033,0.074,-18.68,1.06,B_New,1h
A_MACD Momentum,ADA_USDT,82,,,48.44,45.1,0.23,0.015,,-1.93,1.2,A_Original,1h
B_MTF SMA-200 Filter,DOGE_USDT,3103,1539.61,5356.99,3817.38,33.9,0.227,0.114,0.078,-27.25,1.03,B_New,1h
A_RSI Mean Reversion,ADA_USDT,122,361.49,489.45,127.96,57.4,0.224,0.012,0.108,-4.65,1.16,A_Original,1h
B_Ichimoku Cloud,ICP_USDT,1002,905.8,3359.43,2453.63,39.0,0.223,0.073,0.136,-12.87,1.04,B_New,1h
B_MTF SMA-200 Filter,LINK_USDT,3110,1364.61,5475.33,4110.71,36.7,0.222,0.096,0.068,-26.0,1.02,B_New,1h
B_Ichimoku Cloud,TRX_USDT,1560,1129.54,4264.06,3134.52,37.9,0.221,0.072,0.063,-21.76,1.04,B_New,1h
B_Elliott Wave + Base ML,DOT_USDT,356,711.36,1499.47,788.11,45.8,0.218,0.03,0.094,-12.86,1.07,B_New,1h
B_Donchian Breakout,LINK_USDT,574,848.88,1848.48,999.6,47.9,0.211,0.035,0.075,-14.95,1.05,B_New,1h
B_Futures Short RF Model,SOL_USDT,1170,792.59,2452.81,1660.22,50.3,0.208,0.048,0.114,-11.73,1.04,B_New,1h
"B_SuperTrend (ATR×3, 10)",TRX_USDT,927,718.15,2330.82,1612.67,37.5,0.207,0.051,0.049,-17.95,1.05,B_New,1h
B_Ornstein-Uhlenbeck Filter,ICP_USDT,2534,662.77,3443.0,2780.24,53.7,0.205,0.063,0.062,-20.76,1.02,B_New,1h
A_RSI Mean Reversion,NEAR_USDT,103,305.54,500.36,194.82,52.4,0.203,0.011,0.141,-3.84,1.13,A_Original,1h
B_MACD Centerline Cross + Divergence,SUI_USDT,1222,373.08,1811.64,1438.56,46.9,0.2,0.073,0.076,-16.16,1.03,B_New,1h
B_MTF SMA-200 Filter,APT_USDT,1010,396.25,2052.5,1656.25,35.9,0.196,0.086,0.077,-19.93,1.02,B_New,1h
B_Ichimoku Cloud,SOL_USDT,1147,890.32,2983.96,2093.65,39.8,0.195,0.064,0.083,-18.15,1.03,B_New,1h
"B_SuperTrend (ATR×3, 10)",LINK_USDT,813,742.72,1923.0,1180.28,42.3,0.194,0.05,0.065,-15.26,1.04,B_New,1h
A_MACD Momentum,AVAX_USDT,170,,,91.94,33.5,0.193,0.029,,-14.68,1.13,A_Original,1h
B_Futures Short RF Model,DOGE_USDT,818,879.8,1980.47,1100.68,46.5,0.191,0.04,0.08,-15.47,1.05,B_New,1h
A_Bollinger Band Reversion,ATOM_USDT,851,601.91,1531.24,929.33,61.0,0.188,0.027,0.075,-13.29,1.04,A_Original,1h
B_Volatility Breakout (TTM Squeeze),ATOM_USDT,44,,,24.48,54.5,0.186,0.007,,-3.76,1.2,B_New,1h
B_Donchian Breakout,ADA_USDT,20,,,11.61,50.0,0.183,0.005,,-3.01,1.3,B_New,1h
B_MTF SMA-200 Filter,BNB_USDT,3491,1085.24,4124.36,3039.12,35.8,0.174,0.066,0.071,-17.26,1.02,B_New,1h
B_OFI Momentum,DOGE_USDT,2059,879.28,2908.77,2029.49,42.6,0.172,0.067,0.062,-20.09,1.03,B_New,1h
A_MACD Momentum,DOT_USDT,2324,582.84,3114.44,2531.61,39.3,0.17,0.078,0.074,-13.54,1.02,A_Original,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),SOL_USDT,3602,608.2,3615.53,3007.32,53.5,0.167,0.052,0.076,-13.56,1.01,B_New,1h
"B_SuperTrend (ATR×3, 10)",SUI_USDT,372,278.29,1068.76,790.48,39.5,0.165,0.048,0.087,-10.49,1.03,B_New,1h
B_Volatility Breakout (TTM Squeeze),HBAR_USDT,375,769.45,1375.68,606.23,46.4,0.163,0.04,0.078,-14.4,1.08,B_New,1h
B_Donchian Breakout,HBAR_USDT,566,554.06,1656.51,1102.45,44.5,0.156,0.03,0.042,-19.35,1.04,B_New,1h
B_MTF SMA-200 Filter,SOL_USDT,2420,657.43,3873.12,3215.69,37.2,0.154,0.059,0.048,-23.42,1.02,B_New,1h
B_MACD Centerline Cross + Divergence,ETH_USDT,3456,599.83,3749.8,3149.97,46.4,0.151,0.046,0.022,-30.68,1.02,B_New,1h
B_Ichimoku Cloud,LINK_USDT,1447,704.61,3120.38,2415.77,40.8,0.147,0.047,0.037,-25.48,1.02,B_New,1h
A_MACD Momentum,APT_USDT,1061,227.08,1386.06,1158.99,38.4,0.143,0.081,0.067,-13.24,1.02,A_Original,1h
B_OFI Momentum,APT_USDT,798,217.63,1230.95,1013.32,41.9,0.141,0.057,0.054,-15.83,1.02,B_New,1h
B_Ichimoku Cloud,APT_USDT,495,225.17,1331.47,1106.3,41.2,0.14,0.05,0.056,-15.71,1.02,B_New,1h
B_GARCH Volatility Position Sizing,ICP_USDT,521,441.68,2013.5,1571.82,44.0,0.14,0.032,0.054,-16.01,1.03,B_New,1h
"B_SuperTrend (ATR×3, 10)",XRP_USDT,821,490.12,1490.64,1000.53,37.9,0.138,0.031,0.029,-20.69,1.03,B_New,1h
