strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Elliott Wave + Base ML,AVAX_USDT,315,6530.33,7174.32,643.99,51.7,1.438,0.306,2.113,-5.74,1.63,B_New,1h
B_Base RF Model,ETH_USDT,1648,11310.32,14499.56,3189.24,47.6,1.425,0.365,1.203,-7.54,1.29,B_New,1h
B_Elliott Wave + Base ML,LINK_USDT,488,8130.62,9512.11,1381.49,54.5,1.373,0.228,1.201,-7.07,1.52,B_New,1h
A_RSI Mean Reversion,HBAR_USDT,85,2162.1,2277.59,115.49,65.9,1.276,0.15,2.025,-1.87,2.99,A_Original,1h
B_Elliott Wave + Base ML,ADA_USDT,484,6859.43,7781.32,921.88,51.0,1.201,0.219,0.946,-7.98,1.5,B_New,1h
B_GARCH Volatility Position Sizing,BNB_USDT,894,10938.87,12521.56,1582.69,50.2,1.188,0.295,1.3,-8.23,1.39,B_New,1h
B_Trend RF Model,SHIB_USDT,720,8421.33,9075.87,654.53,52.4,1.177,0.325,1.841,-7.07,1.43,B_New,1h
B_Trend RF Model,ICP_USDT,544,5886.83,7795.89,1909.06,50.7,1.151,0.205,1.72,-5.65,1.34,B_New,1h
B_Base RF Model,BTC_USDT,328,,,208.18,51.2,1.104,0.157,,-4.22,1.67,B_New,1h
B_Elliott Wave + Base ML,BNB_USDT,505,7920.07,8614.85,694.77,51.9,1.102,0.268,1.344,-6.21,1.59,B_New,1h
B_Base RF Model,SOL_USDT,987,6501.36,8756.88,2255.51,49.5,1.1,0.258,0.818,-11.15,1.24,B_New,1h
B_Base RF Model,LINK_USDT,1114,8508.64,11305.13,2796.49,53.2,1.088,0.232,0.718,-12.26,1.23,B_New,1h
B_Ichimoku Cloud,AVAX_USDT,834,6263.21,7809.37,1546.16,42.4,1.031,0.354,1.372,-8.53,1.23,B_New,1h
