strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,SHIB_USDT,789,6956.77,7592.6,635.83,48.2,1.573,0.364,2.46,-4.54,1.41,B_New
B_Base RF Model,DOGE_USDT,836,6062.09,7623.47,1561.38,55.9,1.156,0.188,1.399,-5.13,1.31,B_New
B_Trend RF Model,ICP_USDT,407,5039.79,6579.84,1540.05,52.6,1.06,0.162,1.17,-7.29,1.41,B_New
B_Trend RF Model,SHIB_USDT,674,5629.1,6157.87,528.77,49.1,1.058,0.276,1.348,-6.94,1.38,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1045,10506.35,12758.27,2251.92,50.1,1.044,0.253,1.021,-8.65,1.33,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8652.57,12532.21,3879.64,47.3,1.014,0.559,1.036,-9.21,1.22,B_New
B_Base RF Model,HBAR_USDT,853,4757.53,6567.21,1809.68,55.6,0.964,0.153,0.842,-7.21,1.23,B_New
B_Futures Short RF Model,SOL_USDT,616,5739.81,7506.42,1766.61,49.8,0.946,0.188,0.596,-13.8,1.26,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.091,0.511,-5.11,1.99,A_Original
A_RSI Mean Reversion,SHIB_USDT,84,1102.2,1149.98,47.78,60.7,0.921,0.062,0.697,-3.04,1.76,A_Original
B_Keltner Channel Breakout,BNB_USDT,1054,8898.39,10682.38,1783.99,47.0,0.909,0.242,1.019,-7.64,1.29,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3618.36,5219.13,1600.78,65.9,0.907,0.109,0.453,-14.08,1.22,A_Original
B_Donchian Breakout,SHIB_USDT,270,3145.7,3328.04,182.35,51.5,0.89,0.166,0.857,-6.57,1.52,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,684,5784.8,7876.1,2091.3,49.3,0.872,0.209,0.622,-13.33,1.22,B_New
B_Futures Short RF Model,DOGE_USDT,727,10190.44,12603.76,2413.32,45.1,0.863,0.292,1.186,-9.13,1.36,B_New
B_Elliott Wave + Base ML,SOL_USDT,387,3331.29,4274.08,942.79,53.5,0.846,0.119,0.683,-7.52,1.31,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,762,10640.88,13209.12,2568.24,44.4,0.8,0.314,0.81,-13.8,1.35,B_New
B_Elliott Wave + Base ML,DOGE_USDT,292,4336.5,4913.32,576.82,51.0,0.758,0.164,0.873,-6.2,1.63,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2066,2982.12,5712.05,2729.93,49.2,0.756,0.265,0.565,-9.51,1.12,B_New
B_Elliott Wave + Base ML,AVAX_USDT,364,2871.26,3846.54,975.27,50.8,0.745,0.105,0.624,-7.36,1.27,B_New
B_Keltner Channel Breakout,NEAR_USDT,710,4362.13,6194.53,1832.4,47.0,0.736,0.172,0.722,-9.32,1.18,B_New
B_Futures Short RF Model,BNB_USDT,962,5744.12,7304.8,1560.68,48.3,0.731,0.163,0.48,-11.44,1.23,B_New
B_Trend RF Model,DOGE_USDT,476,3608.49,4640.42,1031.92,52.7,0.718,0.125,0.503,-9.16,1.3,B_New
B_Futures Short RF Model,AVAX_USDT,587,4170.64,6099.05,1928.41,46.8,0.714,0.168,0.33,-19.42,1.17,B_New
B_Futures Short RF Model,NEAR_USDT,586,4116.66,6001.63,1884.97,49.1,0.706,0.148,0.348,-18.37,1.18,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,641,3088.54,4299.45,1210.91,41.8,0.686,0.169,0.401,-11.99,1.19,B_New
B_Keltner Channel Breakout,SOL_USDT,761,3649.18,5306.97,1657.79,46.5,0.68,0.158,0.627,-8.89,1.15,B_New
B_Ichimoku Cloud,AVAX_USDT,1091,4420.59,7304.71,2884.12,41.0,0.679,0.23,0.658,-10.23,1.13,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,633,3881.48,5842.37,1960.89,47.6,0.677,0.151,0.4,-15.02,1.17,B_New
B_Futures Short RF Model,XRP_USDT,840,5333.23,7105.83,1772.6,43.9,0.676,0.169,0.596,-9.21,1.24,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2297,3076.33,5695.45,2619.12,48.8,0.672,0.245,0.353,-13.55,1.1,B_New
A_Bollinger Band Reversion,HBAR_USDT,934,2599.69,4116.76,1517.07,63.6,0.668,0.099,0.256,-13.94,1.14,A_Original
B_Ichimoku Cloud,SHIB_USDT,977,3446.28,4182.35,736.07,37.3,0.665,0.256,0.647,-9.45,1.14,B_New
B_Donchian Breakout,BNB_USDT,717,4724.51,5836.01,1111.5,42.8,0.662,0.154,0.276,-16.89,1.24,B_New
B_MACD Centerline Cross + Divergence,ATOM_USDT,2814,3579.93,7125.23,3545.3,49.2,0.662,0.231,0.407,-10.96,1.1,B_New
B_OFI Momentum,SHIB_USDT,1486,2832.27,3823.27,991.0,43.7,0.659,0.212,0.605,-8.47,1.13,B_New
B_Ichimoku Cloud,ADA_USDT,1594,5365.23,8664.87,3299.65,39.2,0.658,0.223,0.338,-16.24,1.11,B_New
B_Keltner Channel Breakout,AVAX_USDT,737,3344.96,5259.8,1914.84,47.8,0.656,0.134,0.606,-8.69,1.16,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7110.7,10014.14,2903.44,37.5,0.647,0.275,0.547,-14.95,1.17,B_New
A_MACD Momentum,DOGE_USDT,2880,5878.52,9639.49,3760.98,37.5,0.632,0.46,0.344,-20.36,1.13,A_Original
B_MACD Centerline Cross + Divergence,HBAR_USDT,2778,5347.79,8678.32,3330.53,48.8,0.632,0.347,0.547,-12.25,1.14,B_New
B_Elliott Wave + Base ML,SHIB_USDT,272,2499.17,2664.44,165.27,48.2,0.628,0.141,0.343,-13.31,1.38,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2670,2308.98,4266.12,1957.14,41.8,0.628,0.255,0.296,-14.35,1.08,A_Original
B_Ichimoku Cloud,NEAR_USDT,1092,4209.32,6941.31,2731.98,42.1,0.626,0.215,0.417,-15.64,1.11,B_New
B_Futures Short RF Model,HBAR_USDT,702,4224.1,6079.47,1855.37,44.0,0.623,0.16,0.359,-15.26,1.17,B_New
B_GARCH Volatility Position Sizing,NEAR_USDT,630,3615.8,5486.28,1870.48,48.9,0.622,0.132,0.332,-17.21,1.14,B_New
B_Futures Short RF Model,SHIB_USDT,503,3412.13,3782.29,370.16,43.3,0.613,0.182,0.527,-11.49,1.23,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,532,3190.77,3583.11,392.34,43.4,0.609,0.163,0.647,-8.82,1.2,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,898,4362.96,6178.35,1815.39,44.5,0.593,0.146,0.461,-10.03,1.19,B_New
B_GARCH Volatility Position Sizing,LINK_USDT,873,4126.09,6320.4,2194.31,49.7,0.589,0.124,0.34,-14.27,1.13,B_New
"B_SuperTrend (ATR×3, 10)",BNB_USDT,902,3891.07,5003.39,1112.32,41.1,0.588,0.146,0.563,-7.01,1.22,B_New
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4254,2946.96,6853.48,3906.52,41.1,0.588,0.261,0.175,-18.79,1.07,A_Original
A_MACD Momentum,XRP_USDT,3356,4019.83,7654.97,3635.15,37.8,0.585,0.299,0.302,-14.3,1.1,A_Original
B_Keltner Channel Breakout,SHIB_USDT,604,2661.86,3059.36,397.5,44.9,0.582,0.156,0.488,-9.92,1.17,B_New
"B_SuperTrend (ATR×3, 10)",ADA_USDT,868,3039.15,4431.76,1392.61,38.6,0.581,0.163,0.171,-19.6,1.14,B_New
"B_SuperTrend (ATR×3, 10)",NEAR_USDT,612,2572.03,3759.49,1187.47,42.0,0.579,0.16,0.262,-16.05,1.14,B_New
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,688,2877.2,3959.52,1082.31,37.9,0.573,0.168,0.332,-11.36,1.2,B_New
