strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Trend RF Model,SHIB_USDT,614,8147.78,8693.13,545.36,49.7,1.379,0.336,2.251,-5.64,1.51,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1044,10456.97,12713.8,2256.83,50.1,1.041,0.253,1.018,-8.65,1.33,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8651.83,12532.17,3880.33,47.3,1.014,0.559,1.036,-9.22,1.22,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.092,0.511,-5.11,1.99,A_Original
A_RSI Mean Reversion,SHIB_USDT,84,1091.29,1139.3,48.0,60.7,0.913,0.062,0.691,-3.04,1.75,A_Original
B_Keltner Channel Breakout,BNB_USDT,1053,8875.93,10661.07,1785.14,46.9,0.907,0.242,1.018,-7.64,1.29,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3616.67,5219.12,1602.45,65.9,0.907,0.109,0.454,-14.08,1.22,A_Original
B_Elliott Wave + Base ML,ICP_USDT,36,1124.83,1183.06,58.23,69.4,0.899,0.053,0.947,-2.28,2.93,B_New
B_Donchian Breakout,SHIB_USDT,269,3124.59,3305.88,181.3,51.3,0.885,0.165,0.853,-6.57,1.52,B_New
B_Base RF Model,SHIB_USDT,192,2015.07,2148.24,133.17,55.7,0.873,0.106,0.551,-6.8,1.46,B_New
B_Trend RF Model,ICP_USDT,328,3928.4,4889.59,961.19,53.7,0.873,0.101,0.491,-13.98,1.37,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,683,5708.93,7798.39,2089.45,49.2,0.864,0.207,0.615,-13.33,1.22,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,762,10601.74,13171.11,2569.36,44.4,0.799,0.313,0.808,-13.8,1.34,B_New
B_Base RF Model,AVAX_USDT,253,2208.68,2769.86,561.18,56.1,0.74,0.077,0.366,-9.88,1.33,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2065,2896.8,5625.38,2728.58,49.2,0.738,0.259,0.548,-9.55,1.11,B_New
B_Keltner Channel Breakout,NEAR_USDT,709,4212.14,6044.78,1832.63,47.0,0.717,0.168,0.701,-9.32,1.17,B_New
B_Futures Short RF Model,HBAR_USDT,539,3258.55,4370.64,1112.09,50.8,0.706,0.136,0.511,-8.54,1.23,B_New
B_Ichimoku Cloud,AVAX_USDT,1090,4381.61,7264.07,2882.46,40.9,0.675,0.229,0.653,-10.23,1.13,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,640,3030.5,4237.91,1207.41,41.7,0.675,0.166,0.394,-11.99,1.18,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,632,3843.94,5803.46,1959.52,47.5,0.672,0.15,0.397,-15.01,1.16,B_New
B_Keltner Channel Breakout,SOL_USDT,760,3585.75,5241.46,1655.71,46.4,0.671,0.156,0.617,-8.89,1.15,B_New
A_Bollinger Band Reversion,HBAR_USDT,934,2600.58,4116.97,1516.39,63.6,0.668,0.099,0.256,-13.94,1.14,A_Original
B_MACD Centerline Cross + Divergence,ATOM_USDT,2813,3617.84,7162.11,3544.27,49.2,0.668,0.233,0.411,-10.96,1.1,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2297,3012.74,5629.89,2617.15,48.8,0.661,0.241,0.347,-13.55,1.1,B_New
B_Donchian Breakout,BNB_USDT,717,4711.65,5822.22,1110.57,42.8,0.661,0.154,0.274,-16.96,1.24,B_New
B_Futures Short RF Model,BNB_USDT,801,3772.03,4747.13,975.1,53.8,0.66,0.111,0.373,-10.31,1.24,B_New
B_Base RF Model,ICP_USDT,159,1735.59,2086.42,350.83,55.3,0.66,0.053,0.502,-6.5,1.33,B_New
B_Ichimoku Cloud,SHIB_USDT,977,3401.35,4137.43,736.07,37.3,0.658,0.253,0.64,-9.45,1.14,B_New
B_OFI Momentum,SHIB_USDT,1484,2827.55,3816.88,989.33,43.7,0.658,0.212,0.604,-8.47,1.13,B_New
B_Ichimoku Cloud,ADA_USDT,1593,5294.98,8591.65,3296.67,39.2,0.652,0.221,0.334,-16.24,1.11,B_New
B_Keltner Channel Breakout,AVAX_USDT,737,3307.11,5219.83,1912.72,47.8,0.65,0.133,0.6,-8.69,1.15,B_New
B_Trend RF Model,DOGE_USDT,417,3926.99,4832.25,905.26,47.7,0.646,0.12,0.806,-6.16,1.36,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7048.32,9951.53,2903.21,37.5,0.644,0.274,0.543,-14.97,1.17,B_New
B_Trend RF Model,XRP_USDT,270,4083.11,4569.91,486.79,50.0,0.644,0.069,0.425,-10.29,1.54,B_New
B_Trend RF Model,HBAR_USDT,311,2632.69,3444.2,811.51,54.3,0.64,0.084,0.303,-11.89,1.31,B_New
B_Elliott Wave + Base ML,DOT_USDT,35,636.35,677.83,41.48,57.1,0.632,0.021,0.483,-2.25,2.51,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2778,5317.48,8647.62,3330.14,48.8,0.63,0.345,0.545,-12.25,1.14,B_New
B_Trend RF Model,ADA_USDT,352,2777.38,3350.22,572.85,50.0,0.627,0.071,0.307,-10.09,1.29,B_New
A_MACD Momentum,DOGE_USDT,2880,5822.55,9581.99,3759.44,37.5,0.627,0.457,0.341,-20.37,1.13,A_Original
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2668,2276.09,4232.0,1955.91,41.7,0.62,0.252,0.293,-14.35,1.08,A_Original
B_Ichimoku Cloud,NEAR_USDT,1091,4048.73,6781.34,2732.61,42.1,0.608,0.209,0.403,-15.66,1.11,B_New
B_GARCH Volatility Position Sizing,SHIB_USDT,531,3161.04,3552.46,391.42,43.3,0.605,0.162,0.642,-8.82,1.2,B_New
B_GARCH Volatility Position Sizing,NEAR_USDT,629,3473.6,5344.86,1871.26,48.8,0.603,0.128,0.32,-17.21,1.14,B_New
