strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Elliott Wave + Base ML,SOL_USDT,369,7439.24,8760.87,1321.63,53.4,1.532,0.303,1.257,-8.1,1.65,B_New
B_Base RF Model,ETH_USDT,1139,12192.89,14761.5,2568.61,48.9,1.514,0.348,1.802,-5.32,1.4,B_New
B_Base RF Model,SOL_USDT,664,8079.07,10228.95,2149.88,50.3,1.413,0.341,0.75,-14.51,1.33,B_New
B_Trend RF Model,SHIB_USDT,647,8466.81,9064.77,597.96,50.4,1.387,0.377,2.607,-5.01,1.53,B_New
B_Base RF Model,LINK_USDT,727,9244.71,11310.22,2065.51,51.4,1.358,0.286,0.723,-12.97,1.36,B_New
B_Elliott Wave + Base ML,ADA_USDT,404,6810.84,7773.31,962.47,50.2,1.163,0.18,1.029,-6.48,1.58,B_New
B_Base RF Model,AVAX_USDT,571,6442.78,8193.87,1751.09,49.2,1.144,0.244,0.607,-15.24,1.34,B_New
B_Futures Short RF Model,AVAX_USDT,454,5471.25,6845.0,1373.75,52.6,1.092,0.21,0.463,-17.43,1.33,B_New
B_Base RF Model,BNB_USDT,981,9117.66,10946.08,1828.42,48.2,1.087,0.192,0.824,-9.63,1.38,B_New
B_Base RF Model,DOGE_USDT,694,12567.49,14978.79,2411.3,44.8,1.069,0.34,0.96,-13.18,1.46,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1045,10537.61,12789.6,2251.99,50.1,1.046,0.254,1.023,-8.65,1.33,B_New
B_Base RF Model,NEAR_USDT,554,5855.98,7441.65,1585.67,49.6,1.037,0.21,0.59,-14.65,1.3,B_New
B_Futures Short RF Model,SOL_USDT,490,4352.79,5390.1,1037.3,55.7,1.02,0.154,0.677,-9.61,1.33,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8652.57,12532.21,3879.64,47.3,1.014,0.558,1.036,-9.21,1.22,B_New
B_Elliott Wave + Base ML,NEAR_USDT,271,4072.02,4882.39,810.37,50.6,1.007,0.145,0.549,-11.54,1.43,B_New
B_Base RF Model,ADA_USDT,775,7597.51,9449.01,1851.5,49.4,1.004,0.197,0.774,-9.4,1.3,B_New
B_Elliott Wave + Base ML,DOT_USDT,272,2982.83,3651.8,668.98,54.8,0.991,0.135,0.787,-5.94,1.51,B_New
B_Base RF Model,BTC_USDT,1160,4970.91,6817.46,1846.55,46.8,0.97,0.22,0.918,-5.17,1.25,B_New
B_Base RF Model,HBAR_USDT,827,7030.53,8980.04,1949.51,46.9,0.93,0.224,0.882,-9.53,1.27,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.091,0.511,-5.11,1.99,A_Original
A_RSI Mean Reversion,SHIB_USDT,84,1102.2,1149.98,47.78,60.7,0.921,0.062,0.697,-3.04,1.76,A_Original
B_Elliott Wave + Base ML,DOGE_USDT,338,6046.85,6971.16,924.31,44.4,0.917,0.195,1.004,-7.13,1.58,B_New
B_Keltner Channel Breakout,BNB_USDT,1054,8926.81,10710.86,1784.04,47.0,0.911,0.243,1.022,-7.64,1.29,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3618.36,5219.13,1600.78,65.9,0.907,0.109,0.453,-14.08,1.22,A_Original
B_Donchian Breakout,SHIB_USDT,270,3137.49,3319.83,182.35,51.5,0.888,0.166,0.855,-6.57,1.52,B_New
B_Base RF Model,TRX_USDT,864,4845.96,6901.97,2056.01,50.2,0.875,0.151,0.545,-9.41,1.3,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,684,5783.17,7874.65,2091.48,49.3,0.872,0.209,0.621,-13.33,1.22,B_New
B_Trend RF Model,ICP_USDT,444,3443.44,4640.41,1196.97,52.0,0.825,0.107,0.771,-7.92,1.27,B_New
B_Elliott Wave + Base ML,ETH_USDT,670,4165.78,5207.43,1041.65,50.4,0.821,0.135,0.554,-7.36,1.29,B_New
B_Elliott Wave + Base ML,BNB_USDT,461,4504.25,5233.52,729.27,48.4,0.802,0.143,0.768,-5.83,1.42,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,763,10619.04,13188.87,2569.83,44.3,0.799,0.314,0.809,-13.8,1.34,B_New
B_Elliott Wave + Base ML,SHIB_USDT,258,3427.42,3605.57,178.15,47.3,0.769,0.165,0.907,-6.71,1.46,B_New
B_Base RF Model,LTC_USDT,888,4562.63,6205.77,1643.14,48.1,0.769,0.146,0.363,-12.63,1.2,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2066,2982.12,5712.05,2729.93,49.2,0.756,0.265,0.565,-9.51,1.12,B_New
B_Keltner Channel Breakout,NEAR_USDT,710,4384.5,6217.33,1832.83,47.0,0.739,0.173,0.725,-9.32,1.18,B_New
