strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor
RSI_MeanReversion,DOGE_USDT,716,-5394.22,53.2,-0.799,-0.072,-0.196,-54.96,0.67
MACD_Momentum,LTC_USDT,5821,-4836.49,32.5,-0.8,-0.493,-0.138,-55.21,0.92
BB_Reversion,DOGE_USDT,2063,-5658.16,63.8,-0.805,-0.11,-0.186,-61.91,0.8
BB_Reversion,UNI_USDT,1713,-4166.47,61.5,-0.815,-0.151,-0.216,-42.34,0.85
BB_Reversion,BTC_USDT,2693,-3909.31,63.8,-0.825,-0.147,-0.136,-40.83,0.86
MACD_Momentum,NEAR_USDT,3920,-4433.87,33.7,-0.832,-0.545,-0.193,-51.89,0.91
RSI_MeanReversion,DOT_USDT,624,-3302.89,48.9,-0.834,-0.113,-0.199,-34.11,0.79
BB_Reversion,SOL_USDT,1754,-4487.91,61.2,-0.846,-0.154,-0.204,-48.45,0.86
RSI_MeanReversion,BTC_USDT,1023,-3474.89,49.4,-0.854,-0.125,-0.123,-39.11,0.8
BB_Reversion,ETH_USDT,2658,-4916.34,63.1,-0.861,-0.159,-0.145,-51.72,0.85
BB_Reversion,XRP_USDT,2407,-5475.46,63.6,-0.869,-0.129,-0.171,-55.23,0.82
Ensemble,ICP_USDT,4572,-4132.28,40.3,-0.922,-0.465,-0.223,-45.73,0.91
Ensemble,TRX_USDT,7385,-4808.15,39.4,-0.947,-0.406,-0.156,-51.06,0.91
RSI_MeanReversion,SOL_USDT,653,-4027.25,48.1,-0.983,-0.148,-0.196,-43.99,0.78
MACD_Momentum,HBAR_USDT,4706,-5569.24,32.6,-0.998,-0.61,-0.206,-56.4,0.87
RSI_MeanReversion,TRX_USDT,948,-4396.35,47.3,-1.013,-0.127,-0.161,-43.96,0.74
RSI_MeanReversion,BNB_USDT,944,-5576.65,49.3,-1.024,-0.109,-0.159,-57.76,0.66
RSI_MeanReversion,NEAR_USDT,614,-4570.51,49.2,-1.067,-0.147,-0.228,-45.71,0.74
Ensemble,BTC_USDT,7742,-4845.11,38.9,-1.076,-0.479,-0.124,-59.38,0.91
RSI_MeanReversion,ETH_USDT,1053,-5036.06,48.5,-1.157,-0.169,-0.145,-53.25,0.73
RSI_MeanReversion,APT_USDT,371,-3169.34,52.0,-1.215,-0.155,-0.288,-35.54,0.73
BB_Reversion,APT_USDT,1075,-3763.55,61.9,-1.235,-0.217,-0.313,-40.05,0.81
Ensemble,SUI_USDT,2756,-3420.84,39.9,-1.269,-0.587,-0.314,-41.59,0.89
MACD_Momentum,APT_USDT,2434,-3928.72,32.3,-1.287,-0.827,-0.296,-44.6,0.86
BB_Reversion,TRX_USDT,2349,-5808.69,59.0,-1.353,-0.226,-0.179,-58.31,0.76
RSI_MeanReversion,AVAX_USDT,621,-4863.99,47.3,-1.384,-0.208,-0.216,-51.89,0.71
MACD_Momentum,ICP_USDT,3477,-6315.86,32.9,-1.798,-1.079,-0.279,-65.2,0.81
Ensemble,APT_USDT,3202,-5202.86,38.7,-1.966,-0.849,-0.346,-54.3,0.83
