strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
A_Bollinger Band Reversion,XRP_USDT,1085,805.8,2134.62,1328.82,64.3,0.231,0.028,0.07,-13.82,1.05,A_Original,1h
B_Futures Short RF Model,SHIB_USDT,441,267.85,517.17,249.32,48.1,0.223,0.054,0.141,-8.77,1.04,B_New,1h
B_OFI Momentum,ADA_USDT,2398,1100.3,3789.41,2689.12,43.7,0.216,0.06,0.053,-24.57,1.03,B_New,1h
A_MACD Momentum,LINK_USDT,2799,957.3,3456.2,2498.9,38.7,0.212,0.096,0.063,-22.0,1.02,A_Original,1h
B_MTF SMA-200 Filter,SUI_USDT,760,327.73,1459.36,1131.63,35.1,0.208,0.112,0.138,-13.05,1.03,B_New,1h
"B_SuperTrend (ATR×3, 10)",NEAR_USDT,238,280.77,690.87,410.09,39.1,0.2,0.06,0.128,-10.1,1.05,B_New,1h
B_Volatility Breakout (TTM Squeeze),UNI_USDT,133,230.54,459.02,228.48,45.9,0.2,0.024,0.143,-7.45,1.08,B_New,1h
A_Ensemble A (RSI+MACD+BB),NEAR_USDT,1118,259.29,1166.65,907.35,41.1,0.195,0.095,0.117,-10.24,1.02,A_Original,1h
B_Ichimoku Cloud,SOL_USDT,1147,884.96,2981.39,2096.42,39.9,0.194,0.064,0.082,-18.08,1.03,B_New,1h
B_MTF SMA-200 Filter,DOT_USDT,839,296.92,1564.24,1267.32,37.7,0.192,0.091,0.129,-10.61,1.03,B_New,1h
B_MTF SMA-200 Filter,BNB_USDT,3278,1158.21,3961.24,2803.02,36.0,0.188,0.071,0.078,-17.87,1.03,B_New,1h
B_MACD Centerline Cross + Divergence,SHIB_USDT,953,254.92,816.72,561.8,46.3,0.187,0.098,0.143,-8.25,1.03,B_New,1h
B_Ornstein-Uhlenbeck Filter,SUI_USDT,922,202.51,1125.48,922.98,52.4,0.18,0.059,0.147,-7.58,1.02,B_New,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),HBAR_USDT,1201,197.17,1261.36,1064.19,52.5,0.169,0.056,0.099,-9.3,1.02,B_New,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),SOL_USDT,3599,599.4,3603.43,3004.02,53.4,0.165,0.051,0.075,-13.56,1.01,B_New,1h
B_MTF SMA-200 Filter,SOL_USDT,2421,645.96,3863.33,3217.37,37.2,0.153,0.058,0.047,-23.39,1.01,B_New,1h
B_MTF SMA-200 Filter,ETH_USDT,3368,780.52,4154.32,3373.79,33.4,0.151,0.059,0.039,-24.0,1.02,B_New,1h
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4140,552.27,3412.58,2860.31,42.3,0.15,0.058,0.051,-13.3,1.02,A_Original,1h
A_Bollinger Band Reversion,LINK_USDT,922,504.44,1532.49,1028.05,64.4,0.149,0.019,0.056,-13.36,1.03,A_Original,1h
B_Donchian Breakout,BTC_USDT,543,403.05,1229.47,826.42,46.6,0.138,0.02,0.033,-13.97,1.04,B_New,1h
"B_SuperTrend (ATR×3, 10)",XRP_USDT,820,478.17,1474.87,996.71,37.8,0.135,0.031,0.028,-20.68,1.03,B_New,1h
B_Keltner Channel Breakout,SUI_USDT,222,139.02,716.23,577.21,45.0,0.127,0.023,0.071,-10.84,1.02,B_New,1h
B_OFI Momentum,ETH_USDT,2416,466.79,2561.43,2094.63,43.3,0.123,0.036,0.022,-25.24,1.02,B_New,1h
A_MACD Momentum,ADA_USDT,3299,518.67,3604.68,3086.02,37.7,0.121,0.048,0.03,-21.12,1.01,A_Original,1h
B_Donchian Breakout,TRX_USDT,685,371.89,1626.46,1254.56,42.0,0.117,0.022,0.04,-12.64,1.03,B_New,1h
B_GARCH Volatility Position Sizing,UNI_USDT,258,95.84,711.85,616.02,47.7,0.096,0.022,0.049,-9.05,1.02,B_New,1h
A_Bollinger Band Reversion,ADA_USDT,1114,282.04,1571.38,1289.34,63.4,0.093,0.012,0.04,-8.67,1.02,A_Original,1h
B_OFI Momentum,SOL_USDT,1782,205.46,2181.66,1976.2,45.2,0.084,0.024,0.013,-26.45,1.01,B_New,1h
A_RSI Mean Reversion,LINK_USDT,131,133.1,305.69,172.6,54.2,0.083,0.005,0.028,-7.2,1.04,A_Original,1h
B_Donchian Breakout,ADA_USDT,591,249.49,1211.8,962.31,47.0,0.081,0.013,0.019,-16.14,1.02,B_New,1h
B_OFI Momentum,XRP_USDT,2401,216.72,2357.78,2141.06,43.1,0.073,0.022,0.015,-17.65,1.01,B_New,1h
B_Ichimoku Cloud,BTC_USDT,1763,223.42,2287.56,2064.14,38.9,0.073,0.021,0.014,-18.8,1.01,B_New,1h
B_Futures Short RF Model,ATOM_USDT,417,55.56,619.77,564.21,57.1,0.072,0.015,0.033,-7.76,1.01,B_New,1h
B_GARCH Volatility Position Sizing,ATOM_USDT,226,45.03,518.93,473.89,50.9,0.065,0.012,0.028,-7.5,1.01,B_New,1h
B_Keltner Channel Breakout,BTC_USDT,1119,126.27,1435.42,1309.15,44.4,0.054,0.012,0.008,-17.83,1.01,B_New,1h
B_Volatility Breakout (TTM Squeeze),TRX_USDT,304,78.16,410.77,332.61,44.4,0.047,0.005,0.01,-11.32,1.01,B_New,1h
B_Keltner Channel Breakout,XRP_USDT,973,50.21,1300.08,1249.87,41.0,0.045,0.01,0.002,-28.87,1.0,B_New,1h
A_MACD Momentum,SOL_USDT,2326,-12.2,2197.77,2209.97,38.6,0.039,0.016,-0.001,-18.09,1.0,A_Original,1h
B_Donchian Breakout,DOT_USDT,186,-3.89,366.02,369.91,44.6,0.034,0.008,-0.002,-9.28,1.0,B_New,1h
A_MACD Momentum,SHIB_USDT,945,-38.26,489.65,527.91,34.4,0.025,0.017,-0.018,-9.8,1.0,A_Original,1h
B_MTF SMA-200 Filter,ADA_USDT,3447,-180.12,3718.62,3898.74,34.3,0.023,0.009,-0.009,-24.89,1.0,B_New,1h
B_Volatility Breakout (TTM Squeeze),DOT_USDT,127,-0.06,192.05,192.11,45.7,0.02,0.003,-0.0,-4.48,1.0,B_New,1h
B_Futures Short RF Model,ADA_USDT,1358,-52.46,1441.84,1494.3,55.1,0.019,0.003,-0.004,-16.23,1.0,B_New,1h
B_Ornstein-Uhlenbeck Filter,HBAR_USDT,978,-29.4,901.95,931.35,52.5,0.01,0.003,-0.015,-9.26,1.0,B_New,1h
A_Bollinger Band Reversion,ETH_USDT,1130,-57.88,946.71,1004.58,65.0,0.009,0.001,-0.009,-8.18,1.0,A_Original,1h
B_Elliott Wave + Base ML,LTC_USDT,149,-13.27,283.42,296.69,43.0,0.008,0.001,-0.009,-6.98,0.99,B_New,1h
"B_SuperTrend (ATR×3, 10)",SUI_USDT,230,-54.75,382.98,437.73,39.6,0.006,0.001,-0.029,-10.49,0.99,B_New,1h
B_VWAP Reversion,DOT_USDT,714,-27.56,724.26,751.82,59.5,0.003,0.001,-0.018,-7.02,1.0,B_New,1h
Base_ML_MetaFiltered,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,SUI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,SUI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,DOT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,DOT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,DOT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,DOT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,DOT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,UNI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,UNI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,UNI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,XRP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,NEAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,NEAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,NEAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,UNI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,BNB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,ETH_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,UNI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,XRP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,XRP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,XRP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,ETH_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,BNB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,BNB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,BNB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,ETH_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,ETH_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,ETH_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,XRP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,TRX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,APT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,APT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,APT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,APT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,APT_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,ADA_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,ADA_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,ADA_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,ADA_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,SOL_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,SOL_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,SOL_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,SOL_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,SOL_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,ADA_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,NEAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Ornstein-Uhlenbeck Filter,AVAX_USDT,1001,-52.42,912.15,964.57,51.3,0.0,0.0,-0.018,-13.74,0.99,B_New,1h
RSI_MetaFiltered,TRX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,TRX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,TRX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,TRX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,NEAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,DOGE_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,LTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,BTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,BTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,BTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,BTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,BTC_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,AVAX_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,SHIB_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,HBAR_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,ATOM_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,ICP_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
RSI_MetaFiltered,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,LINK_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
MACD_MetaFiltered,SUI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Ensemble_MetaFiltered,SUI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
Base_ML_MetaFiltered,SUI_USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,B_New,1h
A_MACD Momentum,TRX_USDT,3000,-179.46,2419.08,2598.55,35.5,-0.002,-0.001,-0.013,-19.04,0.99,A_Original,1h
B_Volatility Breakout (TTM Squeeze),ADA_USDT,453,-99.2,507.89,607.09,49.4,-0.006,-0.001,-0.008,-16.06,0.99,B_New,1h
B_Donchian Breakout,SOL_USDT,452,-202.24,651.57,853.8,47.3,-0.012,-0.002,-0.023,-15.38,0.98,B_New,1h
B_Volatility Breakout (TTM Squeeze),AVAX_USDT,122,-67.97,140.33,208.3,43.4,-0.016,-0.002,-0.033,-9.92,0.97,B_New,1h
B_OFI Momentum,DOT_USDT,647,-58.72,698.01,756.73,43.1,-0.017,-0.006,-0.033,-8.4,0.99,B_New,1h
A_RSI Mean Reversion,ADA_USDT,141,-55.27,141.12,196.39,53.9,-0.018,-0.001,-0.01,-6.79,0.98,A_Original,1h
B_Volatility Breakout (TTM Squeeze),NEAR_USDT,115,-33.98,189.42,223.41,49.6,-0.022,-0.002,-0.03,-5.27,0.98,B_New,1h
B_VWAP Reversion,SHIB_USDT,765,-56.97,372.88,429.84,59.3,-0.026,-0.006,-0.049,-5.45,0.99,B_New,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),ATOM_USDT,1158,-61.95,926.4,988.35,52.6,-0.03,-0.01,-0.044,-6.51,0.99,B_New,1h
A_Ensemble A (RSI+MACD+BB),ETH_USDT,4162,-248.92,2877.09,3126.01,40.6,-0.031,-0.012,-0.013,-22.9,0.99,A_Original,1h
B_Futures Short RF Model,DOGE_USDT,1067,-327.27,765.44,1092.7,47.2,-0.041,-0.008,-0.03,-17.61,0.98,B_New,1h
B_Volatility Breakout (TTM Squeeze),XRP_USDT,480,-250.8,331.45,582.25,42.9,-0.043,-0.005,-0.014,-22.32,0.97,B_New,1h
B_Volatility Breakout (TTM Squeeze),BTC_USDT,536,-172.6,424.59,597.2,39.7,-0.043,-0.006,-0.012,-15.99,0.98,B_New,1h
B_VWAP Reversion,UNI_USDT,804,-97.63,666.95,764.57,58.8,-0.046,-0.009,-0.045,-10.04,0.99,B_New,1h
B_Futures Short RF Model,UNI_USDT,399,-133.15,323.77,456.93,55.6,-0.05,-0.011,-0.055,-11.27,0.98,B_New,1h
A_RSI Mean Reversion,XRP_USDT,140,-161.43,38.51,199.93,56.4,-0.053,-0.002,-0.025,-8.26,0.94,A_Original,1h
B_Volatility Breakout (TTM Squeeze),ETH_USDT,516,-269.04,275.74,544.77,44.8,-0.061,-0.008,-0.015,-21.9,0.97,B_New,1h
A_Bollinger Band Reversion,NEAR_USDT,310,-120.07,347.96,468.04,64.2,-0.062,-0.008,-0.081,-6.89,0.98,A_Original,1h
B_MACD Centerline Cross + Divergence,TRX_USDT,2973,-351.06,2252.66,2603.71,46.5,-0.063,-0.019,-0.02,-24.26,0.99,B_New,1h
B_Ornstein-Uhlenbeck Filter,SOL_USDT,2965,-506.48,2024.08,2530.55,52.8,-0.073,-0.022,-0.053,-16.96,0.98,B_New,1h
B_OFI Momentum,BNB_USDT,2355,-544.63,1116.85,1661.49,43.6,-0.075,-0.022,-0.049,-14.28,0.98,B_New,1h
B_Base RF Model,ATOM_USDT,275,-126.88,377.48,504.36,49.1,-0.082,-0.015,-0.089,-6.67,0.97,B_New,1h
B_Base RF Model,LTC_USDT,347,-151.53,501.58,653.11,47.8,-0.098,-0.019,-0.123,-5.76,0.97,B_New,1h
B_Futures Short RF Model,SOL_USDT,1101,-577.53,674.75,1252.28,59.0,-0.102,-0.016,-0.073,-14.06,0.97,B_New,1h
B_Funding Rate Arb,TRX_USDT,2,-7.17,15.02,22.19,50.0,-0.106,0.0,-0.047,-0.21,0.66,B_New,1h
B_Trend RF Model,UNI_USDT,515,-201.31,481.75,683.06,40.4,-0.111,-0.037,-0.083,-11.41,0.97,B_New,1h
B_MACD Centerline Cross + Divergence,APT_USDT,890,-228.88,697.38,926.26,47.9,-0.111,-0.039,-0.07,-15.31,0.98,B_New,1h
A_RSI Mean Reversion,SOL_USDT,112,-213.93,-37.19,176.74,46.4,-0.112,-0.007,-0.064,-5.89,0.93,A_Original,1h
B_MACD Centerline Cross + Divergence,DOT_USDT,847,-180.7,684.35,865.05,47.3,-0.121,-0.039,-0.113,-7.48,0.98,B_New,1h
B_Elliott Wave + Base ML,ATOM_USDT,152,-159.17,168.45,327.62,43.4,-0.123,-0.017,-0.115,-6.49,0.95,B_New,1h
B_VWAP Reversion,DOGE_USDT,2446,-665.52,1169.23,1834.75,58.7,-0.125,-0.026,-0.084,-13.01,0.97,B_New,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),APT_USDT,1259,-252.72,853.97,1106.69,53.7,-0.126,-0.042,-0.071,-16.83,0.98,B_New,1h
B_OFI Momentum,BTC_USDT,2497,-633.31,1321.63,1954.94,39.1,-0.134,-0.04,-0.041,-18.35,0.97,B_New,1h
A_MACD Momentum,ICP_USDT,922,-326.38,519.13,845.51,38.1,-0.146,-0.078,-0.131,-11.78,0.97,A_Original,1h
A_MACD Momentum,BTC_USDT,3549,-728.57,1947.14,2675.71,35.8,-0.151,-0.061,-0.037,-23.32,0.97,A_Original,1h
B_Volatility Breakout (TTM Squeeze),BNB_USDT,412,-523.3,-173.0,350.3,44.2,-0.154,-0.018,-0.052,-12.99,0.93,B_New,1h
B_Ornstein-Uhlenbeck Filter,DOT_USDT,980,-335.92,510.48,846.4,48.2,-0.18,-0.077,-0.116,-13.59,0.96,B_New,1h
B_OFI Momentum,LINK_USDT,2023,-1050.89,595.47,1646.35,44.8,-0.185,-0.056,-0.069,-23.88,0.97,B_New,1h
B_VWAP Reversion,HBAR_USDT,812,-282.08,517.25,799.34,60.6,-0.185,-0.039,-0.1,-13.3,0.97,B_New,1h
B_Keltner Channel Breakout,UNI_USDT,289,-358.0,125.63,483.62,43.3,-0.194,-0.061,-0.123,-13.75,0.94,B_New,1h
A_Bollinger Band Reversion,BNB_USDT,1130,-894.89,-44.56,850.33,64.2,-0.196,-0.023,-0.051,-22.81,0.94,A_Original,1h
B_Futures Short RF Model,DOT_USDT,404,-266.69,322.85,589.53,57.7,-0.197,-0.037,-0.147,-8.48,0.95,B_New,1h
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),SUI_USDT,1103,-325.69,665.18,990.87,52.1,-0.204,-0.067,-0.213,-8.54,0.97,B_New,1h
B_Donchian Breakout,DOGE_USDT,339,-6892.91,-6689.59,203.32,46.3,-0.213,-0.013,-0.216,-78.38,0.47,B_New,1h
A_Ensemble A (RSI+MACD+BB),SOL_USDT,2916,-974.54,1260.81,2235.35,42.9,-0.214,-0.078,-0.088,-20.19,0.97,A_Original,1h
