strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_GARCH Volatility Position Sizing,DOGE_USDT,705,11705.38,13858.39,2153.0,45.1,0.89,0.351,0.95,-13.8,1.41,B_New,1h
B_GARCH Volatility Position Sizing,SOL_USDT,685,5762.32,7857.25,2094.94,49.3,0.869,0.208,0.619,-13.33,1.22,B_New,1h
B_Base RF Model,DOGE_USDT,868,9636.55,11704.92,2068.37,46.0,0.862,0.276,0.952,-11.89,1.34,B_New,1h
B_MACD Centerline Cross + Divergence,SUI_USDT,746,1580.23,2405.62,825.4,45.3,0.859,0.451,0.799,-10.6,1.17,B_New,1h
B_Base RF Model,HBAR_USDT,292,1940.37,2640.82,700.45,48.3,0.847,0.143,0.835,-10.34,1.27,B_New,1h
B_Base RF Model,LINK_USDT,1031,5447.4,7398.6,1951.2,50.0,0.845,0.179,0.551,-12.28,1.18,B_New,1h
B_Base RF Model,APT_USDT,305,1650.56,2477.34,826.79,47.2,0.837,0.243,0.996,-7.42,1.24,B_New,1h
B_Elliott Wave + Base ML,ADA_USDT,643,5363.9,6856.63,1492.73,48.5,0.828,0.154,0.461,-11.88,1.27,B_New,1h
B_Base RF Model,SOL_USDT,997,4646.03,6781.05,2135.02,49.0,0.802,0.196,0.479,-14.34,1.17,B_New,1h
B_MTF SMA-200 Filter,AVAX_USDT,835,1702.06,2994.52,1292.47,39.3,0.8,0.364,0.951,-8.13,1.14,B_New,1h
B_Ichimoku Cloud,ICP_USDT,427,1642.65,2485.33,842.69,39.8,0.777,0.261,1.035,-7.11,1.17,B_New,1h
B_Trend RF Model,LINK_USDT,1590,4954.9,7227.42,2272.52,43.0,0.769,0.222,0.366,-17.05,1.13,B_New,1h
B_GARCH Volatility Position Sizing,SHIB_USDT,252,1306.11,1461.64,155.53,44.8,0.762,0.203,0.994,-5.9,1.24,B_New,1h
B_GARCH Volatility Position Sizing,LINK_USDT,799,5190.75,6974.1,1783.35,50.6,0.748,0.162,0.49,-13.25,1.18,B_New,1h
B_Elliott Wave + Base ML,SHIB_USDT,155,1148.45,1236.22,87.77,45.8,0.743,0.16,1.0,-5.18,1.35,B_New,1h
B_Trend RF Model,XRP_USDT,1832,5549.73,8312.34,2762.61,40.3,0.739,0.269,0.455,-12.46,1.17,B_New,1h
B_Futures Short RF Model,HBAR_USDT,277,1344.01,1825.77,481.76,49.1,0.737,0.121,0.93,-6.52,1.23,B_New,1h
A_MACD Momentum,DOGE_USDT,2658,6729.86,10045.9,3316.05,37.5,0.731,0.541,0.479,-17.81,1.16,A_Original,1h
B_GARCH Volatility Position Sizing,APT_USDT,242,1224.42,2014.73,790.31,49.6,0.728,0.172,0.717,-7.72,1.19,B_New,1h
B_Ichimoku Cloud,ATOM_USDT,406,1286.49,1999.29,712.8,41.6,0.726,0.313,0.874,-6.64,1.2,B_New,1h
B_Ichimoku Cloud,DOGE_USDT,1236,7767.52,10164.43,2396.91,37.6,0.721,0.308,0.64,-14.94,1.2,B_New,1h
B_Elliott Wave + Base ML,AVAX_USDT,167,1089.77,1551.02,461.25,50.3,0.717,0.096,0.768,-6.54,1.24,B_New,1h
B_Elliott Wave + Base ML,TRX_USDT,441,3219.96,3887.12,667.16,48.1,0.712,0.104,0.517,-7.61,1.3,B_New,1h
B_Donchian Breakout,BNB_USDT,672,4878.52,5893.74,1015.23,43.5,0.706,0.165,0.312,-16.42,1.26,B_New,1h
B_Base RF Model,TRX_USDT,1153,4079.87,6262.31,2182.44,47.8,0.703,0.152,0.461,-10.51,1.2,B_New,1h
B_Base RF Model,BTC_USDT,2006,3500.6,6003.67,2503.07,47.5,0.692,0.165,0.245,-14.31,1.13,B_New,1h
B_Keltner Channel Breakout,NEAR_USDT,271,1285.79,1857.29,571.5,48.3,0.688,0.162,0.786,-7.37,1.19,B_New,1h
B_Ichimoku Cloud,SHIB_USDT,430,1464.71,1709.15,244.43,36.3,0.686,0.289,1.023,-6.41,1.2,B_New,1h
B_OU Mean-Reversion Entry,UNI_USDT,1,11.74,12.04,0.3,100.0,0.683,0.0,0.0,0.0,inf,B_New,1h
B_Funding Rate Arb,APT_USDT,1,34.24,39.85,5.6,100.0,0.683,0.0,0.0,0.0,inf,B_New,1h
B_MACD Centerline Cross + Divergence,NEAR_USDT,882,1187.37,2027.48,840.11,46.7,0.683,0.325,0.866,-6.19,1.13,B_New,1h
B_Funding Rate Arb,DOT_USDT,1,59.28,64.45,5.17,100.0,0.682,0.0,0.0,0.0,inf,B_New,1h
B_OU Mean-Reversion Entry,NEAR_USDT,1,5.77,6.07,0.3,100.0,0.682,0.0,0.0,0.0,inf,B_New,1h
B_Keltner Channel Breakout,SHIB_USDT,256,1103.74,1242.49,138.75,45.7,0.68,0.173,0.792,-6.29,1.23,B_New,1h
B_Donchian Breakout,ATOM_USDT,179,995.21,1383.4,388.18,42.5,0.679,0.207,0.989,-4.58,1.34,B_New,1h
B_Trend RF Model,DOT_USDT,470,1045.35,1775.23,729.88,40.2,0.677,0.227,0.647,-7.31,1.16,B_New,1h
B_Trend RF Model,ATOM_USDT,477,933.12,1591.94,658.82,43.2,0.676,0.25,0.683,-6.22,1.16,B_New,1h
B_Keltner Channel Breakout,SOL_USDT,760,3622.4,5284.04,1661.64,46.4,0.676,0.157,0.631,-8.77,1.15,B_New,1h
"B_SuperTrend (ATR×3, 10)",SOL_USDT,639,3010.95,4216.95,1206.01,41.8,0.671,0.166,0.391,-11.99,1.18,B_New,1h
B_MACD Centerline Cross + Divergence,SOL_USDT,2295,3068.61,5686.46,2617.85,48.7,0.67,0.244,0.353,-13.52,1.1,B_New,1h
B_Base RF Model,ADA_USDT,1116,4542.68,6824.68,2282.0,46.7,0.666,0.152,0.26,-18.34,1.15,B_New,1h
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,618,3227.06,4112.45,885.4,37.9,0.666,0.196,0.4,-11.36,1.25,B_New,1h
B_Donchian Breakout,AVAX_USDT,165,1035.07,1450.03,414.96,51.5,0.665,0.136,0.771,-6.19,1.26,B_New,1h
A_Bollinger Band Reversion,SHIB_USDT,305,616.7,801.43,184.73,64.6,0.659,0.089,0.727,-3.88,1.16,A_Original,1h
B_Ichimoku Cloud,ADA_USDT,1594,5322.28,8620.92,3298.64,39.2,0.654,0.222,0.334,-16.31,1.11,B_New,1h
B_Donchian Breakout,APT_USDT,126,1055.52,1421.83,366.31,48.4,0.649,0.145,0.804,-5.96,1.36,B_New,1h
B_OFI Momentum,AVAX_USDT,656,819.78,1595.34,775.55,45.7,0.643,0.228,0.582,-6.53,1.11,B_New,1h
B_Base RF Model,XRP_USDT,1104,4596.65,6587.67,1991.02,46.0,0.643,0.153,0.561,-8.63,1.19,B_New,1h
B_Trend RF Model,TRX_USDT,1650,3800.85,6522.08,2721.22,41.0,0.642,0.212,0.379,-12.01,1.16,B_New,1h
B_Keltner Channel Breakout,ETH_USDT,1042,3810.89,5214.39,1403.51,45.5,0.638,0.16,0.511,-7.89,1.16,B_New,1h
B_MTF SMA-200 Filter,HBAR_USDT,925,1511.19,2743.27,1232.08,34.8,0.631,0.396,0.457,-14.88,1.13,B_New,1h
A_Bollinger Band Reversion,SUI_USDT,257,784.99,1219.83,434.84,66.9,0.617,0.094,0.635,-6.73,1.16,A_Original,1h
B_Keltner Channel Breakout,ATOM_USDT,263,982.4,1483.61,501.21,49.0,0.614,0.168,0.598,-7.47,1.22,B_New,1h
B_OFI Momentum,SHIB_USDT,646,894.12,1261.04,366.91,42.9,0.612,0.238,0.555,-7.31,1.13,B_New,1h
B_GARCH Volatility Position Sizing,ICP_USDT,248,1125.31,1772.55,647.24,45.6,0.612,0.154,0.69,-7.4,1.17,B_New,1h
B_Elliott Wave + Base ML,XRP_USDT,574,3763.47,4784.21,1020.74,44.8,0.607,0.117,0.528,-7.71,1.27,B_New,1h
B_GARCH Volatility Position Sizing,ETH_USDT,999,3598.27,5268.21,1669.94,50.2,0.597,0.104,0.234,-16.38,1.14,B_New,1h
"B_SuperTrend (ATR×3, 10)",BNB_USDT,835,3793.51,4778.56,985.05,41.8,0.595,0.142,0.591,-7.0,1.22,B_New,1h
B_Keltner Channel Breakout,APT_USDT,247,1229.98,1896.44,666.46,40.9,0.594,0.184,0.585,-9.51,1.2,B_New,1h
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4258,2968.07,6874.13,3906.07,41.1,0.591,0.262,0.176,-18.77,1.07,A_Original,1h
B_Base RF Model,ICP_USDT,290,876.95,1526.81,649.86,46.9,0.587,0.122,0.437,-9.16,1.14,B_New,1h
B_Ichimoku Cloud,ETH_USDT,1640,4142.1,6403.34,2261.24,40.2,0.587,0.187,0.314,-13.8,1.11,B_New,1h
A_MACD Momentum,XRP_USDT,3358,4007.33,7644.0,3636.67,37.8,0.584,0.298,0.301,-14.29,1.1,A_Original,1h
B_GARCH Volatility Position Sizing,XRP_USDT,899,4261.85,6074.17,1812.32,44.4,0.581,0.143,0.452,-10.03,1.19,B_New,1h
B_Ichimoku Cloud,BNB_USDT,1577,4876.51,6864.35,1987.84,40.8,0.58,0.169,0.421,-12.19,1.13,B_New,1h
B_Keltner Channel Breakout,DOGE_USDT,712,4032.07,5314.56,1282.49,43.7,0.58,0.124,0.577,-9.59,1.19,B_New,1h
B_Elliott Wave + Base ML,UNI_USDT,185,818.76,1264.38,445.62,45.9,0.578,0.142,0.864,-4.33,1.23,B_New,1h
B_Trend RF Model,BTC_USDT,2147,2806.99,5299.4,2492.41,44.5,0.573,0.161,0.188,-15.3,1.1,B_New,1h
"B_SuperTrend (ATR×3, 10)",ADA_USDT,869,2949.03,4346.6,1397.57,38.6,0.566,0.159,0.162,-20.15,1.13,B_New,1h
A_RSI Mean Reversion,APT_USDT,36,310.71,390.94,80.23,66.7,0.551,0.032,0.278,-5.17,1.4,A_Original,1h
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3298,2544.08,5425.56,2881.48,41.2,0.549,0.244,0.238,-15.41,1.07,A_Original,1h
B_Donchian Breakout,LTC_USDT,131,437.25,762.45,325.2,42.7,0.544,0.099,0.545,-3.7,1.23,B_New,1h
A_MACD Momentum,BNB_USDT,3268,3546.44,6429.5,2883.07,38.3,0.543,0.245,0.358,-10.89,1.1,A_Original,1h
B_MACD Centerline Cross + Divergence,BNB_USDT,3269,2842.45,5583.54,2741.09,47.8,0.543,0.19,0.224,-14.25,1.09,B_New,1h
"B_SuperTrend (ATR×3, 10)",APT_USDT,215,994.61,1451.42,456.81,37.2,0.54,0.211,0.375,-12.07,1.22,B_New,1h
B_Keltner Channel Breakout,DOT_USDT,277,777.53,1404.91,627.38,45.1,0.54,0.141,0.487,-7.27,1.16,B_New,1h
B_MACD Centerline Cross + Divergence,LINK_USDT,2701,3067.41,5651.44,2584.03,49.1,0.536,0.196,0.262,-15.67,1.08,B_New,1h
"B_SuperTrend (ATR×3, 10)",BTC_USDT,872,1832.02,2880.48,1048.46,40.8,0.533,0.127,0.187,-10.42,1.15,B_New,1h
B_OFI Momentum,APT_USDT,675,1146.34,2063.91,917.57,40.6,0.527,0.267,0.376,-13.81,1.1,B_New,1h
B_Trend RF Model,ADA_USDT,1868,3606.1,6661.89,3055.79,41.9,0.521,0.142,0.164,-23.83,1.08,B_New,1h
A_MACD Momentum,ETH_USDT,3308,2915.59,6079.29,3163.69,37.2,0.52,0.216,0.22,-14.45,1.07,A_Original,1h
B_MACD Centerline Cross + Divergence,XRP_USDT,3266,2871.27,6192.92,3321.65,46.6,0.513,0.197,0.213,-15.05,1.08,B_New,1h
B_Ichimoku Cloud,HBAR_USDT,426,1085.79,1838.48,752.69,39.0,0.51,0.227,0.362,-13.61,1.13,B_New,1h
A_Bollinger Band Reversion,DOT_USDT,314,551.48,1040.44,488.96,64.6,0.499,0.074,0.445,-5.67,1.14,A_Original,1h
