strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Donchian Breakout,BNB_USDT,718,4707.05,5819.78,1112.72,42.8,0.661,0.154,0.274,-16.99,1.24,B_New
B_Ichimoku Cloud,ADA_USDT,1594,5345.46,8645.72,3300.26,39.2,0.657,0.223,0.337,-16.24,1.11,B_New
B_OFI Momentum,SHIB_USDT,1486,2808.59,3799.59,991.0,43.7,0.654,0.21,0.6,-8.47,1.13,B_New
B_Keltner Channel Breakout,AVAX_USDT,737,3324.51,5239.88,1915.37,47.8,0.653,0.133,0.603,-8.69,1.16,B_New
B_Elliott Wave + Base ML,AVAX_USDT,417,2895.15,4019.8,1124.65,45.8,0.645,0.125,0.339,-13.63,1.2,B_New
B_Ichimoku Cloud,DOGE_USDT,1347,7059.06,9962.8,2903.74,37.5,0.644,0.274,0.543,-14.95,1.17,B_New
B_Ichimoku Cloud,NEAR_USDT,1092,4267.83,7000.38,2732.55,42.1,0.632,0.218,0.422,-15.64,1.11,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2778,5332.4,8663.38,3330.98,48.8,0.631,0.346,0.546,-12.25,1.14,B_New
B_Futures Short RF Model,ADA_USDT,800,3825.38,5511.63,1686.26,45.4,0.631,0.134,0.311,-13.19,1.17,B_New
B_GARCH Volatility Position Sizing,NEAR_USDT,630,3671.87,5542.89,1871.02,48.9,0.629,0.134,0.336,-17.21,1.15,B_New
A_MACD Momentum,DOGE_USDT,2880,5834.86,9595.73,3760.87,37.5,0.628,0.458,0.341,-20.36,1.13,A_Original
B_Elliott Wave + Base ML,LINK_USDT,494,2890.89,3990.33,1099.44,49.0,0.625,0.099,0.22,-16.07,1.18,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2671,2292.61,4250.49,1957.88,41.7,0.624,0.254,0.294,-14.35,1.08,A_Original
B_GARCH Volatility Position Sizing,SHIB_USDT,532,3166.11,3558.45,392.34,43.2,0.605,0.162,0.643,-8.82,1.2,B_New
B_Base RF Model,DOT_USDT,785,2521.19,4189.84,1668.65,48.5,0.59,0.126,0.287,-14.0,1.12,B_New
B_GARCH Volatility Position Sizing,XRP_USDT,898,4338.19,6153.86,1815.66,44.5,0.59,0.145,0.459,-10.03,1.19,B_New
B_Elliott Wave + Base ML,ADA_USDT,419,2849.34,3599.57,750.23,47.7,0.589,0.09,0.337,-9.4,1.23,B_New
